Marca temporal,Puntuación,GENERO,CARRERA,DISPOSITIVOS,APLICACIONES,MARCA,ÁREA,NOTA,ORDEN DE MÉRITO,CICLO,SATISFACCIÓN,FRECUENCIA,CANTIDAD DE APLICACIONES,DISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO PONDERADO,DÍAS
21/04/2023 23:46:14,,MASCULINO,Ingeniería Mecatrónica,Laptop,Khan Academy,"Lenovo, Samsung",Ciencias Generales,19.5,Quinto superior,Tercero,3,3,4,2,360,6,4000,18.6,5
26/04/2023 9:32:13,,MASCULINO,Ingeniería Electrónica,Laptop,Rstudio,Acer,Ciencias Generales,19.5,Ninguno de los anteriores,Cuarto,4,4,4,3,400,4,6000,14.5,6
28/04/2023 19:52:40,,MASCULINO,Ingeniería Mecatrónica,Laptop,MatLab,Lenovo,Ciencias Generales,17,Tercio superior,Cuarto,3,4,7,3,360,6,5000,14.39,7
28/04/2023 19:53:44,,MASCULINO,Ingeniería Civil,Laptop,Pycharm,HP,Ciencias Generales,17,Tercio superior,Cuarto,2,3,5,3,240,6,3500,15,7
28/04/2023 19:54:51,,MASCULINO,Ingeniería Industrial,Smartphone,Canva,otros,Cursos de carrera,16,Tercio superior,Cuarto,3,3,4,3,120,6,1300,15.3,4
28/04/2023 19:55:17,,FEMENINO,Ingeniería Ambiental,Laptop,Canva,HP,Cursos de carrera,14,Ninguno de los anteriores,Cuarto,3,4,5,2,120,5,3300,13,7
28/04/2023 19:58:11,,MASCULINO,Ingeniería Civil,Laptop,Canva,"Acer, Xiaomi",Cursos de carrera,19,Tercio superior,Cuarto,4,4,7,2,500,6,3300,15.2,7
28/04/2023 20:01:23,,MASCULINO,Bioingeniería,Laptop,MatLab,"HP, Apple","Humanidades, Arte y Ciencias sociales(HACS)",20,Quinto superior,Cuarto,3,3,3,4,120,4,4000,15.7,4
28/04/2023 20:01:43,,FEMENINO,Bioingeniería,Laptop,Rstudio,Asus,Cursos de carrera,14.56,Decimo superior,Cuarto,3,3,3,3,300,7,3700,15.68,7
28/04/2023 20:04:03,,FEMENINO,Ingeniería Civil,Laptop,Rstudio,"Lenovo, Samsung",Cursos de carrera,14,Medio superior,Cuarto,3,3,8,2,180,5,5000,14,5
28/04/2023 20:04:29,,MASCULINO,Ingeniería Civil,Laptop,AutoCAD,"HP, otros","Proyectos Interdisciplinarios ,Tesis y Real life Experience",17,Tercio superior,Cuarto,3,3,5,3,240,6,3000,17.45,7
28/04/2023 20:04:43,,FEMENINO,Ingeniería Civil,Smartphone,Canva,Xiaomi,"Humanidades, Arte y Ciencias sociales(HACS)",18,Ninguno de los anteriores,Cuarto,3,3,0,2,500,7,4000,15.73,5
28/04/2023 20:30:00,,MASCULINO,Ciencia de la Computación,Smartphone,Visual Studio,"HP, Xiaomi",Cursos de carrera,20,Decimo superior,Tercero,4,4,8,2,240,6,1600,17.2,7
