GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
MASCULINO,Ingeniería Mecatrónica,Laptop,Khan Academy,"Lenovo, Samsung",Ciencias Generales,19.5,Quinto superior,Tercero,Regular,Regular,4,2,360,6,4000,18.6,5
MASCULINO,Ingeniería Electrónica,Laptop,Rstudio,Acer,Ciencias Generales,19.5,Ninguno de los anteriores,Cuarto,Mucho,Mucho,4,3,400,4,6000,14.5,6
MASCULINO,Ingeniería Mecatrónica,Laptop,MatLab,Lenovo,Ciencias Generales,17,Tercio superior,Cuarto,Regular,Mucho,7,3,360,6,5000,14.39,7
MASCULINO,Ingeniería Civil,Laptop,Pycharm,HP,Ciencias Generales,17,Tercio superior,Cuarto,Poco,Regular,5,3,240,6,3500,15,7
MASCULINO,Ingeniería Industrial,Smartphone,Canva,otros,Cursos de carrera,16,Tercio superior,Cuarto,Regular,Regular,4,3,120,6,1300,15.3,4
FEMENINO,Ingeniería Ambiental,Laptop,Canva,HP,Cursos de carrera,14,Ninguno de los anteriores,Cuarto,Regular,Mucho,5,2,120,5,3300,13,7
MASCULINO,Ingeniería Civil,Laptop,Canva,"Acer, Xiaomi",Cursos de carrera,19,Tercio superior,Cuarto,Mucho,Mucho,7,2,500,6,3300,15.2,7
MASCULINO,Bioingeniería,Laptop,MatLab,"HP, Apple","Humanidades, Arte y Ciencias sociales(HACS)",20,Quinto superior,Cuarto,Regular,Regular,3,4,120,4,4000,15.7,4
FEMENINO,Bioingeniería,Laptop,Rstudio,Asus,Cursos de carrera,14.56,Decimo superior,Cuarto,Regular,Regular,3,3,300,7,3700,15.68,7
FEMENINO,Ingeniería Civil,Laptop,Rstudio,"Lenovo, Samsung",Cursos de carrera,14,Medio superior,Cuarto,Regular,Regular,8,2,180,5,5000,14,5
MASCULINO,Ingeniería Civil,Laptop,AutoCAD,"HP, otros","Proyectos Interdisciplinarios ,Tesis y Real life Experience",17,Tercio superior,Cuarto,Regular,Regular,5,3,240,6,3000,17.45,7
FEMENINO,Ingeniería Civil,Smartphone,Canva,Xiaomi,"Humanidades, Arte y Ciencias sociales(HACS)",18,Ninguno de los anteriores,Cuarto,Regular,Regular,0,2,500,7,4000,15.73,5
MASCULINO,Ciencia de la Computación,Smartphone,Visual Studio,"HP, Xiaomi",Cursos de carrera,20,Decimo superior,Tercero,Mucho,Mucho,8,2,240,6,1600,17.2,7
MASCULINO,Ingeniería Industrial,Laptop,MatLab,"Dell, Samsung",Cursos de carrera,18,Tercio superior,Cuarto,Regular,Mucho,7,3,450,6,4000,15,7
MASCULINO,Ingeniería Mecatrónica,Smartphone,Google Classroom,"Lenovo, Xiaomi",Cursos de carrera,20,Quinto superior,Quinto,Regular,Mucho,8,2,240,6,2000,13.8,7
FEMENINO,Ingeniería Civil,Smartphone,Word,"Lenovo, Huawei","Humanidades, Arte y Ciencias sociales(HACS)",19,Tercio superior,Cuarto,Regular,Mucho,3,2,120,6,1200,15.5,7
MASCULINO,Ingeniería Civil,Tablet,MatLab,"HP, Samsung",Cursos de carrera,20,Quinto superior,Quinto,Mucho,Mucho,4,4,500,6,4500,18.03,7
FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Lenovo, Xiaomi",Ciencias Generales,16,Tercio superior,Cuarto,Mucho,Mucho,8,2,120,6,2500,16.1,5
FEMENINO,Ingeniería Industrial,Smartphone,Excel,"Asus, Apple",Cursos de carrera,18.3,Tercio superior,Cuarto,Mucho,Mucho,5,3,240,6,4000,15.4,6
FEMENINO,Ingeniería Industrial,Tablet,Otro,"Lenovo, Samsung, Apple",Ciencias Generales,15,Tercio superior,Cuarto,Mucho,Mucho,3,3,240,6,3800,15.87,6
MASCULINO,Ingeniería Electrónica,Smartphone,Otro,"HP, Asus, Samsung, Apple","Proyectos Interdisciplinarios ,Tesis y Real life Experience",20,Tercio superior,Cuarto,Mucho,Regular,8,6,200,7,6500,13.74,7
MASCULINO,Ingeniería Mecatrónica,Smartphone,Word,Samsung,Cursos de carrera,18.65,Decimo superior,Tercero,Mucho,Mucho,8,4,480,6,3700,19,6
MASCULINO,Ingeniería Civil,Laptop,One Note,"Asus, Samsung",Ciencias Generales,19,Decimo superior,Cuarto,Mucho,Mucho,5,2,360,7,3200,16.7,7
FEMENINO,Ingeniería Industrial,Smartphone,Word,"Asus, Samsung, Motorola",Cursos de carrera,18,Quinto superior,Cuarto,Mucho,Mucho,4,2,180,6,1800,17.7,7
FEMENINO,Ingeniería Ambiental,Laptop,Word,Asus,"Humanidades, Arte y Ciencias sociales(HACS)",15,Ninguno de los anteriores,Cuarto,Regular,Regular,5,5,360,5,4000,14,7
FEMENINO,Ingeniería Civil,Laptop,Rstudio,Asus,Cursos de carrera,18,Quinto superior,Cuarto,Regular,Regular,7,4,280,7,1800,15,7
MASCULINO,Ingeniería Civil,Laptop,Rstudio,Samsung,Ciencias Generales,16,Tercio superior,Cuarto,Regular,Mucho,5,2,240,6,5000,14,3
MASCULINO,Ingeniería Civil,Smartphone,AutoCAD,Asus,Cursos de carrera,17,Medio superior,Cuarto,Mucho,Mucho,8,2,360,6,5499,15.67,7
FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Lenovo, Xiaomi",Cursos de carrera,16,Tercio superior,Cuarto,Poco,Poco,7,2,300,6,3000,15,6
FEMENINO,Ingeniería Industrial,Laptop,Rstudio,"Asus, Samsung",Ciencias Generales,19,Quinto superior,Segundo,Regular,Regular,4,2,360,7,2500,16.9,7
FEMENINO,Ingeniería Civil,Smartphone,Khan Academy,"Lenovo, Samsung",Ciencias Generales,17,Decimo superior,Cuarto,Poco,Regular,4,2,120,5,600,11,7
FEMENINO,Ingeniería Civil,Laptop,Word,"Motorola, Huawei",Cursos de carrera,19,Tercio superior,Cuarto,Regular,Mucho,6,2,200,6,3100,15.03,7
MASCULINO,Ingeniería Mecánica,Laptop,Canva,Acer,Ciencias Generales,20,Medio superior,Cuarto,Mucho,Mucho,5,3,240,5,4000,14,6
FEMENINO,Ingeniería Ambiental,Smartphone,Khan Academy,"Asus, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",15,Ninguno de los anteriores,Quinto,Regular,Mucho,3,3,180,3,1200,12,5
FEMENINO,Ingeniería Civil,Laptop,One Note,"Lenovo, Dell, otros",Ciencias Generales,19,Tercio superior,Cuarto,Regular,Mucho,4,3,360,7,4000,15,7
FEMENINO,Ingeniería Mecatrónica,Smartphone,Khan Academy,"Lenovo, Samsung",Cursos de carrera,18,Tercio superior,Cuarto,Mucho,Mucho,4,3,480,7,3500,13,7
FEMENINO,Ingeniería Civil,Laptop,Word,"Lenovo, Xiaomi",Cursos de carrera,16,Tercio superior,Cuarto,Regular,Mucho,5,3,300,5,4600,20,7
MASCULINO,Ingeniería Industrial,Laptop,Word,"HP, Huawei",Ciencias Generales,14,Medio superior,Segundo,Regular,Mucho,2,2,480,7,3000,13.5,7
FEMENINO,Bioingeniería,Smartphone,Canva,Apple,Cursos de carrera,19,Quinto superior,Octavo,Regular,Mucho,4,2,200,5,3000,17,6
MASCULINO,Ciencia de la Computación,Laptop,CLion,Lenovo,Cursos de carrera,16,Quinto superior,Segundo,Regular,Mucho,2,2,120,6,3500,15,7
FEMENINO,Ingeniería Química,Smartphone,Canva,otros,Ciencias Generales,16,Ninguno de los anteriores,Quinto,Regular,Poco,4,2,500,4,600,16,4
FEMENINO,Ingeniería Civil,Laptop,Canva,Lenovo,Cursos de carrera,15,Decimo superior,Cuarto,Regular,Regular,4,2,180,6,4000,14,7
MASCULINO,Ingeniería Civil,Laptop,AutoCAD,Lenovo,Cursos de carrera,20,Quinto superior,Segundo,Poco,Mucho,2,3,180,7,4500,15.6,7
MASCULINO,Bioingeniería,Laptop,Otro,"Lenovo, Samsung",Cursos de carrera,18,Medio superior,Tercero,Mucho,Mucho,8,4,300,6,4000,13.7,7
FEMENINO,Bioingeniería,Tablet,Otro,Apple,Cursos de carrera,18,Tercio superior,Tercero,Mucho,Mucho,5,3,360,5,7200,16.07,7
MASCULINO,Ingeniería Mecánica,Smartphone,One Note,"Acer, otros",Ciencias Generales,17,Ninguno de los anteriores,Tercero,Regular,Mucho,7,2,450,5,4900,12.41,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Word,"Lenovo, Samsung",Ciencias Generales,17,Quinto superior,Cuarto,Regular,Regular,5,2,120,6,3500,14.64,7
FEMENINO,Ingeniería Civil,Smartphone,Rstudio,Lenovo,Ciencias Generales,15.2,Tercio superior,Cuarto,Regular,Regular,5,3,180,6,1500,15.2,4
FEMENINO,Ingeniería Civil,Laptop,Canva,"HP, Huawei",Cursos de carrera,18,Tercio superior,Cuarto,Regular,Poco,4,4,180,5,1500,15,5
FEMENINO,Ingeniería Industrial,Smartphone,Otro,"HP, Motorola",Cursos de carrera,15.35,Tercio superior,Cuarto,Mucho,Mucho,6,3,180,6,1200,14.62,7
FEMENINO,Ingeniería Industrial,Smartphone,Rstudio,HP,Ciencias Generales,18,Tercio superior,Segundo,Regular,Mucho,3,3,450,6,3000,15,6
FEMENINO,Ingeniería Industrial,Smartphone,Rstudio,Lenovo,Cursos de carrera,17,Quinto superior,Quinto,Regular,Regular,3,3,200,3,3000,16.5,6
FEMENINO,Ingeniería Mecatrónica,Smartphone,Pycharm,Apple,Cursos de carrera,16,Ninguno de los anteriores,Primero,Mucho,Mucho,5,2,500,6,6000,15,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Power point,HP,Cursos de carrera,20,Tercio superior,Septimo,Mucho,Mucho,8,3,300,5,2400,14.8,7
FEMENINO,Ingeniería Ambiental,Smartphone,Rstudio,Lenovo,Ciencias Generales,20,Decimo superior,Septimo,Mucho,Regular,5,3,240,7,7000,17.32,7
MASCULINO,Ingeniería Mecánica,Smartphone,Google Classroom,Samsung,Ciencias Generales,17,Ninguno de los anteriores,Cuarto,Regular,Regular,4,2,120,7,1200,15,3
FEMENINO,Bioingeniería,Laptop,Khan Academy,Acer,Cursos de carrera,16,Ninguno de los anteriores,Tercero,Mucho,Mucho,7,3,300,5,3190,14,7
MASCULINO,Ingeniería Mecánica,Smartphone,Khan Academy,"Acer, Samsung",Cursos de carrera,18,Medio superior,Sexto,Mucho,Regular,4,3,480,4,5000,14.69,7
