Marca temporal,¿Con qué género te identificas?,¿A qué carrera perteneces?,"¿Cuál fue el último ciclo que cursaste en 2022-II? (Por ejemplo, si ahora estás en 3er ciclo, el último ciclo cursado en 2022-II fue el 2do).",¿Cuántos cursos llevaste el ciclo 2022-1?,¿Cuántos cursos llevaste el ciclo 2022-2?,"¿Cuántas horas de sueño solías tener en el periodo 2022-1? (Si en caso eran 6h y media, colocar: 6.5)","¿Cuántas horas de sueño solías tener en el periodo 2022-2? (Si en caso eran 6h y media, colocar: 6.5)",¿Cuántas horas de clase en promedio tenías al día en el periodo 2022-1?,¿Cuántas horas de clase en promedio tenías al día en el periodo 2022-2?  ,¿Cuál fue tu promedio ponderado en 2022-1?  (Escribir con el punto como separador de la siguiente forma: 15.83),¿Cuál fue tu promedio ponderado en 2022-2?  (Escribir con el punto como separador de la siguiente forma: 15.83),¿Cuántos cursos aprobaste en el periodo 2022-1?,¿cuántos cursos aprobaste en el periodo 2022-2?,"¿Cuántas horas libres en promedio tenías al día en el periodo 2022-1? (Si en caso eran 3h y media, colocar: 3.5)","¿Cuántas horas libres en promedio tenías al día en el periodo 2022-2? (Si en caso eran 3h y media, colocar:  3.5)","En promedio, ¿cuál crees que fue tu nivel de estrés el periodo 2022-1?","En promedio, ¿cuál crees que fue tu nivel de estrés el periodo 2022-2?",¿Qué tanto interés tuviste en recibir asistencia psicológica durante el periodo 2022-2?,¿Tenías conocimiento del programa Salud Mental de Bienestar Estudiantil?,¿Ha utilizado los programas de salud mental de la universidad durante el año 2022?,¿Cuántas veces has asistido a una sesión de terapia mediante los servicios de salud mental de Bienestar Estudiantil?, ¿Cuánto tiempo has tenido que esperar para recibir o agendar una cita? (En días),¿Cuáles crees que son las principales debilidades del servicio?,"Respecto al motivo de tu visita, ¿qué tan apoyado te has sentido después de usar los servicios de psicología?",¿Cual es tu nivel de satisfacción en general con el servicio de psicología de Bienestar Estudiantil? ,¿Recomendarías el programa de Salud Mental a un amigo o conocido que este pasando por una etapa de estrés académico?,¿Por qué no hiciste uso de los servicios de Bienestar Estudiantil?,¿Cuántas sesiones crees que deben de tener los estudiantes como mínimo al mes para conseguir buenos resultados al hacer uso de estos servicios?,¿Cómo preferirías que se realicen las sesiones que pueda organizar el departamento de psicología de Bienestar Estudiantil?,¿Cuáles son los medios por los cuales Bienestar Estudiantil debería difundir información sobre su programa Salud Mental?
22/04/2023 18:12:31,Femenino,INGENIERÍA CIVIL,3er ciclo,6,6,6,5.5,6,6,16.03,15.3,6,5,3,4,Alto,Muy alto,Muy interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",3,Presenciales,Volantes en la universidad
22/04/2023 18:13:06,Masculino,CIENCIA DE LA COMPUTACIÓN,2do ciclo,6,6,8,7.6,6,6,16.9,16.1,6,6,5.5,4.5,Medio,Medio,Nada interesado,Si,No,,,,,,,"No contaba con tiempo, Miedo y vergüenza, Considero que no lo necesito",2,Virtuales,"Redes sociales, Correo Institucional, Volantes en la universidad"
22/04/2023 18:40:34,Masculino,INGENIERÍA INDUSTRIAL,4rto ciclo,6,6,6,6,4,4,16.89,16.82,6,6,6,6,Alto,Alto,Muy interesado,Si,Si,1,50,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas, Respuestas tardías, Mala actitud del personal de servicio",Muy apoyado,4,Si,,4 o más,Virtuales,Correo Institucional
22/04/2023 19:16:24,Femenino,INGENIERÍA CIVIL,4rto ciclo,6,6,6.5,7,6,5,15.05,16.03,6,6,2.5,4.5,Muy alto,Medio,Muy interesado,Si,Si,2,10,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías",Apoyado,3,No,,4 o más,Presenciales,"Redes sociales, Volantes en la universidad, CHARLAS"
22/04/2023 19:17:21,Femenino,BIOINGENIERÍA,3er ciclo,6,6,6,5,6,6,16.8,15.7,6,6,3,3,Alto,Muy alto,Muy interesado,Si,Si,2,7,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías",Apoyado,4,Si,,1,Virtuales,"Redes sociales, Correo Institucional"
24/04/2023 18:56:03,Masculino,INGENIERÍA CIVIL,3er ciclo,6,6,10,9,6,6,15.7,15.3,6,6,6,6,Medio,Medio,Poco interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo, Miedo y vergüenza",3,Virtuales,"Redes sociales, CHARLAS"
24/04/2023 18:57:39,Femenino,INGENIERÍA CIVIL,4rto ciclo,6,6,8,6,8,8,15.7,13.6,5,5,5,4,Muy alto,Muy alto,Muy interesado,Si,Si,3,7,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías",Muy apoyado,4,Si,,3,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
24/04/2023 19:19:29,Masculino,INGENIERÍA AMBIENTAL,2do ciclo,6,6,6.5,5.5,4,4,14.56,14.34,6,5,2.5,2.0,Alto,Alto,Nada interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
24/04/2023 19:28:39,Femenino,INGENIERÍA CIVIL,2do ciclo,5,5,7,5,4,4,15,16,5,5,3,6,Bajo,Bajo,Muy interesado,Si,Si,1,3,Respuestas tardías,Muy apoyado,5,Si,,2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad"
24/04/2023 20:14:35,Femenino,INGENIERÍA AMBIENTAL,3er ciclo,5,4,8.00,7.00,5,5,13,14,4,4,3,2,Medio,Alto,Poco interesado,Si,Si,2,3,La página Web “Registra tu cita” tiene problemas,Apoyado,3,Si,,2,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
25/04/2023 7:30:38,Femenino,INGENIERÍA INDUSTRIAL,6to ciclo,3,4,7,6,3,4,17.5,17.83,3,4,5,4,Medio,Alto,Poco interesado,Si,No,,,,,,,Malas referencias,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
25/04/2023 22:59:31,Masculino,INGENIERÍA QUÍMICA,4rto ciclo,4,4,7,7,6,5,11.67,14.08,3,3,3,4,Alto,Medio,Poco interesado,No,No,,,,,,,No estaba enterado,4 o más,Presenciales,"Redes sociales, Correo Institucional, CHARLAS"
25/04/2023 23:15:30,Femenino,INGENIERÍA AMBIENTAL,3er ciclo,6,6,6,6,6,6,14.3,14,6,6,4,4,Medio,Medio,Nada interesado,Si,No,,,,,,,No contaba con tiempo,1,Presenciales,"Redes sociales, Volantes en la universidad"
25/04/2023 23:50:21,Masculino,INGENIERÍA CIVIL,4rto ciclo,7,6,4,4,7,7,14.56,13.4,7,5,2,4,Muy alto,Alto,Nada interesado,No,No,,,,,,,"No estaba enterado, No contaba con tiempo",4 o más,Presenciales,"Redes sociales, Correo Institucional"
26/04/2023 10:35:13,Masculino,CIENCIA DE LA COMPUTACIÓN,3er ciclo,5,6,8,6,3,4,17.05,16.04,5,6,6,3,Bajo,Medio,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
26/04/2023 10:45:51,Masculino,INGENIERÍA AMBIENTAL,4rto ciclo,7,6,5,5.5,8,5,15.5,16.6,6,7,4.2,4.2,Medio,Alto,Poco interesado,No,No,,,,,,,No estaba enterado,1,Presenciales,Redes sociales
26/04/2023 12:51:59,Otros,INGENIERÍA INDUSTRIAL,2do ciclo,7,6,6,8,4,3,17.1,16.9,6,1,1,3,Muy alto,Medio,Poco interesado,No,Si,1,7,Las agendas de los psicólogos suelen estar llenas,Apoyado,4,Si,,4 o más,Virtuales,"Redes sociales, Correo Institucional"
26/04/2023 13:33:13,Masculino,INGENIERÍA MECÁNICA,2do ciclo,7,6,7,7.5,4,4,14.40,12.33,7,4,4.5,4,Alto,Medio,Poco interesado,Si,No,,,,,,,Considero que no lo necesito,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
26/04/2023 13:33:15,Masculino,INGENIERÍA MECÁNICA,2do ciclo,7,6,7.5,7.5,4,4,17.45,17.34,7,5,5.5,4,Medio,Medio,Nada interesado,Si,No,,,,,,,Considero que no lo necesito,2,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
26/04/2023 15:58:19,Masculino,INGENIERÍA INDUSTRIAL,1er ciclo,6,7,4,6,4,5,14,16,6,7,2,3,Alto,Muy alto,Muy interesado,Si,No,,,,,,,No contaba con tiempo,4 o más,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
26/04/2023 15:58:31,Femenino,INGENIERÍA INDUSTRIAL,2do ciclo,7,6,4,5,7,6,18.00,16.00,7,6,4.,5.,Muy alto,Muy alto,Nada interesado,Si,No,,,,,,,No había horarios disponibles acorde a mi tiempo libre,3,Presenciales,"Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
26/04/2023 16:09:57,Masculino,CIENCIA DE LA COMPUTACIÓN,3er ciclo,7,6,7,5.5,6,6,14.02,13.75,6,5,6,5,Medio,Alto,Poco interesado,Si,Si,2,3,Respuestas tardías,Apoyado,4,Si,,2,Presenciales,"Correo Institucional, CHARLAS"
26/04/2023 19:47:10,Masculino,BIOINGENIERÍA,4rto ciclo,7,7,6,6,5,4,16,12,7,5,2,3,Medio,Alto,Poco interesado,Si,No,,,,,,,No contaba con tiempo,3,Presenciales,"Redes sociales, Correo Institucional"
26/04/2023 19:47:50,Femenino,BIOINGENIERÍA,3er ciclo,7,5,4,5,6,4,14.16,13.5,4,4,3,3,Alto,Alto,Poco interesado,No,No,,,,,,,No estaba enterado,3,Presenciales,"Redes sociales, CHARLAS"
