"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Asistencia","Tiempo_espera","Debilidades","Apoyo","Satisfaccion","Sesiones_minimas","Modalidad","Medios"
"1","Masculino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,6,6,4,4,16.89,16.82,6,6,6,6,"Alto","Alto","Muy interesado","Si","Si",1,50,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas, Respuestas tardías, Mala actitud del personal de servicio","Muy apoyado",4,5,"Virtuales","Correo Institucional"
"2","Femenino","INGENIERÍA CIVIL","4rto ciclo",6,6,6.5,7,6,5,15.05,16.03,6,6,2.5,4.5,"Muy alto","Medio","Muy interesado","Si","Si",2,10,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Apoyado",3,5,"Presenciales","Redes sociales, Volantes en la universidad, CHARLAS"
"3","Femenino","BIOINGENIERÍA","3er ciclo",6,6,6,5,6,6,16.8,15.7,6,6,3,3,"Alto","Muy alto","Muy interesado","Si","Si",2,7,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Apoyado",4,1,"Virtuales","Redes sociales, Correo Institucional"
"4","Femenino","INGENIERÍA CIVIL","4rto ciclo",6,6,8,6,8,8,15.7,13.6,5,5,5,4,"Muy alto","Muy alto","Muy interesado","Si","Si",3,7,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Muy apoyado",4,3,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"5","Femenino","INGENIERÍA CIVIL","2do ciclo",5,5,7,5,4,4,15,16,5,5,3,6,"Bajo","Bajo","Muy interesado","Si","Si",1,3,"Respuestas tardías","Muy apoyado",5,2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"6","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",5,4,8,7,5,5,13,14,4,4,3,2,"Medio","Alto","Poco interesado","Si","Si",2,3,"La página Web “Registra tu cita” tiene problemas","Apoyado",3,2,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"7","Otros","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,6,8,4,3,17.1,16.9,6,1,1,3,"Muy alto","Medio","Poco interesado","No","Si",1,7,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,5,"Virtuales","Redes sociales, Correo Institucional"
"8","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",7,6,7,5.5,6,6,14.02,13.75,6,5,6,5,"Medio","Alto","Poco interesado","Si","Si",2,3,"Respuestas tardías","Apoyado",4,2,"Presenciales","Correo Institucional, CHARLAS"
"9","Femenino","BIOINGENIERÍA","2do ciclo",5,6,7,7,4,5,15.46,13.45,6,6,3.5,3.5,"Alto","Alto","Poco interesado","Si","Si",3,7,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",3,3,"Virtuales","Redes sociales, Correo Institucional"
"10","Femenino","INGENIERÍA CIVIL","3er ciclo",6,5,5,4,4,5,14.45,13.35,6,5,2,3,"Medio","Medio","Muy interesado","Si","Si",2,2,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",5,3,"Presenciales","Redes sociales"
