País Destino, Año , Meses , Total registros , Total KG ,US$ / KG,US$
CHINA,2021, Enero ,  58 ,  429.876.939 ,"2,018",867384807
JAPÓN,2021, Enero ,  1 ,  31.501.980 ,"1,557",49037230
ALEMANIA,2021, Enero ,  2 ,  20.521.552 ,"2,252",46224769
POLONIA,2021, Enero ,  1 ,  20.002.800 ,"2,302",46047515
FINLANDIA,2021, Enero ,  2 ,  20.955.639 ,"1,839",38530928
NAMIBIA,2021, Enero ,  1 ,  23.646.076 ,"1,461",34543451
SUECIA,2021, Enero ,  1 ,  10.509.052 ,"2,634",27676206
TAIWÁN,2021, Enero ,  1 ,  10.036.350 ,"1,714",17203651
BULGARIA,2021, Enero ,  1 ,  10.501.140 ,"1,478",15523851
COREA DEL SUR,2021, Enero ,  5 ,  7.214.027 ,"1,706",12305154
MALASIA,2021, Enero ,  3 ,  4.637.544 ,"1,564",7254022
CANADÁ,2021, Enero ,  1 ,  221.274 ,"11,410",2524761
ESPAÑA,2021, Enero ,  1 ,  319.790 ,"1,908",610032
CHILE,2021, Enero ,  1 ,  517 ,"0,501",259
CHINA,2021, Febrero ,  75 ,  496.890.417 ,"2,151",1068696738
ALEMANIA,2021, Febrero ,  4 ,  42.028.160 ,"2,671",112261592
JAPÓN,2021, Febrero ,  2 ,  41.004.960 ,"1,813",74328170
COREA DEL SUR,2021, Febrero ,  6 ,  13.932.945 ,"2,495",34769068
INDIA,2021, Febrero ,  2 ,  11.001.085 ,"2,500",27499396
MALASIA,2021, Febrero ,  2 ,  2.240.083 ,"1,930",4323374
TAIWÁN,2021, Febrero ,  1 ,  288.330 ,"4,082",1176959
ESPAÑA,2021, Febrero ,  1 ,  184.633 ,"1,731",319519
ZONA FRANCA PERÚ,2021, Febrero ,  1 ,  274.880 ,"0,032",8902
CANADÁ,2021, Febrero ,  2 ,  3.874 ,"0,000",0
CHINA,2021, Marzo ,  47 ,  373.527.442 ,"2,227",831872272
JAPÓN,2021, Marzo ,  7 ,  86.083.378 ,"2,005",172556297
COREA DEL SUR,2021, Marzo ,  17 ,  50.556.077 ,"2,697",136347445
BULGARIA,2021, Marzo ,  3 ,  32.387.200 ,"2,314",74945590
FINLANDIA,2021, Marzo ,  2 ,  21.308.584 ,"2,163",46083708
ESPAÑA,2021, Marzo ,  1 ,  10.684.896 ,"2,662",28441331
FILIPINAS,2021, Marzo ,  1 ,  10.505.995 ,"2,529",26565005
SUECIA,2021, Marzo ,  1 ,  10.186.745 ,"2,533",25800396
ALEMANIA,2021, Marzo ,  1 ,  10.302.160 ,"1,921",19790287
TAIWÁN,2021, Marzo ,  1 ,  9.705.878 ,"1,732",16812529
MALASIA,2021, Marzo ,  2 ,  2.256.405 ,"1,764",3979383
CANADÁ,2021, Marzo ,  1 ,  226.871 ,"12,471",2829416
BRASIL,2021, Marzo ,  2 ,  5.595 ,"0,991",5544
CHINA,2021, Abril ,  82 ,  436.611.159 ,"2,132","930996689,3"
JAPÓN,2021, Abril ,  5 ,  52.488.409 ,"1,994",104681617
ESPAÑA,2021, Abril ,  3 ,  43.891.491 ,"1,744",76550552
BULGARIA,2021, Abril ,  4 ,  31.141.977 ,"2,222",69202251
ALEMANIA,2021, Abril ,  3 ,  31.370.024 ,"2,147",67354123
COREA DEL SUR,2021, Abril ,  12 ,  17.301.976 ,"2,972",51418339
TAIWÁN,2021, Abril ,  1 ,  10.209.077 ,"2,481",25328511
FILIPINAS,2021, Abril ,  1 ,  9.909.289 ,"2,181",21616941
MALASIA,2021, Abril ,  3 ,  2.669.524 ,"1,674",4469171
MÉXICO,2021, Abril ,  1 ,  366.514 ,"2,554",936051
CHILE,2021, Abril ,  1 ,  235 ,"1,000",235
CHINA,2021, Mayo ,  92 ,  529.160.456 ,"2,466",1304664438
JAPÓN,2021, Mayo ,  7 ,  74.785.131 ,"2,451",183317763
COREA DEL SUR,2021, Mayo ,  15 ,  30.303.763 ,"3,158",95703323
ESPAÑA,2021, Mayo ,  1 ,  10.888.500 ,"2,090",22754699
FILIPINAS,2021, Mayo ,  1 ,  10.944.390 ,"1,839",20129897
MALASIA,2021, Mayo ,  5 ,  4.063.407 ,"1,805",7334755
CANADÁ,2021, Mayo ,  1 ,  189.660 ,"12,524",2375349
MÉXICO,2021, Mayo ,  1 ,  366.560 ,"2,573",943302
TAIWÁN,2021, Mayo ,  1 ,  369.953 ,"1,989",735977
CHINA,2021, Junio ,  78 ,  409.496.978 ,"2,393",979990323
COREA DEL SUR,2021, Junio ,  12 ,  56.292.131 ,"3,186",179325357
INDIA,2021, Junio ,  4 ,  44.001.424 ,"2,872",126377206
JAPÓN,2021, Junio ,  6 ,  50.606.725 ,"2,039",103211127
POLONIA,2021, Junio ,  1 ,  11.001.723 ,"3,141",34556168
MALASIA,2021, Junio ,  6 ,  16.223.275 ,"1,798",29172519
ALEMANIA,2021, Junio ,  1 ,  10.004.680 ,"2,510",25106812
CHILE,2021, Junio ,  1 ,  600.900 ,"2,805",1685637
CHINA,2021, Julio ,  78 ,  447.482.380 ,"2,167",969897126
COREA DEL SUR,2021, Julio ,  11 ,  47.230.003 ,"2,869",135485953
ALEMANIA,2021, Julio ,  3 ,  32.193.830 ,"2,189",70469304
INDIA,2021, Julio ,  3 ,  30.945.020 ,"2,195",67913523
JAPÓN,2021, Julio ,  3 ,  32.753.382 ,"2,019",66118843
FILIPINAS,2021, Julio ,  1 ,  9.975.998 ,"2,494",24875911
ESPAÑA,2021, Julio ,  1 ,  10.043.000 ,"1,793",18012091
TAIWÁN,2021, Julio ,  1 ,  10.054.000 ,"1,781",17905076
MALASIA,2021, Julio ,  4 ,  4.243.124 ,"1,742",7393404
CANADÁ,2021, Julio ,  1 ,  264 ,"0,004",1
CHINA,2021, Agosto ,  95 ,  495.413.806 ,"2,333",1155990780
JAPÓN,2021, Agosto ,  6 ,  63.981.391 ,"2,331",149114786
COREA DEL SUR,2021, Agosto ,  10 ,  55.427.026 ,"2,522",139781775
ALEMANIA,2021, Agosto ,  3 ,  31.408.224 ,"2,138",67144265
FILIPINAS,2021, Agosto ,  2 ,  22.001.492 ,"2,924",64328677
SINGAPUR,2021, Agosto ,  1 ,  10.041.400 ,"2,521",25315251
