País Destino; Año ; Meses ; Total registros ;Total KG;US/KG;US;;;;;;;;;;;;;;;;;;;
CHINA;2021; Enero ; 58 ;429876939.00;2.018;867384807;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Enero ; 1 ;31501980.00;1.557;49037230;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Enero ; 2 ;20521552.00;2.252;46224769;;;;;;;;;;;;;;;;;;;
POLONIA;2021; Enero ; 1 ;20002800.00;2.302;46047515;;;;;;;;;;;;;;;;;;;
FINLANDIA;2021; Enero ; 2 ;20955639.00;1.839;38530928;;;;;;;;;;;;;;;;;;;
NAMIBIA;2021; Enero ; 1 ;23646076.00;1.461;34543451;;;;;;;;;;;;;;;;;;;
SUECIA;2021; Enero ; 1 ;10509052.00;2.634;27676206;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Enero ; 1 ;10036350.00;1.714;17203651;;;;;;;;;;;;;;;;;;;
BULGARIA;2021; Enero ; 1 ;10501140.00;1.478;15523851;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Enero ; 5 ;7214027.00;1.706;12305154;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Enero ; 3 ;4637544.00;1.564;7254022;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Enero ; 1 ;221274.00;11.410;2524761;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Enero ; 1 ;319790.00;1.908;610032;;;;;;;;;;;;;;;;;;;
CHILE;2021; Enero ; 1 ;517.00;0.501;259;;;;;;;;;;;;;;;;;;;
CHINA;2021; Febrero ; 75 ;496890417.00;2.151;1068696738;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Febrero ; 4 ;42028160.00;2.671;112261592;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Febrero ; 2 ;41004960.00;1.813;74328170;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Febrero ; 6 ;13932945.00;2.495;34769068;;;;;;;;;;;;;;;;;;;
INDIA;2021; Febrero ; 2 ;11001085.00;2.500;27499396;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Febrero ; 2 ;2240083.00;1.930;4323374;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Febrero ; 1 ;288330.00;4.082;1176959;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Febrero ; 1 ;184633.00;1.731;319519;;;;;;;;;;;;;;;;;;;
ZONA FRANCA PERÚ;2021; Febrero ; 1 ;274880.00;0.032;8902;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Febrero ; 2 ;3874.00;0.000;0;;;;;;;;;;;;;;;;;;;
CHINA;2021; Marzo ; 47 ;373527442.00;2.227;831872272;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Marzo ; 7 ;86083378.00;2.005;172556297;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Marzo ; 17 ;50556077.00;2.697;136347445;;;;;;;;;;;;;;;;;;;
BULGARIA;2021; Marzo ; 3 ;32387200.00;2.314;74945590;;;;;;;;;;;;;;;;;;;
FINLANDIA;2021; Marzo ; 2 ;21308584.00;2.163;46083708;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Marzo ; 1 ;10684896.00;2.662;28441331;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Marzo ; 1 ;10505995.00;2.529;26565005;;;;;;;;;;;;;;;;;;;
SUECIA;2021; Marzo ; 1 ;10186745.00;2.533;25800396;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Marzo ; 1 ;10302160.00;1.921;19790287;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Marzo ; 1 ;9705878.00;1.732;16812529;;;;;;;;;;;;;;;;;;;
MALASIA;2021; Marzo ; 2 ;2256405.00;1.764;3979383;;;;;;;;;;;;;;;;;;;
CANADÁ;2021; Marzo ; 1 ;226871.00;12.471;2829416;;;;;;;;;;;;;;;;;;;
BRASIL;2021; Marzo ; 2 ;5595.00;0.991;5544;;;;;;;;;;;;;;;;;;;
CHINA;2021; Abril ; 82 ;436611159.00;2.132;930996689.3;;;;;;;;;;;;;;;;;;;
JAPÓN;2021; Abril ; 5 ;52488409.00;1.994;104681617;;;;;;;;;;;;;;;;;;;
ESPAÑA;2021; Abril ; 3 ;43891491.00;1.744;76550552;;;;;;;;;;;;;;;;;;;
BULGARIA;2021; Abril ; 4 ;31141977.00;2.222;69202251;;;;;;;;;;;;;;;;;;;
ALEMANIA;2021; Abril ; 3 ;31370024.00;2.147;67354123;;;;;;;;;;;;;;;;;;;
COREA DEL SUR;2021; Abril ; 12 ;17301976.00;2.972;51418339;;;;;;;;;;;;;;;;;;;
TAIWÁN;2021; Abril ; 1 ;10209077.00;2.481;25328511;;;;;;;;;;;;;;;;;;;
FILIPINAS;2021; Abril ; 1 ;9909289.00;2.181;21616941;;;;;;;;;;;;;;;;;;;
