Marca temporal,¿Usted fue afectado de manera directa ó indirecta por el ciclón Yaku?,Carrera,Género,Edad ( ingrese un número entero y no negativo),Seleccione el número de personas en su vivienda,Sector de nacimiento,¿Te afecto económicamente el ciclón Yaku?,¿Ha experimentado problemas de salud física o mental debido al ciclón Yaku?,"¿Ha experimentado interrupciones en el transporte en general, incluyendo transporte público, vehículo personal, y otros medios de transporte debido al ciclón Yaku?", ¿Ha sufrido interrupciones en el acceso a la educación debido al ciclón Yaku?,Seleccione su tipo de vivienda,Tipo de localidad,¿Cuál fue su estado de ánimo durante el ciclón?,¿Cuál fue su estado de ánimo después del ciclón?,Seleccione la forma de apoyo que brindó,"Según su opinión, califique el grado de afectación del ciclón Yaku",¿Cuál es su nivel socioeconómico?,Califique el grado de satisfacción a la respuesta del Gobierno,¿Cuál cree usted que es su nivel de preparación ante un fenómeno natural?,"Aproximadamente, ¿cuál fue el gasto por los daños ocasionados por el ciclón Yaku? 
(Nuevos soles S/.)","Aproximadamente, ¿Con cuánto dinero apoyaste a los damnificados?
(Nuevos soles S/.)"
26/04/2023 21:30:45,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:31:02,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:32:16,Sí,Ingeniería Industrial,Femenino,19,2,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,Si,Si,Departamento,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,5,C,4,Mínima,0,0
26/04/2023 21:33:31,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:36:23,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:37:04,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:37:16,Sí,Ingeniería Industrial,Femenino,19,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,No,Departamento,Urbana,Enojo,Ninguna de las anteriores,No brindé apoyo,3,D,10,Mínima,0,0
26/04/2023 21:38:26,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:44:41,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:49:08,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:49:41,Sí,Ingeniería Civil,Masculino,19,6,"Norte (Tumbes, Piura, Lambayeque, La Libertad)",Si,No,Si,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,Ayuda financiera,3,B,3,Intermedia,0,2000
26/04/2023 21:49:46,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:50:06,Sí,Ciencia de la Computación,Masculino,18.5,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,Si,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,1,A,5,Avanzada,No tuve gastos,0
26/04/2023 21:53:28,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:53:34,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 21:54:28,Sí,Bioingeniería,Femenino,19,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,No,Casa,Urbana,Estrés,Estrés,No brindé apoyo,5,D,1,Intermedia,1000,0
26/04/2023 21:56:47,Sí,Ingeniería Industrial,Femenino,19,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,No,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,2,E,3,Intermedia,0,0
26/04/2023 21:59:53,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 22:04:44,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 22:07:51,Sí,Ingeniería Ambiental,Masculino,20,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,Si,Casa,Urbana,Enojo,Depresión,"Refugio y alojamiento, Donación de recursos materiales, Ayuda voluntaria",7,B,3,Mínima,1000.00,00.00
26/04/2023 22:08:08,Sí,Ingeniería Industrial,Femenino,24,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,Si,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,4,E,2,Mínima,70,0
26/04/2023 22:08:19,Sí,Ingeniería Civil,Masculino,19,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,Si,Casa,Rural,Ninguna de las anteriores,Ninguna de las anteriores,Ayuda voluntaria,4,E,5,Intermedia,146,0
26/04/2023 22:10:13,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 22:13:35,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 22:17:16,Sí,Ingeniería Química,Femenino,20,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,No,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,6,D,5,Intermedia,0,0
26/04/2023 22:31:07,Sí,Bioingeniería,Femenino,18,6,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,No,Casa,Urbana,Estrés,Estrés,Donación de recursos materiales,5,C,7,Intermedia,500,100
26/04/2023 22:37:57,Sí,Ingeniería Civil,Masculino,20,3,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,No,Si,No,Casa,Urbana,Estrés,Depresión,Ayuda voluntaria,7,C,6,Intermedia,2000,500
26/04/2023 22:46:26,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 23:01:51,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 23:06:59,No,,,,,,,,,,,,,,,,,,,,
26/04/2023 23:53:35,Sí,Bioingeniería,Femenino,22,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,4,B,5,Intermedia,200,0
27/04/2023 1:46:32,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 7:15:53,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 8:59:20,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 9:01:03,Sí,Bioingeniería,Masculino,20,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,Si,Si,Departamento,Urbana,Estrés,Ninguna de las anteriores,Donación de recursos materiales,5,C,5,Intermedia,0,50
27/04/2023 9:04:38,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 9:37:41,Sí,Ingeniería Civil,Femenino,18,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Urbana,Enojo,Estrés,"Servicio médico y psicológico, Refugio y alojamiento, Donación de recursos materiales",9,D,2,Mínima,1000,100
27/04/2023 11:53:25,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 11:56:08,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 11:58:11,Sí,Ingeniería Civil,Masculino,19,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,No,No,Casa,Urbana,Estrés,Ninguna de las anteriores,Ayuda financiera,8,C,4,Mínima,0,500
27/04/2023 13:02:01,Sí,Bioingeniería,Femenino,19,5,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,Si,Casa,Rural,Estrés,Depresión,"Ayuda financiera, Servicio médico y psicológico, Refugio y alojamiento, Donación de recursos materiales",7,D,4,Intermedia,2500,100
27/04/2023 13:48:07,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 14:31:59,Sí,Administración y Negocios Digitales,Masculino,18,2,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,No,No,No,Departamento,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,4,D,3,Mínima,0,200
27/04/2023 15:41:13,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 19:09:46,Sí,Ingeniería Química,Femenino,21,9,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,Si,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,8,E,5,Mínima,200,0
27/04/2023 19:16:19,No,,,,,,,,,,,,,,,,,,,,
27/04/2023 21:49:24,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 12:16:33,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 13:13:59,Sí,Bioingeniería,Femenino,19,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,No,Casa,Urbana,Estrés,Estrés,Donación de recursos materiales,8,C,8,Mínima,300,100
28/04/2023 13:19:37,Sí,Bioingeniería,Femenino,17,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,Si,Casa,Urbana,Ninguna de las anteriores,Depresión,"Ayuda financiera, Donación de recursos materiales",7,D,6,Intermedia,300,150
28/04/2023 13:45:23,Sí,Ingeniería Química,Femenino,20,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Rural,Depresión,Ninguna de las anteriores,No brindé apoyo,7,B,1,Mínima,1.000,100
28/04/2023 13:48:57,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 13:52:37,Sí,Ingeniería Mecánica,Femenino,19,6,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,"Ayuda financiera, Donación de recursos materiales",8,E,7,Intermedia,0,100
28/04/2023 14:03:28,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 14:03:57,Sí,Ingeniería Industrial,Femenino,18,4,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",No,Si,No,Si,Casa,Urbana,Depresión,Estrés,"Servicio médico y psicológico, Donación de recursos materiales, Ayuda voluntaria",3,D,4,Mínima,2782,782
28/04/2023 15:34:05,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 15:42:00,No,,,,,,,,,,,,,,,,,,,,
28/04/2023 17:02:26,Sí,Ingeniería Civil,Femenino,19,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,Si,Casa,Rural,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,5,B,3,Mínima,100,0
28/04/2023 23:14:04,No,,,,,,,,,,,,,,,,,,,,
29/04/2023 0:39:18,No,,,,,,,,,,,,,,,,,,,,
29/04/2023 10:29:39,Sí,Ingeniería Electrónica,Masculino,20,2,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",No,No,Si,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,"Refugio y alojamiento, Donación de recursos materiales",7,C,7,Intermedia,300,100
29/04/2023 12:00:44,Sí,Ingeniería Civil,Femenino,19,5,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",Si,Si,Si,Si,Casa,Rural,Estrés,Depresión,No brindé apoyo,7,A,2,Avanzada,4000,00
29/04/2023 16:01:33,No,,,,,,,,,,,,,,,,,,,,
30/04/2023 21:16:20,Sí,Ingeniería Civil,Femenino,18,2,"Sur (Arequipa, Moquegua, Tacna, Ayacucho, Huancavelica, Apurímac, Cusco, Puno)",Si,Si,Si,Si,Casa,Urbana,Estrés,Depresión,Refugio y alojamiento,6,E,4,Mínima,1000,200
30/04/2023 21:19:15,No,,,,,,,,,,,,,,,,,,,,
30/04/2023 21:21:17,Sí,Bioingeniería,Femenino,18,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,Si,Casa,Urbana,Estrés,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",7,D,7,Intermedia,300,200
30/04/2023 21:24:31,Sí,Ingeniería Ambiental,Masculino,20,6,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,No,No,Departamento,Urbana,Enojo,Estrés,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",8,C,7,Intermedia,200,50
30/04/2023 22:17:20,Sí,Ingeniería de la Energía,Masculino,19,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,No,No,Departamento,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,3,B,8,Mínima,0,0
30/04/2023 22:17:23,Sí,Ingeniería Química,Masculino,21,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,No,Casa,Urbana,Estrés,Enojo,Donación de recursos materiales,7,C,6,Mínima,400,100
30/04/2023 22:17:51,No,,,,,,,,,,,,,,,,,,,,
30/04/2023 22:19:27,Sí,Ingeniería Civil,Femenino,19,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,No,Departamento,Urbana,Depresión,Estrés,"Ayuda financiera, Ayuda voluntaria",8,D,8,Mínima,300,150
1/05/2023 0:19:24,Sí,Ingeniería Mecánica,Masculino,18,6,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,No,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,Donación de recursos materiales,6,D,3,Intermedia,300,500
1/05/2023 8:14:41,Sí,Ingeniería Química,Femenino,19,6,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,Si,Casa,Urbana,Estrés,Depresión,"Ayuda financiera, Donación de recursos materiales",6,C,5,Intermedia,350,100
1/05/2023 10:08:14,No,,,,,,,,,,,,,,,,,,,,
1/05/2023 13:58:52,No,,,,,,,,,,,,,,,,,,,,
1/05/2023 14:13:50,No,,,,,,,,,,,,,,,,,,,,
1/05/2023 19:45:08,No,,,,,,,,,,,,,,,,,,,,
1/05/2023 21:00:24,Sí,Ingeniería Mecatrónica,Masculino,21,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,Si,No,No,Departamento,Urbana,Estrés,Estrés,No brindé apoyo,2,E,7,Mínima,0,0
2/05/2023 10:07:30,Sí,Ingeniería Mecatrónica,Masculino,21,5,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,No,Casa,Urbana,Estrés,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",5,D,6,Mínima,350,100
2/05/2023 15:37:36,Sí,Bioingeniería,Femenino,18,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Urbana,Depresión,Estrés,"Ayuda financiera, Refugio y alojamiento",8,E,4,Intermedia,1200,200
3/05/2023 12:50:39,Sí,Ingeniería Electrónica,Femenino,20,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,Si,Casa,Urbana,Enojo,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",7,C,6,Mínima,400,150
3/05/2023 15:09:32,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 15:14:12,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 15:33:02,Sí,Ingeniería Industrial,Femenino,18,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,No,Casa,Urbana,Estrés,Estrés,No brindé apoyo,5,E,4,Mínima,100,0
3/05/2023 16:06:56,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 16:08:22,Sí,Ingeniería Civil,Masculino,19,4,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,No,No,Otros,Rural,Depresión,Depresión,Ayuda financiera,7,C,2,Intermedia,1000,200
3/05/2023 16:10:43,Sí,Ingeniería Química,Femenino,19,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,Si,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,4,D,1,Intermedia,0,0
3/05/2023 16:11:45,Sí,Ciencia de la Computación,Masculino,19,5,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,No,Si,No,Casa,Rural,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,2,E,6,Intermedia,100,0
3/05/2023 16:13:58,Sí,Bioingeniería,Femenino,26,6,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,No,No,Casa,Urbana,Estrés,Estrés,No brindé apoyo,2,C,1,Mínima,800,0
3/05/2023 16:15:43,Sí,Ingeniería Química,Femenino,23,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,No,Si,Departamento,Urbana,Depresión,Depresión,"Ayuda financiera, Donación de recursos materiales, Ayuda voluntaria",7,C,6,Mínima,350,100
3/05/2023 16:23:32,Sí,Ciencia de la Computación,Masculino,18,4,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,Si,Si,No,Casa,Urbana,Ninguna de las anteriores,Ninguna de las anteriores,No brindé apoyo,3,B,4,Mínima,20,0
3/05/2023 16:27:07,Sí,Ingeniería Mecatrónica,Masculino,18,5,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,Si,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,5,C,1,Intermedia,500,0
3/05/2023 16:37:19,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 16:58:03,Sí,Ciencia de datos,Femenino,20,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",No,Si,No,Si,Casa,Rural,Enojo,Depresión,Donación de recursos materiales,6,D,3,Intermedia,100,90
3/05/2023 16:58:25,Sí,Ingeniería Industrial,Masculino,19,3,"Centro (Ancash, Lima, Ica, Huánuco, Pasco, Junín)",Si,No,Si,No,Casa,Urbana,Estrés,Ninguna de las anteriores,No brindé apoyo,6,D,4,Mínima,50,0
3/05/2023 17:17:46,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:21:09,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:21:22,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:21:36,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:21:50,No,,,,,,,,,,,,,,,,,,,,
3/05/2023 17:24:43,Sí,Ingeniería Química,Masculino,19,5,"Norte (Tumbes, Piura, Lambayeque, La Libertad, Cajamarca)",Si,Si,Si,Si,Casa,Rural,Enojo,Estrés,No brindé apoyo,7,E,3,Mínima,150,0
