wp,activity,start_date,end_date
Etapa 1,Definir objetivos,2/04/2023,5/04/2023
Etapa 1,"Definir poblacion, muestra y muestreo",2/04/2023,5/04/2023
Etapa 1,Definir variables,5/04/2023,10/04/2023
Etapa 2,Obtención de datos,10/04/2023,12/04/2023
Etapa 2,Restricción de datos,11/04/2023,12/04/2023
Etapa 3,Limpieza de datos,12/04/2023,21/04/2023
Etapa 3,Recodificacion de data,21/04/2023,24/04/2023
Etapa 4,Definicion relacion entre variables,24/04/2023,3/05/2023
Etapa 4,Elaboracion de descriptores,3/05/2023,28/05/2023
Etapa 4,Organizacion de presentacion,29/05/2023,2/06/2023
