IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2021-2,No,E,Becado,100,6,11,Otros,0,Soy prepago,6,Ahorra un poco,No,"No conoce, no administra",Casi nunca,Podcast,30,1,Muy mala,0,Sí,3,Ineficiente,0
2021-2,No,E,Becado,150,6,10,Otros,10,Soy postpago,6,Ahorra todo,Sí,"Si conoce, no administra",A veces,Otros,5,2,Regular,0,No,5,Eficiente,0
2020-1,No,D,No becado,100,1,16,Bus,1.5,Soy postpago,4,Ahorra casi todo,No,"Si conoce, no administra",A veces,Instagram,15,3,Mala,0,Sí,0,Poco eficiente,0
2021-2,No,E,Becado,100,1,15,Metropolitano o tren,6.25,Soy postpago,5,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Otros,15,0,Excelente,0,Sí,3,Muy eficiente,0
2021-1,No,E,Becado,50,3,13,Taxi,100,Soy postpago,5,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Podcast,35,3,Regular,0,Sí,3,Muy eficiente,0
2019-1,Sí,E,Becado,100,2,12,Taxi,40,Soy postpago,2,Ahorra casi todo,Sí,"Si conoce, si administra",Casi siempre,Tik Tok,20,0,Buena,1,No,2,Eficiente,0
2021-2,No,E,Becado,80,3,11,Metropolitano o tren,12.5,Soy postpago,5,Ahorra casi todo,No,"Si conoce, si administra",A veces,Otros,15,0,Buena,1,Sí,2,Eficiente,0
2021-2,Sí,E,Becado,10,6,11,Otros,100,Soy postpago,2,Ahorra todo,No,"No conoce, no administra",Casi nunca,Otros,15,0,Muy mala,0,No,4,Eficiente,0
2021-2,No,E,Becado,200,1,13,Bus,20,Soy prepago,6,Ahorra un poco,Sí,"No conoce, no administra",Rara vez,Tik Tok,15,1,Regular,1,Sí,4,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,20,2,17,Bus,30,Soy prepago,5,Ahorra un poco,No,"No conoce, no administra",Casi nunca,Facebook,5,0,Mala,0,No,3,Poco eficiente,0
2021-2,No,E,Becado,110,5,10,Bus,75,Soy postpago,5,Ahorra todo,Sí,"No conoce, si administra",Rara vez,Otros,15,0,Buena,1,Sí,0,Eficiente,0
2021-2,No,E,Becado,100,4,11,Metropolitano o tren,15,Soy postpago,6,Ahorra un poco,No,"Si conoce, no administra",Rara vez,Otros,35,0,Regular,0,Sí,2,Poco eficiente,0
2021-1,No,E,No becado,50,6,12,Otros,1,Soy postpago,6,Ahorra casi todo,Sí,"Si conoce, si administra",Rara vez,Otros,15,3,Buena,1,Sí,3,Eficiente,0
2018-1,Sí,E,No becado,100,5,15,Vehiculo particular,40,Soy postpago,5,Ahorra un poco,No,"Si conoce, no administra",A veces,Tik Tok,35,0,Mala,0,Sí,0,Ineficiente,0
2020-1,No,E,No becado,40,2,10,Metropolitano o tren,15,Soy prepago,4,Ahorra todo,Sí,"Si conoce, si administra",A veces,Tik Tok,7.5,1,Regular,2,Sí,4,"Ni eficiente, ni ineficiente",1
2020-1,No,D,No becado,200,4,20,Bus,30,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, si administra",Siempre,Tik Tok,50,0,Buena,3,Sí,1,Eficiente,0
