Marca temporal,Puntuación,1. ¿Cuál es tu edad?,2. ¿Cuál es tu género?,3. ¿Cuál es tu carrera?,4. ¿En qué ciclo de estudio te encuentras?,5. ¿Cuál es tu peso actual(kg)?,6. ¿Cuál es tu estatura (cm)?,7. ¿Cuántas horas de actividad física realizas a la semana?,8. ¿Cuántas veces a la semana  consumes comidas rápidas?,9. ¿Cuál es tu horario de almuerzo en un día laborable (días de clase)?,10. ¿Cuánto tiempo dedicas a almorzar?,11. ¿Qué tipo de comida consumes con mayor frecuencia a la semana? ,12. Con respecto a la pregunta anterior. ¿A qué se debe esa preferencia a este tipo de comida?,13. ¿Cuál es el alimento con el mayor consumo semanal?,14. ¿Cuántos litros de agua bebes al día?,15. ¿Consideras que tienes acceso a opciones de alimentos saludables en el campus universitario?,16.¿Cuánto dinero en soles aproximadamente gastas en comidas no saludables a la semana?,17. ¿Cuál es tu promedio ponderado en el último semestre/periodo académico?,18. ¿Qué tan satisfecho/a estás con tu rendimiento académico en general?,19. ¿Crees que tu alimentación afecta tu rendimiento académico?
25/04/2023 10:14:26,,20,Masculino,Ing. Electrónica,6,80,175,8,2,14 horas,10,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,40,15,Satisfecho,Sí
25/04/2023 14:48:52,,18,Femenino,Bioingenería,10,100,190,2,3,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,Mas de 3 litros,No,20,15,Neutral,Sí
25/04/2023 14:56:40,,17,Masculino,Ing. Mecatrónica,1,60,174,6,1,13 horas,20,Comida preparada en casa,Situación económica,Carbohidratos,1,No,5.8,15,Neutral,No
25/04/2023 14:57:56,,19,Masculino,Ing. Mecánica,2,81,189,15,3,12 horas,60,Comida de restaurante,Tiempo empleado,Carbohidratos,2,Sí,50,13.5,Neutral,Sí
25/04/2023 15:03:18,,19,Femenino,Ing. Civil,4,60,157,1,2,12 horas,75,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,Sí,20,13,Neutral,Sí
25/04/2023 15:05:36,,18,Masculino,Ciencias de la computación,2,70,172,0,1,13 horas,15,Comida preparada en casa,Otros,Carbohidratos,2,Sí,5,15.33,Poco satisfecho,Sí
25/04/2023 15:24:12,,17,Masculino,Ing. Civil,2,70,180,2,2,14 horas,35,Comida de restaurante,Situación económica,Grasas,2,No,20,14,Nada satisfecho,Sí
25/04/2023 16:38:27,,18,Femenino,Ciencia de datos,2,61,164,0,3,12 horas,20,Comida preparada en casa,Tiempo empleado,Carbohidratos,1,No,30,15,Poco satisfecho,Sí
25/04/2023 17:14:16,,17,Femenino,Bioingenería,2,48,161,0,5,15 horas,40,Comida envasada/congelada,Tiempo empleado,Carbohidratos,1.5,No,40,15,Poco satisfecho,Sí
25/04/2023 17:54:11,,20,Femenino,Ing. Ambiental,2,42,160,0,1,12 horas,30,Comida preparada en casa,Situación económica,Proteínas,1,Sí,10,16,Neutral,Sí
25/04/2023 23:48:06,,21,Femenino,Ing. Civil,5,75,169,1,2,16 horas,20,Comida preparada en casa,Situación económica,Frutas y Verduras,1,Sí,5,13,Poco satisfecho,Sí
26/04/2023 0:07:59,,18,Femenino,Ing. Civil,5,56,153,1,2,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,14,Poco satisfecho,Sí
26/04/2023 0:09:24,,18,Femenino,Bioingenería,4,50,156,8,1,13 horas,20,Comida preparada en casa,Otros,Carbohidratos,1.5,Sí,60,15,Neutral,No
26/04/2023 0:12:12,,20,Masculino,Ciencias de la computación,6,65,175,0,1,14 horas,30,Comida preparada en casa,Situación económica,Proteínas,1.5,Sí,5,14,Neutral,Sí
26/04/2023 0:14:52,,21,Femenino,Ing. Industrial,4,55,155,5,2,17 horas,20,Comida preparada en casa,Situación económica,Proteínas,1.5,Sí,30,14,Neutral,Sí
26/04/2023 0:24:25,,20,Femenino,Ing. Industrial,4,53,157,15,2,14 horas,60,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,No,20,14,Neutral,Sí
26/04/2023 0:25:15,,20,Prefiero no decirlo,Ciencias de la computación,4,70,170,0,5,13 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,2.5,No,150,18,Neutral,Sí
26/04/2023 0:32:59,,20,Masculino,Ing. Mecatrónica,4,60,165,5,5,13 horas,45,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,10,13,Neutral,Sí
26/04/2023 1:19:07,,22,Masculino,Ing. Civil,4,70,170,0,0,12 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,1,No,170,15,Nada satisfecho,Sí
26/04/2023 1:36:37,,19,Femenino,Ing. Ambiental,4,60,160,3,2,13 horas,45,Comida de restaurante,Otros,Carbohidratos,1.5,No,25,15,Neutral,Sí
26/04/2023 6:05:38,,20,Femenino,Ing. Industrial,4,50,152,2,2,12 horas,45,Comida de restaurante,Tiempo empleado,Proteínas,2,No,10,15,Poco satisfecho,Sí
26/04/2023 6:10:14,,18,Femenino,Ing. Mecánica,3,56,152,4,1,12 horas,20,Comida preparada en casa,Situación económica,Frutas y Verduras,1,No,4,18,Neutral,Sí
26/04/2023 7:45:06,,26,Masculino,Ciencias de la computación,8,61,161,2,1,12 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,Sí,20,15,Poco satisfecho,Sí
26/04/2023 8:07:15,,20,Femenino,Ing. Ambiental,6,51,162,2,2,13 horas,15,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,5,14,Neutral,Sí
26/04/2023 8:34:38,,26,Masculino,Ing. Mecatrónica,8,100,168,4,2,12 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,1.5,No,20,15,Neutral,Sí
26/04/2023 8:46:39,,23,Prefiero no decirlo,Ing. Química,5,80,156,0,1,12 horas,20,Comida de restaurante,Otros,Frutas y Verduras,2,Sí,20,11,Nada satisfecho,No
26/04/2023 9:25:11,,21,Femenino,Ing. Industrial,4,51,157,1,2,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,No,50,16.45,Neutral,Sí
