"Marca temporal","Género","Edad","¿Cuántos cursos llevaste el ciclo 2022-2?","¿Cuál fue tu promedio ponderado del ciclo 2022-2? (Redondeado a las décimas / Punto como separador decimal) (Ejemplo: si tu ponderado fue de 15.88, la respuesta debería ser ""15.9"")
","¿Cuántas horas diarias en promedio de sueño tuviste durante el ciclo 2022-2? (Ejemplo: si dormiste 5 horas en promedio, la respuesta debería ser ""5"")","¿Cómo describirías la calidad de tu sueño durante el ciclo 2022-2?","¿Cómo describirías tu nivel de estrés durante el ciclo 2022-2?","¿Cuántas horas de ocio diarias tenías en promedio durante el ciclo 2022-2?  (Ejemplo: si tenías 3 horas de ocio en promedio, la respuesta debería ser ""3"")","¿Faltabas a clase durante el ciclo 2022-2 ?","¿Cuánto tiempo necesitas para llegar a la universidad?","¿Qué tipo de evaluaciones que has tenido durante el ciclo 2022-2, se te dificultaron más?"
"2023/04/24 4:31:36 p. m. GMT-5","Masculino","18","5","19","6","Excelente","Bajo","5","Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 4:38:41 p. m. GMT-5","Masculino","18","6","14","7","Regular","Alto","3","Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 4:40:11 p. m. GMT-5","Femenino","18","5","15.4 ","7","Regular","Medio","4","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas"
"2023/04/24 4:44:27 p. m. GMT-5","Masculino","18","5","15","6","Pésima","Alto","5","Irregularmente","1h y media","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 4:46:27 p. m. GMT-5","Masculino","18","6","15.8","5","Regular","Medio","4","Nunca","menos de 30 min","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 4:58:34 p. m. GMT-5","Femenino","17","5","15.6","5","Regular","Medio","2","Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:02:17 p. m. GMT-5","Masculino","17","6","14","6","Regular","Medio","4","Medianamente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:15:21 p. m. GMT-5","Masculino","17","6","16.4","6","Regular","Medio","3","Irregularmente","2 h","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 5:20:01 p. m. GMT-5","Femenino","19","5","14.86","6","Regular","Medio","3","Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:25:52 p. m. GMT-5","Masculino","18","7","16","5","Regular","Medio","4","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:32:53 p. m. GMT-5","Femenino","20","6","14","4","Regular","Alto","3","Nunca","1 h","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 5:36:20 p. m. GMT-5","Masculino","19","5","16","6","Buena","Medio","40m","Irregularmente","2 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:36:37 p. m. GMT-5","Masculino","18","6","16.4","8","Buena","Bajo","5","Regularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:37:30 p. m. GMT-5","Masculino","19","7","14.75","6","Regular","Alto","1","Nunca","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 5:38:30 p. m. GMT-5","Masculino","20","6","11","6","Mala","Alto","3","Irregularmente","1h y media","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 5:39:46 p. m. GMT-5","Femenino","19","5","15","5 :c","Regular","Medio","casi ninguna ","Nunca","menos de 30 min","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 5:40:04 p. m. GMT-5","Femenino","19","6","13.5","5","Regular","Alto","4","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 6:05:10 p. m. GMT-5","Masculino","21","5","14.5","6","Pésima","Medio","4","Irregularmente","menos de 30 min","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 8:13:47 p. m. GMT-5","Masculino","20","5","15","3","Regular","Medio","3","Medianamente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 8:18:28 p. m. GMT-5","Masculino","21","6","15.75","6","Regular","Medio","40","Irregularmente","2 h y media","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/24 8:20:27 p. m. GMT-5","Masculino","18","6","20","0","Excelente","Bajo","24","Regularmente","más de 3 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 8:30:44 p. m. GMT-5","Masculino","19","7","16.83","7","Regular","Medio","2","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/24 8:53:51 p. m. GMT-5","Masculino","19","6","14","4","Pésima","Alto","A la semana máximo 1 día (fuera de semana de exámenes obviamente)","Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 12:35:15 a. m. GMT-5","Masculino","18","7","14.3","8","Excelente","Bajo","2","Nunca","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 10:05:32 a. m. GMT-5","Masculino","21","6","16.3","6","Regular","Medio","6","Irregularmente","2 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 11:10:11 a. m. GMT-5","Masculino","18","2","16","7","Buena","Alto","4","Irregularmente","menos de 30 min","Examenes;Tareas;Proyectos"
"2023/04/25 11:16:31 a. m. GMT-5","Masculino","19","5","16.60","5","Mala","Alto","4 semanales","Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 11:17:13 a. m. GMT-5","Femenino","19","5","12.2","4","Mala","Medio","4","Nunca","2 h y media","Examenes;Test;Tareas;Proyectos"
"2023/04/25 11:17:31 a. m. GMT-5","Masculino","18","6","17.4","6","Regular","Alto","3","Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 11:18:23 a. m. GMT-5","Masculino","17","6","16.4","7","Buena","Medio","2","Irregularmente","1 h","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/25 11:31:21 a. m. GMT-5","Masculino","18","6","14.6","6-7","Pésima","Alto","1-2","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"2023/04/25 11:32:57 a. m. GMT-5","Masculino","18","5","15.3","7","Buena","Medio","3","Irregularmente","1 h","Examenes;Trabajos;Tareas;Proyectos"
"2023/04/25 11:41:01 a. m. GMT-5","Masculino","18","6","14.48","6","Mala","Alto","4","Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
