"Genero","Edad","Cursos","Promedio","HorasSueño","Calidad","Estres","Ocio","Faltas","Tiempollegada","Evaluaciones"
"Masculino",18,5,19,6,"Excelente","Bajo",5,"Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,6,14,7,"Regular","Alto",3,"Irregularmente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Femenino",18,5,15.4,7,"Regular","Medio",4,"Irregularmente","1 h","Examenes;Trabajos;Test;Tareas"
"Masculino",18,5,15,6,"Pésima","Alto",5,"Irregularmente","1h y media","Examenes;Trabajos;Tareas;Proyectos"
"Masculino",18,6,15.8,5,"Regular","Medio",4,"Nunca","menos de 30 min","Examenes;Trabajos;Tareas;Proyectos"
"Femenino",17,5,15.6,5,"Regular","Medio",2,"Nunca","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",17,6,14,6,"Regular","Medio",4,"Medianamente","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",17,6,16.4,6,"Regular","Medio",3,"Irregularmente","2 h","Examenes;Trabajos;Tareas;Proyectos"
"Femenino",19,5,14.9,6,"Regular","Medio",3,"Irregularmente","1h y media","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",18,7,16,5,"Regular","Medio",4,"Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"Femenino",20,6,14,4,"Regular","Alto",3,"Nunca","1 h","Examenes;Trabajos;Tareas;Proyectos"
"Masculino",18,6,16.4,8,"Buena","Bajo",5,"Regularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",19,7,14.8,6,"Regular","Alto",1,"Nunca","menos de 30 min","Examenes;Trabajos;Test;Tareas;Proyectos"
"Masculino",20,6,11,6,"Mala","Alto",3,"Irregularmente","1h y media","Examenes;Trabajos;Tareas;Proyectos"
"Femenino",19,6,13.5,5,"Regular","Alto",4,"Irregularmente","1 h","Examenes;Trabajos;Test;Tareas;Proyectos"
