Aula,Tipo,Piso,Hora,Fecha,Limpio,Ordenado,Aforo,Dispositivos,Pizarra,Alumnos,Ventanas,Tacho,UltimaClase,UltimaLimpieza,SiguienteClase
A804,Aula mixta,8,16,25/04/2023,4,No,Si,2,Si,8,3,si,10,24/04/2023,50
A401,Aula pequeña,4,15,25/04/2023,4,No,No,0,Si,12,3,no,13,24/04/2023,97
M601,Laboratorio,6,15,25/04/2023,5,Si,Si,10,Si,0,3,no,15,21/04/2023,165
M602,Laboratorio,6,15,25/04/2023,4,No,Si,13,No,4,2,no,17,24/04/2023,163
A602,Aula pequeña,6,15,25/04/2023,4,No,Si,3,No,0,2,no,22,25/04/2023,180
A707,Aula normal,7,15,25/04/2023,2,No,No,3,Si,19,2,no,27,24/04/2023,171
A704,Aula normal,7,15,25/04/2023,5,Si,No,3,Si,3,0,no,94,25/04/2023,146
A801,Aula mixta,8,15,25/04/2023,5,No,Si,0,No,13,2,no,97,24/04/2023,83
A902,Aula normal,9,15,25/04/2013,5,No,Si,3,No,14,1,si,37,25/04/2023,264
A907,Aula normal,9,9,26/04/2023,5,Si,No,2,Si,7,1,no,42,25/04/2023,18
A801,Aula mixta,8,9,26/04/2023,4,No,Si,2,No,0,3,si,19,24/04/2023,41
M604,Laboratorio,6,9,26/04/2023,3,No,Si,15,Si,0,5,no,29,22/04/2023,151
A401,Aula pequeña,4,9,26/04/2023,4,No,No,0,Si,3,4,si,40,24/04/2023,20
A102,Aula normal,1,9,26/04/2023,5,No,No,0,Si,10,1,si,945,25/04/2023,15
A906,Aula normal,9,10,26/04/2023,5,No,Si,0,Si,6,3,si,2,25/04/2023,58
A704,Aula normal,7,11,26/04/2023,5,Si,Si,5,Si,7,3,si,41,26/04/2023,19
A901,Aula normal,9,12,26/04/2023,4,No,Si,3,No,7,2,no,5,26/04/2023,235
A902,Aula normal,9,12,26/04/2023,4,Si,Si,1,No,1,2,no,11,26/04/2023,109
A804,Aula mixta,8,12,26/04/2023,5,Si,Si,2,Si,2,2,no,16,26/06/2023,104
A705,Aula normal,7,12,26/04/2023,4,No,Si,3,Si,3,3,no,22,26/04/2023,38
A1001,Aula normal,10,13,26/04/2023,1,No,No,1,Si,0,2,si,30,18/04/2023,90
A1002,Aula normal,10,13,26/04/2023,4,No,No,1,Si,11,3,si,36,26/04/2023,143
A702,Aula normal,7,13,26/04/2023,4,Si,Si,3,No,3,2,no,43,25/04/2023,17
A901,Aula normal,9,13,26/04/2023,4,No,No,1,No,13,1,si,104,25/04/2023,105
A705,Aula mixta,8,13,26/04/2023,5,No,No,2,Si,6,3,si,52,26/04/2023,8
A704,Aula normal,7,13,26/04/2023,5,Si,Si,5,Si,8,3,no,51,26/04/2023,9
A804,Aula mixta,8,13,26/04/2023,4,No,Si,1,Si,6,3,si,117,26/04/2023,3
A708,Aula normal,7,14,26/04/2023,4,Si,Si,2,Si,2,3,no,63,25/04/2023,57
A602,Aula pequeña,6,14,26/04/2023,3,No,No,3,Si,5,4,si,124,18/04/2023,296
A601,Aula pequeña,6,14,26/04/2023,5,No,No,2,Si,9,0,si,98,26/04/2023,351
M802,Aula mixta,8,14,26/04/2023,5,Si,Si,1,Si,1,2,si,74,26/04/2023,45
A102,Aula normal,1,14,26/04/2023,5,No,No,2,No,14,2,si,136,25/04/2023,1294
A703,Aula normal,7,15,26/04/2023,3,No,Si,2,No,2,2,no,21,25/04/2023,97
A706,Aula normal,7,15,26/04/2023,4,Si,Si,5,Si,7,3,no,28,25/04/2023,90
A803,Aula mixta,8,15,26/04/2023,4,Si,Si,5,Si,19,3,si,37,26/04/2023,22
A906,Aula normal,9,12,27/04/2023,5,Si,Si,5,No,8,2,no,42,27/04/2023,78
A908,Aula normal,9,15,27/04/2023,5,Si,Si,2,Si,6,3,si,82,26/04/2023,37
A903,Aula normal,9,15,27/04/2023,3,No,No,1,Si,4,3,si,87,26/04/2023,33
A802,Aula mixta,8,15,27/04/2023,5,No,Si,4,Si,10,3,no,212,27/04/2023,25
A802,Aula mixta,8,15,27/04/2023,3,No,Si,4,Si,8,3,no,65,27/04/2023,895
A707,Aula normal,7,15,27/04/2023,4,No,Si,0,No,7,3,si,222,26/04/2023,738
A707,Aula normal,7,15,27/04/2023,2,No,Si,3,Si,7,3,si,45,25/04/2023,75
A702,Aula normal,7,15,27/04/2023,5,No,No,3,No,0,3,si,5,27/04/2023,10
A601,Aula pequeña,6,15,27/04/2023,5,No,Si,4,Si,2,1,si,231,27/04/2023,188
A101,Aula normal,1,15,27/04/2023,4,No,No,4,Si,11,1,si,240,27/04/2023,180
A102,Aula normal,1,19,27/04/2023,2,No,No,5,No,12,2,si,440,25/04/2023,820
A908,Aula normal,9,19,27/04/2023,3,No,Si,1,Si,4,1,si,28,26/04/2023,1412
A906,Aula normal,9,19,27/04/2023,5,No,No,2,Si,13,1,si,154,25/04/2023,1286
A903,Aula normal,9,19,27/04/2023,3,No,No,4,Si,4,1,si,39,26/04/2023,1401
A804,Aula mixta,8,19,27/04/2023,4,No,Si,4,No,1,3,si,106,27/04/2023,14
A708,Aula normal,7,19,27/04/2023,4,No,Si,3,Si,3,2,si,229,26/04/2023,1211
A707,Aula normal,7,19,27/04/2023,3,No,No,4,Si,0,3,si,52,25/04/2023,1388
A705,Aula normal,7,20,27/04/2023,4,No,Si,4,Si,1,2,si,64,25/04/2023,596
A601,Aula pequeña,6,20,27/04/2023,4,No,No,2,No,6,0,si,11,26/04/2023,769
A401,Aula pequeña,4,20,27/04/2023,2,No,No,4,Si,0,3,si,78,26/04/2023,642
A203,Aula pequeña,2,20,27/04/2023,5,Si,Si,1,Si,0,4,no,26,27/04/2023,634
A201,Aula pequeña,2,20,27/04/2023,5,No,Si,1,Si,2,5,si,28,27/04/2023,632
A202,Aula pequeña,2,20,27/04/2023,5,Si,No,0,Si,0,0,si,273,27/04/2023,447
A102,Aula normal,1,20,27/04/2023,1,No,No,4,No,5,2,si,519,25/04/2023,780
A1002,Aula normal,10,12,29/04/2023,5,Si,No,0,Si,0,3,no,1020,26/04/2023,180
A908,Aula normal,9,13,29/04/2023,5,Si,Si,1,Si,4,0,no,68,28/04/2023,1320
A907,Aula normal,9,13,29/04/2023,3,No,No,4,No,0,2,si,11,28/04/2023,1380
A906,Aula normal,9,13,29/04/2023,5,No,No,3,Si,0,1,si,1500,28/04/2023,1320
A904,Aula normal,9,13,29/04/2023,5,Si,No,3,Si,2,0,no,1260,28/04/2023,1380
A903,Aula normal,9,13,29/04/2023,3,No,No,0,No,0,3,si,20,27/04/2023,1560
A902,Aula normal,9,13,29/04/2023,4,No,Si,4,Si,0,3,si,24,27/04/2023,1440
A901,Aula normal,9,13,29/04/2023,3,No,No,4,Si,3,2,si,86,27/04/2023,94
A804,Aula mixta,8,13,29/04/2023,4,No,Si,1,Si,1,3,si,32,28/04/2023,1260
A708,Aula normal,7,13,29/04/2023,4,No,Si,4,Si,1,3,si,155,27/04/2023,1200
A707,Aula normal,7,13,29/04/2023,5,No,No,3,Si,1,1,si,107,28/04/2023,1140
A705,Aula normal,7,13,29/04/2023,4,No,Si,4,Si,0,2,si,40,27/04/2023,1200
A702,Aula normal,7,13,29/04/2023,2,No,No,1,Si,0,3,si,44,28/04/2023,1140
A701,Aula normal,7,13,29/04/2023,4,No,No,3,Si,0,2,si,48,28/04/2023,72
A601,Aula pequeña,6,13,29/04/2023,5,Si,No,1,Si,0,0,si,55,26/04/2023,1020
A102,Aula normal,1,15,28/04/2023,1,No,Si,5,Si,3,1,no,10,27/04/2023,50
A101,Aula normal,1,16,28/04/2023,1,Si,Si,3,Si,15,3,si,18,27/04/2023,42
A203,Aula normal,2,16,28/04/2023,1,Si,Si,5,Si,4,6,si,16,27/04/2023,164
A202,Aula normal,2,16,28/04/2023,1,Si,Si,5,Si,5,3,si,34,27/04/2023,86
A201,Aula normal,2,16,28/04/2023,2,Si,Si,5,Si,20,4,si,25,27/04/2023,35
A402,Aula normal,4,16,28/04/2023,2,Si,Si,5,Si,20,3,si,48,27/04/2023,72
A601,Aula normal,6,16,28/04/2023,1,Si,No,3,Si,0,2,si,62,27/04/2023,58
A707,Aula normal,7,16,28/04/2023,2,Si,Si,3,Si,10,5,si,20,27/04/2023,40
A704,Aula normal,7,17,28/04/2023,1,Si,No,5,Si,0,3,si,15,27/04/2023,45
A902,Aula normal,9,11,2/05/2023,5,Si,Si,5,Si,14,2,no,34,2/05/2023,26
A704,Aula normal,7,13,2/05/2023,3,Si,Si,5,Si,7,2,no,19,29/04/2023,41
A801,Aula mixta,8,13,2/05/2023,4,Si,Si,4,No,5,3,no,24,29/04/2023,96
A802,Aula mixta,8,13,2/05/2023,5,Si,Si,3,Si,3,2,no,29,2/05/2023,91
A908,Aula normal,9,13,2/05/2023,4,Si,Si,3,No,3,1,no,33,2/05/2023,27
A905,Aula normal,9,13,2/05/2023,5,Si,Si,4,Si,9,1,no,38,2/05/2023,22
A904,Aula normal,9,13,2/05/2023,5,Si,Si,4,No,10,3,no,101,2/05/2023,19
A901,Aula normal,9,13,2/05/2023,5,Si,Si,1,Si,2,1,no,108,2/05/2023,72
A102,Aula normal,1,10,2/05/2023,2,Si,Si,4,Si,9,2,si,159,2/05/2023,38
A101,Aula normal,1,10,2/05/2023,3,Si,Si,3,Si,12,1,si,93,2/05/2023,93
A201,Aula normal,2,10,2/05/2023,0,Si,No,2,Si,1,1,si,27,2/05/2023,507
A202,Aula normal,2,10,2/05/2023,2,Si,Si,2,Si,3,2,si,84,2/05/2023,502
A203,Aula normal,2,10,2/05/2023,5,Si,Si,2,Si,20,2,si,80,2/05/2023,80
M301,Laboratorio,3,10,2/05/2023,3,Si,No,3,Si,0,2,si,15,2/05/2023,15
L404,Laboratorio,4,10,2/05/2023,4,Si,Si,2,Si,0,1,si,600,2/05/2023,1620
L403,Laboratorio,4,11,2/05/2023,2,Si,No,2,Si,0,2,si,60,2/05/2023,1560
A601,Aula normal,6,11,2/05/2023,0,Si,Si,2,Si,4,1,si,610,2/05/2023,240
A602,Aula normal,6,11,2/05/2023,2,Si,Si,3,Si,20,1,si,540,2/05/2023,520
A705,Aula normal,7,11,2/05/2023,0,Si,No,4,Si,0,1,si,96,2/05/2023,275
A804,Aula mixta,8,11,2/05/2023,3,Si,Si,5,Si,2,2,si,60,2/05/2023,30
A906,Aula normal,9,11,2/05/2023,4,Si,Si,3,Si,8,3,si,8,2/05/2023,8
A905,Aula normal,9,12,2/05/2023,3,Si,Si,2,Si,2,2,si,2,2/05/2023,122
A903,Aula normal,9,12,2/05/2023,5,Si,Si,4,Si,9,3,si,1,2/05/2023,114
A1002,Aula normal,10,12,2/05/2023,3,Si,Si,4,Si,10,2,si,5,2/05/2023,238
A804,Aula mixta,8,12,3/05/2023,5,Si,Si,1,Si,4,2,si,88,2/05/2023,32
A705,Aula normal,7,12,3/05/2023,4,No,Si,1,No,5,1,si,93,2/05/2023,26
A602,Aula pequeña,6,12,3/05/2023,4,No,No,4,Si,3,3,si,100,26/04/2023,1140
A903,Aula pequeña,9,15,3/05/2023,4,No,No,1,No,11,2,si,95,2/05/2023,24
A801,Aula mixta,8,15,3/05/2023,4,Si,Si,4,Si,9,3,si,41,2/05/2023,1020
A803,Aula mixta,8,15,3/05/2023,5,Si,Si,5,Si,5,2,si,345,2/05/2023,1020
