Marca temporal,¿En que ciclo estas?,Edad (en años),¿Con quién vive usted?,¿Usted ha gastado alguna vez dinero en videojuegos?,¿Con cuál o cuales de estos dispositivos electrónicos dispone?,¿Qué género de videojuego frecuenta más o es su preferido?,¿Qué opina acerca del dinero que las personas invierten en videojuegos?,"¿Qué tan seguido compra algo referente a videojuegos? (Acessorios, Ropa, Libros, etc.)",¿Cuál es el método de pago favorito que preferiría al comprar videojuegos?,¿Qué plataforma usa para comprar videojuegos o contenido adicional?,¿Tiene una forma de ingreso económico propio?,"¿Cuánto tiempo (en horas) le dedica a jugar videojuegos por semana?
Ejemplo: Si le dedica a jugar 5 horas 35 minutos, debe ingresar 5.35
Si no le dedica nada de tiempo a jugar, debe ingresar 0.","¿Cuánto dinero (en soles) gastó en comprar videojuegos como máximo? 
Ejemplo: Si gastó 123, 40, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.","¿Cuánto dinero (en soles) gastó en  (skins, pase de batalla, DLCs, etc.) como máximo? 
Ejemplo: Si gastó 123, 40 soles, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.","¿Cuánto dinero (en soles)  gastó en comprar periféricos (teclado, mouse, audífonos, mandos) como máximo? 
Ejemplo: Si gastó 123, 40, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.",¿Dónde prefieres comprar tus videojuegos?,Dirección de correo electrónico
24/04/2023 12:12:03,3,19,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","MMO (Masive Multiplayer Online), Juegos campaña",3,No compro,"Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, Google Play / App Store",No,2,0,0,35,online,
24/04/2023 12:15:29,3,20,Vivo con algun Familiar,Si,"PC, Laptop","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",4,1 - 3 veces al mes,"Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, PlayStation, Google Play / App Store",No,6,20,50,20,online,
24/04/2023 15:36:25,3,19,Vivo con roommates (Compañeros de cuarto),Si,"Laptop, Celular/Tablet/Ipad",MMO (Masive Multiplayer Online),3,Cada 3 meses,Tarjeta de débito,Google Play / App Store,No,3.30,30,30,0,Online,
24/04/2023 18:15:43,3,18,Vivo solo,No,"PC, Laptop, Celular/Tablet/Ipad",,,,,,Si,4.00,0,0,40.00,,
25/04/2023 1:00:53,3,21,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",2,1 - 3 veces por semana,"Efectivo, Tarjeta de crédito","Steam, Epic Games, Google Play / App Store",No,4,20,10,350,Online,
26/04/2023 8:54:06,2,17,Vivo con algun Familiar,No,Laptop,,,,,,No,1,0,20,0,,
26/04/2023 9:17:52,3,18,Vivo con algun Familiar,No,"PC, Laptop, PlayStation, Xbox, Celular/Tablet/Ipad",,,,,,No,3,150,200,1000,,
26/04/2023 10:19:27,3,17,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",3,No compro,"Efectivo, Tarjeta de crédito, Tarjeta de débito","Steam, Epic Games",No,2.00,0,0,0,Online,
26/04/2023 10:48:51,3,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",3,Cada 3 meses,"Efectivo, Tarjeta de débito","Steam, Blizzard, Epic Games, Origin, PlayStation",No,3,16,0,0,Online,
26/04/2023 11:14:03,3,18,Vivo con algun Familiar,No,"PC, Laptop, PlayStation, Celular/Tablet/Ipad",,,,,,No,1,0,0,0,,
26/04/2023 11:53:06,6,20,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad",Shooters,3,Cada 6 meses,"Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Google Play / App Store",Si,0.3,0,0,0,Online,
26/04/2023 13:58:54,3,18,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), MMO (Masive Multiplayer Online)",3,Cada 6 meses,Tarjeta de débito,"Steam, Google Play / App Store",Si,4,200,50,300,Online,
26/04/2023 14:09:15,3,18,Vivo con algun Familiar,Si,"PC, PlayStation, Celular/Tablet/Ipad",Shooters,3,1 - 3 veces al mes,"Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, Origin",Si,10,0,20,40,Online,
26/04/2023 14:12:19,3,19,Vivo con algun Familiar,Si,"Xbox, Celular/Tablet/Ipad",Shooters,2,Cada 6 meses,Tarjeta de débito,"Xbox, Google Play / App Store",No,20,0,0,129,Tienda fisica,
27/04/2023 7:30:02,3,18,Vivo con algun Familiar,No,"PC, Laptop, Celular/Tablet/Ipad",,,,,,No,3,0,0,0,,
27/04/2023 14:08:26,3,17,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",2,Cada 3 meses,Efectivo,"Steam, Epic Games",No,4.5,15,0,40,Online,
27/04/2023 17:40:43,3,17,Vivo con algun Familiar,Si,"Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",2,1 vez al año,Tarjeta de crédito,"Steam, Epic Games, PlayStation, Google Play / App Store",No,3,0,0,40,Online,
27/04/2023 17:42:09,3.0,17,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","Shooters, Juegos campaña",1,1 vez al año,Tarjeta de débito,Steam,No,0,0,0,0,Online,
27/04/2023 20:13:53,3,19,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",3,No compro,Tarjeta de débito,"Steam, Blizzard, Epic Games",No,6.3,0,0,0,Online,
27/04/2023 20:21:54,3,17,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad",MOBA (Multiplayer Online Battle Arena),1,1 vez al año,Tarjeta de crédito,Steam,No,7,0,0,0,Online,
28/04/2023 0:19:44,3,19,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",1,Cada 6 meses,"Efectivo, Tarjeta de crédito","Steam, Epic Games, Google Play / App Store",No,6.75,50,20,300,Online,
28/04/2023 3:10:43,3,21,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",3,1 vez al año,Efectivo,Google Play / App Store,No,4,0,0,0,Online,
28/04/2023 9:12:16,3,18,Vivo con algun Familiar,Si,Laptop,Shooters,1,Cada 6 meses,"Tarjeta de crédito, Tarjeta de débito",Epic Games,No,4,0,0,0,Online,
28/04/2023 11:33:08,3,18,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",3,Cada 6 meses,Efectivo,"Steam, Epic Games, Google Play / App Store",No,5,0,0,0,Online,
28/04/2023 12:52:41,5,19,Vivo solo,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",3,1 - 3 veces al mes,Tarjeta de débito,"Steam, Google Play / App Store",Si,22,0,50,150,Online,
28/04/2023 13:09:41,10,54,Con mi familia extendida ,Si,"Laptop, Xbox, Celular/Tablet/Ipad","Shooters, Juegos campaña",1,Cada 3 meses,"Efectivo, Tarjeta de débito","Steam, Xbox, Google Play / App Store",Si,3,0,0,0,Online,
28/04/2023 14:46:26,4,20,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online)",3,Cada 3 meses,"Efectivo, Tarjeta de débito, Aplicativo movil (Yape/Plin)",Steam,Si,4.0,0,0,52.80,Online,
28/04/2023 16:37:46,3,21,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",5,No compro,Efectivo,"Steam, Epic Games, PlayStation",No,3.1416,99.999.999.999.999,0,0,Tienda fisica,
28/04/2023 17:03:42,4,19,Vivo solo,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),2,1 vez al año,Aplicativo movil (Yape/Plin),PlayStation,No,0,0,0,100,Online,
28/04/2023 17:49:59,4,20,Vivo con algun Familiar,Si,"Laptop, PlayStation",PES ,4,1 vez al año,Tarjeta de débito,PlayStation,No,1.30,0,0,0,Tienda fisica,
28/04/2023 18:24:09,2,18,Vivo solo,No,"Laptop, Celular/Tablet/Ipad",MMO (Masive Multiplayer Online),2,No compro,Aplicativo movil (Yape/Plin),Google Play / App Store,No,0,0,0,0,Online,
28/04/2023 19:40:20,5,19,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",3,Cada 3 meses,"Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, RIOT",Si,6,20,180,245,Online,
28/04/2023 23:41:37,3,18,Vivo con algun Familiar,Si,"PC, PlayStation, Celular/Tablet/Ipad","Shooters, Juegos campaña, Competitivo",4,1 vez al año,Efectivo,PlayStation,No,2,0,0,0,Tienda fisica,
29/04/2023 8:28:55,3,18,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),3,No compro,Efectivo,Ninguna,Si,0,0,0,30.5,solo jugaría los que son online gratis,
29/04/2023 11:27:13,3,18,Vivo con algun Familiar,Si,"PC, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",4,Cada 3 meses,"Tarjeta de crédito, Tarjeta de débito","Steam, Epic Games, PlayStation, Google Play / App Store",No,6,50.30,100,200,Online,
30/04/2023 10:06:33,3,20,Vivo con algun Familiar,Si,Celular/Tablet/Ipad,MOBA (Multiplayer Online Battle Arena),3,Cada 6 meses,Tarjeta de crédito,Google Play / App Store,Si,5,10,0,50,Online,
30/04/2023 13:49:45,5,22,Vivo con algun Familiar,No,Laptop,Ninguno (No juego videojuegos),3,No compro,Tarjeta de crédito,Epic Games,No,0,0,0,0,Tienda fisica,
2/05/2023 11:29:58,3,20,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad",MOBA (Multiplayer Online Battle Arena),1,Cada 6 meses,Tarjeta de débito,"Epic Games, Google Play / App Store",Si,2,80,0,200,Online,oscar.gamez@utec.edu.pe
2/05/2023 11:35:27,3,19,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),5,No compro,Ninguno ,No se ,No,0,0,0,0,No compro,sharon.gonzalo@utec.edu.pe
2/05/2023 11:36:05,4,19,Vivo solo,Si,"Laptop, Celular/Tablet/Ipad",Juegos campaña,3,Cada 6 meses,Tarjeta de débito,Steam,Si,5,0,0,0,Online,mayra.marzano@utec.edu.pe
2/05/2023 11:37:53,3,18,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), MMO (Masive Multiplayer Online)",4,No compro,Ninguno ,Epic Games,No,8,0,0,0,Ninguno ,mark.alvarez@utec.edu.pe
2/05/2023 13:48:49,3,19,Vivo con algun Familiar,No,"Laptop, PlayStation, Celular/Tablet/Ipad",Shooters,3,No compro,Efectivo,Epic Games,Si,3.30,0,0,0,Tienda fisica,diego.solano@utec.edu.pe
2/05/2023 13:58:03,3,23,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Xbox, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",1,A veces ,"Tarjeta de crédito, Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Xbox, Google Play / App Store",Si,12,0,0,0,Online,enriquechavezdepaz@gmail.com
2/05/2023 14:27:12,4,20,Vivo solo,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),3,No compro,Efectivo,Xbox,No,0,0,0,30,Online,maribel.talaverano@utec.edu.pe
2/05/2023 16:26:55,3,19,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","Shooters, Juegos campaña",1,1 - 3 veces al mes,"Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, Google Play / App Store",Si,2,60,240,130,Online,jciezalujan@gmail.com
2/05/2023 17:44:50,2,20,Vivo con roommates (Compañeros de cuarto),No,"Laptop, Celular/Tablet/Ipad","Shooters, Juegos campaña",4,1 vez al año,Tarjeta de débito,Steam,No,7,0,0,20,Online,rodrigo.abendano@utec.edu.pe
2/05/2023 21:30:27,4,21,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),5,No compro,No compro,No compro ,Si,0,0,0,100,No compro ,luciana.luis@utec.edu.pe
