Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
2,18,Mujer,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Introvertida,5,18,6,5,2,Necesario,1,0,2,1,0.5,432,130,71,10
2,18,Varon,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,8,18,15,2,2,Necesario,3.833,0.5,6.5,0,0,30,80,40,20
1,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,100,18,20,2,6,Poco necesario,6.5,0,2.5,0,5,20,30,40,5
4,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,7,18,5,0,3,Necesario,5,0,6,0,0,180,116,42,5
4,18,Mujer,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,30,18,6,0,2,Totalmente necesario,2,0,3,2,0,1167,100,60,5
4,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Introvertida,12,18,5,0,5,Necesario,1,0.5,4,0.25,0,50,30,20,8
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,300,18,20,0,5,Muy necesario,9,0,8,2,5,115,200,21,30
2,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,6,18,5,0,2,Necesario,2.133,1.333,13,1,1,2,204,12,4
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,18,18,7,0,5,Nada necesario,4,0.333,6,3,3,106,39,20,7
5,18,Varon,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,100,18,5,0,4,Necesario,1,0,6,1.5,0,120,107,19,6
5,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,16,18,13,4,7,Necesario,4,0,6,4,0,184,80,10,6
2,17,Mujer,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,12,17,6,0,6,Necesario,20,2,15,2,1,48,57,12,7
2,18,Mujer,3.Muy_sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,50,18,20,10,1,Necesario,10,2,12,2,1,35,50,75,7
2,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,13,18,6,0,10,Necesario,7,0.5,4,0.333,3.333,23,125,28,3
2,18,Varon,1.Poco_Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,1000,18,67,100,3,Muy necesario,4,1,5,10,2,1000,1000,20,4
2,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,4,18,4,0,2,Poco necesario,0.5,0.083,5,0.5,2,30,30,10,5
2,18,Mujer,2.Sociable,1.Poco_Sociable,Virtual,Salón de clases,Introvertida,15,18,5,1,10,Necesario,12,1,2,2,0,650,50,11,5
2,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Reunión de zoom,Introvertida,10,18,2,0,7,Necesario,1,5,3,0,0.333,10,30,50,3
