Marca temporal,Ciclo académico,Carrera,Indícanos tu sexo y si haces algún deporte u actividad física,¿Qué actividad o deporte realizas?,Motivo por el que realizas actividad física,¿Cuántos días de la semana entrena?,Días en los que generalmente entrena,¿Cuántas horas a la semana entrenas? (Fuera de clases),¿Cuántos días de la semana estudias?(Clases virtuales o presenciales de la universidad),¿Cuántas horas a la semana estudias? (Fuera de clases),¿Entrenas los mismos días que tienes clases?,¿Entrenas antes o después de clases?,¿Te sientes cansado después de entrenar y haber tenido clases el mismo día?,¿Te sientes satisfecho con tus resultados físicos y académicos?,¿Cuál es la nota más alta de todos los cursos?(Nota global del curso),¿Cuál es la nota más baja de todos los cursos? (Nota global del curso),¿Te gustaría realizar algún tipo de actividad física?,¿Por qué?,¿Cuál es tu promedio ponderado del ciclo anterior?,¿Cuál es la nota más baja de todos los cursos? (Nota global del curso)
28/04/2023 10:09:38,3,Ingeniería Electrónica,Masculino,,,,,,,,,,,,,,Sí,Me siento escuálido,16,9
28/04/2023 10:10:40,3,Ingeniería Electrónica,Masculino,,,,,,,,,,,,,,Sí,Me siento escuálido ,16,9
28/04/2023 10:11:50,3,Ingeniería Mecatrónica,Femenino,Deporte,Profesional,5,"Miércoles, Jueves, Viernes, Sábado, Domingo",6,7,De 7 a 9,Sí,Después,No,No,17,7,Sí,,17,7
28/04/2023 10:19:50,3,Ciencias de la computación,Masculino,Gimnasio,Hobby,4,"Lunes, Martes, Jueves, Domingo",7,3,De 7 a 9,Sí,Después,Si,Solo fisicos,15,10,Sí,,15,10
28/04/2023 10:49:32,3,Ingeniería Civil,Masculino,Gimnasio,Hobby,4,"Miércoles, Sábado, Domingo",3,4,De 1 a 3,Sí,Después,No,Si,19,13,Sí,Ayuda a desarrollar disciplina ,19,13
28/04/2023 10:51:56,3,Ciencias de la computación,Masculino,Ejercicios en casa sin equipo,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",6,6,De 4 a 6,Sí,Antes,No,Si,20,13,Sí,¿por qué no?,20,13
4/05/2023 10:54:03,2,Ingeniería Industrial,Masculino - Sí hago,Skate,Hobby,4,"Lunes, Miércoles, Viernes, Sábado",5,4,De 4 a 6,Sí,Después,Si,Si,17,11,Sí,Es saludable ,17,11
4/05/2023 13:18:56,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Podría ayudar a relajarme y a mantener un buen estado de salud,18,10.5
4/05/2023 16:45:00,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,No,tiempo,17,11
5/05/2023 10:16:49,2,Ingeniería Industrial,Masculino - No hago,,,,,,,,,,,,,,No,No tengo tiempo ,19,15
5/05/2023 15:07:49,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,No,Porque no,17,10
5/05/2023 16:33:41,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,por mi salud,19,13
5/05/2023 16:41:47,3,Ingeniería Mecatrónica,Masculino - Sí hago,Futbol ,Profesional,4,"Lunes, Miércoles, Viernes, Sábado",7,6,De 4 a 6,Sí,Entreno cuando no tengo clase,Si,Si,19,13,Sí,Para ser mejor ,19,13
5/05/2023 18:44:21,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,No,,18,13
5/05/2023 18:46:11,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,No,Flojera,20,15
