Edad,Sexo,Carrera,Ciclo,Cant.Cursos,CursosR,Promedio,H.Sueño,H.Nocturno,T.T.Dormir,Cant.D.U,Somnolencia,Noches.sin.dormir,Horas.de.estudio,Calidad.de.sueño,Espacios_de_descanso,Satisfacción,Piso11,Piso6,NoEspacio,Biblioteca,Comedor,SalonVacio,Piso1,Total_espacio
21,Masculino,Bioingeniería,4,6,No,14.25,8,no,30,3,Sí,3,25,4,No hay,1,0,0,1,0,0,0,0,0
19,Masculino,Ingeniería mecánica,2,7,Sí,13.5,5.3,no,20,2,Sí,0,16,3,No hay,3,0,0,1,0,0,0,0,0
18,Femenino,Ingeniería Industrial,2,6,No,16.9,5.3,no,10,0,Sí,2,12,3,No hay,2,0,0,1,0,0,0,0,0
22,Femenino,Ingeniería Industrial,2,7,No,15.6,6,no,3,6,Sí,NA,4,3,Piso 6,3,0,1,0,0,0,0,0,1
18,Masculino,Ingeniería civil,2,6,Sí,13.5,6,sí,10,1,Sí,0,35,3,No hay,3,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería Industrial,2,6,Sí,14.75,6.3,no,4,0,No,4,10,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
19,Masculino,Ciencia de la computación,2,6,No,13.5,7,no,10,1,No,1,6,3,No hay;Piso 1,1,0,0,0,0,0,0,1,1
18,Femenino,Ingeniería Industrial,2,6,No,17,6.3,no,20,2,Sí,5,7,3,Piso 6,2,0,1,0,0,0,0,0,1
18,Masculino,Ingeniería Industrial,2,7,No,16,6,no,10,3,Sí,10,15,2,Piso 11;Piso 6;Biblioteca,4,1,1,0,1,0,0,0,3
19,Masculino,Ingeniería Industrial,2,6,No,13.5,6,no,60,0,No,2,3,3,Piso 11;Biblioteca;Salones vacíos;Piso 1,4,1,0,0,1,0,1,1,4
20,Femenino,Ingeniería Industrial,2,6,No,15.98,6.3,no,5,2,Sí,3,14,4,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
18,Masculino,Ingeniería Industrial,3,5,No,16.45,7,no,40,1,Sí,2,8.3,4,Piso 11;Piso 6;Piso 1,2,1,1,0,0,0,0,1,3
18,Femenino,Ingeniería Industrial,3,5,Sí,13.94,7,sí,4,0,No,2,20,5,Piso 11;Piso 6;Salones vacíos;Piso 1,2,1,1,0,0,0,1,1,4
19,Masculino,Ingeniería Industrial,2,7,No,14.7,7,no,1,1,Sí,1,5,2,No hay,2,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería Industrial,4,6,Sí,13.7,8,no,120,0,Sí,10,9,1,Salones vacíos,1,0,0,0,0,0,1,0,1
18,Femenino,Ingeniería civil,2,6,No,14.68,4.3,no,30,0,No,2,3.3,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
20,Femenino,Ingeniería Industrial,2,7,No,14,5,sí,30,2,No,2,7,2,Salones vacíos,2,0,0,0,0,0,1,0,1
20,Femenino,Ingeniería Industrial,2,7,Sí,14,5,no,5,2,Sí,0,5,4,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
21,Femenino,Ingeniería Industrial,4,7,No,14.94,5,no,30,0,Sí,NA,5,1,No hay,1,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería Industrial,7,7,No,13.23,7.3,sí,5,0,No,1,6,5,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
20,Femenino,Ingeniería Industrial,2,7,No,15,5.3,no,10,5,Sí,4,5,5,Piso 11,3,1,0,0,0,0,0,0,1
19,Masculino,Ingeniería ambiental,3,6,No,13.78,7,no,20,0,Sí,0,5,3,Piso 11;Piso 6;Salones vacíos,1,1,1,0,0,0,1,0,3
19,Masculino,Ingeniería Industrial,2,6,No,13.5,6,no,60,0,No,2,3,3,Piso 11;Biblioteca;Salones vacíos;Piso 1,4,1,0,0,1,0,1,1,4
18,Masculino,Ciencia de la computación,2,5,No,15.33,6,no,20,1,No,7,10,3,Salones vacíos,3,0,0,0,0,0,1,0,1
18,Femenino,Ingeniería Industrial,3,5,Sí,14.04,4,no,20,2,Sí,3,5.3,3,Piso 11,1,1,0,0,0,0,0,0,1
19,Femenino,Ingeniería civil,4,6,No,13,6,no,10,3,Sí,5,7.3,3,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
19,Masculino,Ingeniería civil,2,6,No,15,2.3,no,1,NA,Sí,7,12,1,Piso 11;Biblioteca;Salones vacíos,2,1,0,0,1,0,1,0,3
20,Femenino,Ingeniería ambiental,2,6,No,16.81,4.3,no,60,0,Sí,4,3,3,Piso 11,3,1,0,0,0,0,0,0,1
18,Masculino,Bioingeniería,2,5,No,16,4.6,no,10,1,No,1,5.3,3,Piso 6;Salones vacíos,4,0,1,0,0,0,1,0,2
18,Masculino,Ingeniería Industrial,2,6,No,15.9,7,no,30,3,Sí,3,6,2,Piso 1,1,0,0,0,0,0,0,1,1
17,Masculino,Ingeniería ambiental,3,3,No,15.89,7,no,2,0,No,3,8,4,Biblioteca;Salones vacíos;Piso 1,2,0,0,0,1,0,1,1,3
21,Masculino,Ingeniería electrónica,2,7,No,14.45,6,no,30,0,Sí,4,22,2,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
24,Masculino,Ingeniería Industrial,10,3,No,17,7.15,no,10,0,Sí,0,8,4,Piso 6,3,0,1,0,0,0,0,0,1
17,Femenino,Ingeniería mecánica,3,6,No,17.53,6,no,30,3,Sí,1,8,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
18,Masculino,Ingeniería mecatrónica,3,5,No,15.64,7,sí,10,0,No,0,8,4,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
20,Masculino,Ciencia de datos,5,5,Sí,14.5,8,no,30,0,Sí,0,7,3,Piso 11;Piso 6;Salones vacíos,3,1,1,0,0,0,1,0,3
19,Femenino,Ingeniería química,2,6,No,15.42,5,no,20,1,Sí,6,12,5,No hay,1,0,0,1,0,0,0,0,0
22,Femenino,Ingeniería mecatrónica,8,3,No,16.8,5,no,30,2,Sí,2,8,4,No hay,1,0,0,1,0,0,0,0,0
18,Femenino,Ingeniería Industrial,4,6,No,15.4,5.3,sí,15,0,Sí,NA,NA,3,No hay,2,0,0,1,0,0,0,0,0
18,Femenino,Ingeniería Industrial,2,6,Sí,15,7,sí,20,1,Sí,10,8,3,Piso 11,3,1,0,0,0,0,0,0,1
18,Femenino,Ingeniería Industrial,2,5,Sí,13.84,5,no,10,0,No,NA,8,2,Piso 11,2,1,0,0,0,0,0,0,1
18,Masculino,Ingeniería civil,2,6,Sí,14.67,8.3,sí,2,0,No,0,9,4,Piso 11;Piso 6;Biblioteca,3,1,1,0,1,0,0,0,3
16,Masculino,Ciencia de la computación,1,6,No,16,7,no,30,1,Sí,0,6,3,Piso 11;Piso 6;Biblioteca;Comedor;Piso 1,3,1,1,0,1,1,0,1,5
18,Masculino,Ingeniería mecatrónica,3,6,No,16,5,no,10,1,No,2,NA,1,Piso 11,3,1,0,0,0,0,0,0,1
21,Masculino,Ingeniería mecánica,1,7,No,NA,7.3,no,20,0,Sí,0,10,3,Piso 11;Salones vacíos,2,1,0,0,0,0,1,0,2
19,Masculino,Ingeniería mecánica,1,7,No,NA,6,no,20,NA,Sí,7,6,3,Piso 11;Piso 6;Biblioteca;Comedor;Salones vacíos;Piso 1,3,1,1,0,1,1,1,1,6
16,Masculino,Ingeniería mecánica,1,7,No,NA,6,no,10,0,No,0,1,3,Piso 11,4,1,0,0,0,0,0,0,1
17,Masculino,Ingeniería mecánica,1,7,No,17,5.3,no,4,0,No,2,2.3,3,Piso 11,5,1,0,0,0,0,0,0,1
17,Masculino,Ingeniería mecánica,1,7,No,15,6,no,30,0,Sí,0,4,3,Piso 11,5,1,0,0,0,0,0,0,1
16,Masculino,Ingeniería mecánica,1,3,Sí,18,6,no,10,0,No,5,10,3,Piso 11;Piso 6;Comedor,3,1,1,0,0,1,0,0,3
