Marca temporal,¿Qué edad tienes hasta la fecha?,¿Género?,Selecciona tu carrera,¿En que ciclo te encuentras actualmente?,¿Cuántas relaciones amorosas tuviste hasta el 2022-2?,¿Actualmente tienes una relación amorosa?,¿Tu pareja y tú estudian o estudiaban en la misma universidad?,¿Consideras que tu vida amorosa afectaría tu rendimiento académico? (En caso de no estar en una relación responder si crees que podría afectarte),¿Tu vida amorosa ha tenido un impacto negativo en tu motivación y actitud hacia tus estudios? (En caso de no estar en una relación responder si crees que podría afectarte),¿Cuáles crees que serían los principales desafíos que enfrenta tu vida amorosa y como esto repercute en lo académico? (En caso de no estar en una relación responder que crees que podría afectarte),¿Cuáles son las principales formas en que te gustaría recibir apoyo de la universidad para manejar problemas de tu vida amorosa en relación con tus estudios? Selecciona todas las opciones que apliquen.,"En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va en tu vida amorosa?","En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va académicamente?","En una escala del 0 al 10, donde 0 es “Extremadamente mal” y 10 es “Extremadamente bien”, ¿Cómo definirías la relación entre tu vida amorosa y académica en este momento?","¿Administras tu tiempo entre tus estudios y tu relación?  (En caso de no estar en una relación, ¿Crees que podrías administrar tu tiempo)",¿Cuántas horas dedicas al estudio al día?,"¿Cuántas horas pasas tiempo con tu pareja al día?  (En caso de no estar en una relación ,¿cuanto tiempo le dedicarías?)","¿Has faltado alguna vez a clases por salir con tu pareja? (En caso de no estar en una relación, ¿crees que de estarlo lo harías?)",¿Consideras que es un problema para ti manejar una relación a la par de la universidad?  (En caso de no estar en una relación crees que sería un problema para ti),¿Las discusiones o conflictos con tu pareja afectan tu capacidad para concentrarte en tus estudios?  (En caso de no estar en una relación crees que te afectaría),¿Sueles desconcentrarte en el móvil o en algún otro dispositivo esperando o respondiendo un mensaje de tu pareja mientras estás en clase? (En caso de no estar en una relación consideras que te desconcentrarías),¿Una ruptura con tu pareja afecta cuando tienes que dar un examen?  (En caso de no estar en una relación crees que te afectaría),¿Cúal fue tu promedio en el último ciclo cursado en la universidad UTEC?,¿Cuáles son las principales formas en que tu relación amorosa ha afectado tu rendimiento académico?,¿Cuáles son las principales sugerencias que tendrías para la universidad para mejorar el apoyo que brinda a los estudiantes que enfrentan problemas en su vida amorosa y académica?
4/26/2023 11:15:02,18,Femenino,Ingeniería Indusrial,4,1,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",6,7,6,Sí,5.3,2.1,Sí,No considero,No afecta,Sí,No,16.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",Bienestar estudiantil ague charlas emocional
4/26/2023 11:22:06,18,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,7,7,No,6,1.2,Sí,No considero,Sí afecta,Sí,Sí,15.55,Menor tiempo de preparación para las evaluaciones,Seria..
4/26/2023 11:23:14,19,Masculino,Ingeniería Indusrial,5,4,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",3,8,0,Sí,2.3,2.1,Sí,No considero,Sí afecta,Sí,Sí,17.5,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias",No sé no tengo :'v
4/26/2023 11:24:08,18,Masculino,Ingeniería Mecatrónica,2,3,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,3,7,0,No,5.2,2.1,No,No considero,No afecta,Sí,No,17.8,Menor tiempo de preparación para las evaluaciones,Todos los estudiantes deberian de priorizar su redimiento academico.
4/26/2023 11:25:21,19,Masculino,Ingeniería Indusrial,4,2,Sí,Sí,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Talleres o grupos de discusión sobre relaciones saludables,1,7,4,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales",Menos tareas
4/26/2023 11:26:06,18,Femenino,Ingeniería Indusrial,2,1,Sí,Sí,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",2,6,7,No,7.3,3.5,No,Sí considero,Sí afecta,Sí,No,14.55,Falta de concentración en clases,Ninguna
4/26/2023 11:27:10,19,Femenino,Bioingeniería,2,2,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,8,5,8,Sí,5.3,1.3,No,No considero,No afecta,Sí,Sí,14.3,Falta de concentración en clases,No sé
4/26/2023 11:29:59,18,Masculino,Bioingeniería,2,3,Sí,Sí,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,10,7,0,No,5.6,4.1,Sí,Sí considero,No afecta,Sí,No,14.29,"Menor tiempo de preparación para las evaluaciones, Disminución del promedio de notas o obtención de notas desaprobatorias",Brindar capacitaciones para poder ayudar a los alumnos a separar ambos ámbitos presentes en su vida.
4/26/2023 11:30:26,21,Femenino,Ingeniería Indusrial,4,5,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,4,7,No,4.4,1.2,Sí,Sí considero,No afecta,No,Sí,13.5,Menor tiempo de preparación para las evaluaciones,Distribución del tiempo libre para estudiar y salir con la pareja
4/26/2023 11:31:01,24,Femenino,Ingeniería Indusrial,2,2,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,6,8,0,Sí,2.35,3.1,Sí,Sí considero,Sí afecta,No,Sí,17.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases",Saquen a las parejitas de los pasillos. Las veo bien felices y me siento muy sola. Gracias v:
