Edad,Genero,Carrera,Ciclo,Nrelaciones,Relacion,MismaUniversidad,RAcademicoAfectado,INegativoMotivacion,Desafios,FormasDeApoyo,VidaAmorosa,VidaAcademica,RelacionVidaAmorosaYAcadémica,AdministarTiempo,HEstudio,HPareja,FaltaClases,RelacionYUniversidad,DiscusionesAfectaConcentracion,Desconcentracion,RupturaAfectaExamenes,Promedio,FormasAfectaRendimientoAcademico
18,Femenino,Ingeniería Indusrial,4,1,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,6,7,6,Sí,5.3,2.1,Sí,No considero,No afecta,Sí,No,16.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
18,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,No,No,Falta de tiempo,R,8,7,7,No,6,1.2,Sí,No considero,Sí afecta,Sí,Sí,15.6,Menor tiempo de preparación para las evaluaciones
19,Masculino,Ingeniería Indusrial,5,4,Sí,Sí,No,No,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,3,8,0,Sí,2.3,2.1,Sí,No considero,Sí afecta,Sí,Sí,17.5,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
18,Masculino,Ingeniería Mecatrónica,2,3,Sí,Sí,No,No,"Falta de tiempo, Distracción y desconcentración",C,3,7,0,No,5.2,2.1,No,No considero,No afecta,Sí,No,17.8,Menor tiempo de preparación para las evaluaciones
19,Masculino,Ingeniería Indusrial,4,2,Sí,Sí,Sí,No,Falta de tiempo,T,1,7,4,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales"
18,Femenino,Ingeniería Indusrial,2,1,Sí,Sí,Sí,No,Distracción y desconcentración,R,2,6,7,No,7.3,3.5,No,Sí considero,Sí afecta,Sí,No,14.6,Falta de concentración en clases
19,Femenino,Bioingeniería,2,2,Sí,Sí,No,No,"Problemas de comunicación con la pareja, Distracción y desconcentración",T,8,5,8,Sí,5.3,1.3,No,No considero,No afecta,Sí,Sí,14.3,Falta de concentración en clases
18,Masculino,Bioingeniería,2,3,Sí,Sí,Sí,No,"Falta de tiempo, Distracción y desconcentración",C,10,7,0,No,5.6,4.1,Sí,Sí considero,No afecta,Sí,No,14.3,"Menor tiempo de preparación para las evaluaciones, Disminución del promedio de notas o obtención de notas desaprobatorias"
21,Femenino,Ingeniería Indusrial,4,5,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C-T-R,8,4,7,No,4.4,1.2,Sí,Sí considero,No afecta,No,Sí,13.5,Menor tiempo de preparación para las evaluaciones
24,Femenino,Ingeniería Indusrial,2,2,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",T,6,8,0,Sí,2.35,3.1,Sí,Sí considero,Sí afecta,No,Sí,17.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
22,Femenino,Ingeniería Indusrial,4,2,Sí,No,Sí,Sí,Falta de tiempo,C-T-R,6,7,6,No,2.45,1.1,Sí,Sí considero,No afecta,No,Sí,16.2,Menor tiempo de preparación para las evaluaciones
19,Femenino,Ingeniería Indusrial,2,2,Sí,No,Sí,No,"Problemas de comunicación con la pareja, Distracción y desconcentración",T,5,5,5,No,2.3,1.5,Sí,No considero,No afecta,Sí,No,14.2,Baja participación en trabajos grupales
18,Femenino,Bioingeniería,2,2,Sí,No,Sí,No,Falta de tiempo,C-T,7,1,7,No,1.3,2.5,Sí,Sí considero,Sí afecta,Sí,No,15,Menor tiempo de preparación para las evaluaciones
21,Masculino,Ingeniería de la Energía,9,2,Sí,Sí,No,Sí,Problemas de comunicación con la pareja,T,8,6,9,Sí,5.35,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.5,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases"
18,Femenino,Ingeniería Indusrial,5,1,Sí,No,Sí,No,Falta de tiempo,T,5,7,5,No,2.35,1.1,Sí,Sí considero,No afecta,Sí,No,16.9,Menor tiempo de preparación para las evaluaciones
18,Masculino,Ingeniería Indusrial,2,1,Sí,Sí,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,4,3,0,No,3.33,2.1,Sí,Sí considero,No afecta,Sí,Sí,10.5,Falta de concentración en clases
20,Femenino,Bioingeniería,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,5,4,5,No,4.45,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
20,Femenino,Ingeniería Civil,8,1,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",R,3,6,8,Sí,5.3,4.1,Sí,No considero,No afecta,Sí,Sí,15,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",T,3,7,5,No,2.39,1.1,Sí,Sí considero,No afecta,Sí,No,16.9,Disminución del promedio de notas o obtención de notas desaprobatorias
19,Femenino,Ingeniería Indusrial,9,1,Sí,No,No,No,Falta de tiempo,C-T,1,8,0,No,4,3.1,Sí,No considero,No afecta,Sí,No,17.9,Menor tiempo de preparación para las evaluaciones
19,Masculino,Ingeniería Ambiental,3,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,6,4,6,No,2.3,3.2,Sí,Sí considero,Sí afecta,Sí,Sí,13.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
19,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de confianza o celos en la relación, Distracción y desconcentración",R,5,5,5,No,3.3,3.2,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Desaprobando cursos"
