"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"1",18,"Masculino","Ingeniería mecánica","Segundo",2.5,1,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","Nunca","Casi nunca","Buena","No","No","Si",75,1.66,15,6,"Sí","No","No","No","No","No"
"2",23,"Otro","Ingeniería química","Quinto",1.05,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Nunca","Muy mala","Tal vez","Nada saludable","A veces","A veces","Muy mala","Sí","Sí","A veces",80,1.56,40,6,"Sí","No","No","No","No","No"
"3",18,"Femenino","Ciencia de la computación","Tercero",1.5,0.5,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Bebidas energizantes","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","A veces","Buena","No","Sí","A veces",69.2,1.69,30,6,"Sí","No","No","No","No","Sí"
"4",17,"Femenino","Ingeniería industrial","Segundo",3,0.5,"Ni mucha ni poca","Casi nunca","Casi nunca","Casi nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Tal vez","Saludable","A veces","Casi siempre","Ni buena ni mala","Sí","Sí","A veces",58,1.59,22,6,"Sí","No","No","No","No","Sí"
"5",18,"Femenino","Ingeniería industrial","Segundo",3,1,"Ni mucha ni poca","A veces","Casi nunca","Casi siempre","Nunca","Bebidas energizantes","Refrescos o jugos","Tal vez","Casi siempre","Buena","Tal vez","Saludable","Casi nunca","Casi siempre","Buena","No","Sí","A veces",58,1.58,38,6,"Sí","Sí","Sí","No","No","Sí"
"6",18,"Masculino","Administración y negocios digitales","Tercero",3,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","A veces","Mala","Tal vez","Saludable","Casi siempre","A veces","Ni buena ni mala","Sí","Sí","A veces",67,1.73,18,5,"Sí","No","No","Sí","No","No"
"7",18,"Femenino","Ingeniería química","Cuarto",4,2,"Demasiada","Siempre","Casi nunca","Nunca","Siempre","Agua","Bebidas energizantes","Sí","Casi siempre","Buena","Si","Medianamente saludable","A veces","A veces","Buena","Sí","Sí","Si",45,1.63,34,7,"Sí","No","No","Sí","No","No"
"8",17,"Masculino","Ingeniería civil","Segundo",2,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi nunca","Muy mala","Si","Poco saludable","Casi nunca","Casi nunca","Ni buena ni mala","Sí","Sí","Si",58,1.69,50,6,"Sí","No","No","No","No","Sí"
"9",19,"Masculino","Ingeniería industrial","Segundo",2,1,"Ni mucha ni poca","Casi nunca","Casi nunca","Casi nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","Casi nunca","Buena","No","No","A veces",60,1.6,50,6,"Sí","No","No","No","No","Sí"
"10",19,"Femenino","Ingeniería industrial","Segundo",3,3,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","No","A veces",50,1.53,21,6,"Sí","No","No","No","No","No"
