X,X.1,Edad,Genero,Generacion,RedesSociales,Tiempoinstalado,Seguidores,Tiempodeuso,Canticaracteres,TipoCaracteres,Nseguridad,Usodecontraseña,Tcambiocontraseña,Cuentahackeada,Numnotificaciones
NA,NA,18,Masculino,Centenial,4,7,500,En la noche,8,"mayúsculas, minúsculas, números",4,,1,Si,10
NA,NA,19,Masculino,Centenial,2,4,600,En la noche,9,"minúsculas, números",3,,60,No,15
NA,NA,18,Femenino,Centenial,4,3,75,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,,30,No,15
NA,NA,20,Masculino,Centenial,5,9,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,,300,No,20
NA,NA,46,Femenino,GX,7,20,250,En la noche,10,"mayúsculas, minúsculas, números",3,,7,No,30
NA,NA,20,Masculino,Centenial,4,2,2,En la mañana,5,mayúsculas,1,No,30,No,2
NA,NA,18,Femenino,Centenial,4,5,276,En la noche,8,números,4,Si,3,No,0
NA,NA,21,Masculino,Centenial,7,8,300,En la noche,12,"mayúsculas, minúsculas, números",4,Si,365,No,20
NA,NA,19,Masculino,Centenial,2,8,450,En la tarde,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,100
NA,NA,21,Masculino,Centenial,8,8.5,350,En la noche,13,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,25
NA,NA,23,Masculino,Centenial,8,8,300,En la tarde,9,"mayúsculas, minúsculas, números",4,No,60,No,9
NA,NA,19,Femenino,Centenial,6,6,318,En la noche,10,"mayúsculas, minúsculas, números",2,No,1000,No,10
NA,NA,20,Femenino,Centenial,10,7,730,En la noche,8,minúsculas,4,Si,0,No,10
NA,NA,18,Masculino,Centenial,8,8,25,En la tarde,41,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,7,No,15
NA,NA,18,Femenino,Centenial,3,9.5,200,En la tarde,12,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",2,Si,120,Si,2
NA,NA,19,Femenino,Centenial,5,5,180,En la tarde,9,"mayúsculas, minúsculas, números",5,Si,30,No,6
NA,NA,18,Femenino,Centenial,6,12,100,En la tarde,10,"símbolos(ejemplo: *;#;%,etc.)",4,Si,90,Si,0
NA,NA,19,Femenino,Centenial,6,10,720,En la noche,10,mayúsculas,3,Si,60,No,10
NA,NA,19,Femenino,Centenial,7,6,100,En la tarde,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,10
NA,NA,19,Femenino,Centenial,5,5,200,En la noche,10,"mayúsculas, minúsculas, números",3,Si,90,No,15
NA,NA,28,Femenino,Milenial,4,19,150,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,0,No,10
NA,NA,19,Femenino,Centenial,4,7,118,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,60,Si,1
NA,NA,19,Masculino,Centenial,5,5,20,En la noche,9,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,2,No,10
NA,NA,19,Masculino,Centenial,4,12,30,En la noche,9,números,5,Si,60,No,2
NA,NA,19,Femenino,Centenial,5,5,93,En la noche,8,"minúsculas, números",3,Si,3,No,5
NA,NA,18,Femenino,Centenial,8,5,216,En la noche,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,30,No,11
NA,NA,20,Femenino,Centenial,10,10,2451,En la tarde,13,"minúsculas, números",4,Si,7,No,10
NA,NA,20,Femenino,Centenial,7,8.5,150,En la noche,8,"minúsculas, números",4,Si,2,No,5
