"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
M,19,Ingeniería Industrial,2,8:00:00 AM,Cubículos,"Áreas verdes, Cubículos",,6,,,,,,,,,,,,,,,
F,19,Ingeniería Industrial,3,4,Aula,Cubículo,,,1,,,,,,,,,,,,,,
F,18,Ingeniería Industrial,2,4.30,"Biblioteca, Aula, Cubículos, Áreas verdes","Áreas verdes, Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,0.5,3,3,3,2,5,5,2,2,10,3,0.30,1,1,3
M,19,Ingeniería Industrial,2,6.00,"Biblioteca, Zonas recreativas, Áreas verdes","Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,5.00,3,3,3,3,3,3,2,2,2,2,10.00,10.00,10.00,10.00
M,20,Ingeniería Industrial,2,11,"Biblioteca, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Comedor con comida rápida, Zonas recreativas",,,0.3,3,4,5,3,3,4,3,5,10,4,0,3,0,2
M,20,Ingeniería Electrónica,5,15,Biblioteca,"Gimnasio, Campo deportivo, Biblioteca",,,0.5,3,3,5,4,4,3,2,0,0,0,0,0,0,10
F,19,Ingeniería Mecánica,4,12,"Aula, Cubículos","Cubículos, Gimnasio",,,0.5,5,3,3,4,5,4,2,1,5,2,1,0,2,0
M,19,Ingeniería Electrónica,5,14,"Biblioteca, Cubículos, Áreas verdes","Aulas, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,1,3,4,4,2,5,4,5,4,100,2,0,0,1,8
F,18,Ingeniería Industrial,2,5,Cubículos,Gimnasio,,,0.5,5,5,5,5,5,5,2,2,3,3,2,3,2,2
M,20,Ingeniería Química,3,8,"Biblioteca, Cubículos, Bloques de madera -Piso 6","Salas de estudio, Cubículos, Aulas, Biblioteca",,,2,2,4,3,3,1,4,3,6,4,4,5,4,3,1
