Marca temporal,Edad,Ciclo,Carrera,TiempoS,CalidadS,DificultadD,DesempeñoA,Fatiga,Bcafeina,Ejercicio,NEstres,DispositivoE,HEstudio,NocheE,AbrumadoTA,Siestas,AlcoholD,OpinionRA,Insomnio,CompromisosE,EventosA,SaludMental,Consejo
27/04/2023 15:39:05,18,3,Ciencia de la Computación,6 a 8 horas,4,2,4,3,No consumo,1 o 2 veces a la semana,2,5,2 horas,Sí,4,2,1,Sí,1,No tengo otros compromisos,2,No,No
27/04/2023 15:39:06,18,3,Ingeniería Química,6 a 8 horas,3,4,4,4,No consumo,1 o 2 veces a la semana,4,4,3 horas,Sí,4,1,1,Sí,4,No tengo otros compromisos,5,Sí,No
27/04/2023 15:43:59,17,3,Ingeniería Química,3 a 5 horas,2,3,4,4,1,1 o 2 veces a la semana,4,5,3 horas,Sí,4,3,1,Sí,2,2 a 4 horas,2,Sí,Sí
27/04/2023 15:59:32,17,3,Ingeniería Química,Menos de 3 horas,2,3,4,4,No consumo,1 o 2 veces a la semana,3,4,3 horas,Sí,3,2,1,Sí,2,1 a 2 horas,2,Sí,No
27/04/2023 15:59:41,18,3,Ingeniería Química,6 a 8 horas,3,3,3,4,No consumo,1 o 2 veces a la semana,3,5,4 horas,Sí,3,2,2,Sí,2,No tengo otros compromisos,2,Sí,Sí
27/04/2023 16:00:24,20,4,Ingeniería Química,3 a 5 horas,2,3,3,2,2,3 o 4 veces a la semana,3,4,4 horas,Sí,3,1,1,Sí,3,2 a 4 horas,2,Sí,No
27/04/2023 16:03:48,19,5,Ingeniería Química,3 a 5 horas,2,4,3,4,No consumo,3 o 4 veces a la semana,4,3,3 horas,Sí,4,2,1,Sí,1,No tengo otros compromisos,2,Sí,Sí
27/04/2023 16:07:06,25,5,Administración y Negocios Digitales,3 a 5 horas,2,4,3,4,No consumo,No realizo ejercicio,4,5,2 horas,Sí,4,2,2,Sí,4,más de 6 horas,4,No,Sí
27/04/2023 16:24:27,17,1,Administración y Negocios Digitales,3 a 5 horas,3,3,4,4,1,1 o 2 veces a la semana,3,5,2 horas,Sí,4,4,2,No,2,2 a 4 horas,2,Sí,Sí
27/04/2023 16:33:47,22,5,Administración y Negocios Digitales,6 a 8 horas,3,2,3,2,No consumo,5 o 6 veces a la semana,1,5,4 horas,Sí,2,1,2,Sí,3,más de 6 horas,3,Sí,No
27/04/2023 16:36:53,17,1,Ciencia de la Computación,3 a 5 horas,2,4,4,5,2,No realizo ejercicio,4,5,1 hora,Sí,4,3,1,Sí,1,1 a 2 horas,3,Sí,No
27/04/2023 17:19:53,18,3,Ingeniería Mecatrónica,6 a 8 horas,4,1,4,3,No consumo,1 o 2 veces a la semana,2,4,2 horas,Sí,3,1,1,Sí,1,1 a 2 horas,3,No,Sí
27/04/2023 17:46:23,18,3,Ingeniería Mecatrónica,6 a 8 horas,4,2,4,3,1,1 o 2 veces a la semana,3,3,2 horas,No,3,1,1,No,1,No tengo otros compromisos,2,No,No
27/04/2023 17:47:48,18,4,Ingeniería Mecatrónica,6 a 8 horas,4,3,3,4,2,1 o 2 veces a la semana,3,4,2 horas,Sí,4,2,2,Sí,1,1 a 2 horas,1,No,No
27/04/2023 17:48:25,24,4,Ingeniería de la Energía,6 a 8 horas,3,4,3,4,No consumo,3 o 4 veces a la semana,4,5,3 horas,Sí,3,1,1,No,1,1 a 2 horas,1,No,No
27/04/2023 17:48:54,20,4,Ingeniería de la Energía,3 a 5 horas,3,4,3,3,2,No realizo ejercicio,3,4,2 horas,Sí,3,1,1,Sí,4,más de 6 horas,3,Sí,No
27/04/2023 17:52:20,17,1,Ingeniería de la Energía,6 a 8 horas,4,1,4,4,1,3 o 4 veces a la semana,3,5,3 horas,Sí,4,1,2,Sí,1,1 a 2 horas,2,Sí,Sí
27/04/2023 18:02:32,19,3,Bioingeniería,3 a 5 horas,3,3,2,4,No consumo,No realizo ejercicio,4,4,2 horas,Sí,5,1,1,Sí,4,No tengo otros compromisos,1,Sí,Sí
27/04/2023 18:07:34,20,2,Ingeniería Química,3 a 5 horas,3,2,3,4,3,No realizo ejercicio,4,4,4 horas,Sí,4,1,1,Sí,2,No tengo otros compromisos,1,Sí,No
27/04/2023 18:08:18,18,3,Ingeniería Mecatrónica,Menos de 3 horas,2,4,4,3,No consumo,3 o 4 veces a la semana,4,3,3 horas,Sí,3,3,1,Sí,3,No tengo otros compromisos,3,No,No
27/04/2023 18:14:52,25,6,Ingeniería de la Energía,6 a 8 horas,4,1,4,2,No consumo,No realizo ejercicio,3,5,1 hora,No,3,1,1,No,1,No tengo otros compromisos,1,No,No
27/04/2023 18:27:14,22,10,Ingeniería de la Energía,6 a 8 horas,4,1,4,2,No consumo,Me ejercito todos los días,2,4,Más de 4 horas,No,2,1,1,No,1,más de 6 horas,2,Sí,Sí
27/04/2023 18:37:19,20,4,Ingeniería Industrial,3 a 5 horas,3,3,3,5,No consumo,No realizo ejercicio,5,5,3 horas,Sí,3,1,1,Sí,1,No tengo otros compromisos,1,Sí,Sí
27/04/2023 18:46:32,18,3,Ingeniería Química,3 a 5 horas,3,1,5,5,No consumo,3 o 4 veces a la semana,1,5,2 horas,Sí,1,1,1,No,1,No tengo otros compromisos,1,No,No
27/04/2023 19:14:27,18,3,Ingeniería Química,3 a 5 horas,2,1,3,4,No consumo,No realizo ejercicio,5,5,3 horas,Sí,5,1,1,Sí,5,No tengo otros compromisos,2,Sí,No
27/04/2023 20:56:13,19,4,Ingeniería Mecatrónica,3 a 5 horas,2,3,4,4,No consumo,1 o 2 veces a la semana,3,5,2 horas,Sí,3,1,1,Sí,1,No tengo otros compromisos,2,Sí,No
28/04/2023 9:39:47,20,4,Ciencia de la Computación,3 a 5 horas,1,1,2,5,Más de 3,1 o 2 veces a la semana,5,5,Más de 4 horas,Sí,5,3,1,Sí,5,2 a 4 horas,1,Sí,Sí
28/04/2023 9:54:00,23,4,Ingeniería de la Energía,3 a 5 horas,3,3,3,4,1,1 o 2 veces a la semana,4,5,3 horas,Sí,3,3,2,Sí,2,1 a 2 horas,1,Sí,Sí
28/04/2023 9:59:32,19,4,Ingeniería Civil,3 a 5 horas,4,4,4,3,No consumo,3 o 4 veces a la semana,2,4,Más de 4 horas,Sí,2,3,1,No,1,No tengo otros compromisos,3,No,No
28/04/2023 10:50:37,18,3,Ingeniería Química,6 a 8 horas,3,2,4,3,No consumo,1 o 2 veces a la semana,3,5,1 hora,Sí,3,3,1,Sí,1,No tengo otros compromisos,1,No,No
28/04/2023 10:53:17,18,4,Ingeniería Ambiental,6 a 8 horas,3,3,3,3,No consumo,5 o 6 veces a la semana,4,5,3 horas,Sí,3,4,1,Sí,2,2 a 4 horas,2,Sí,No
28/04/2023 11:05:59,19,4,Bioingeniería,6 a 8 horas,3,4,3,4,No consumo,No realizo ejercicio,4,5,3 horas,No,4,1,1,Sí,1,No tengo otros compromisos,2,Sí,No
28/04/2023 11:11:03,18,4,Bioingeniería,3 a 5 horas,2,3,4,5,2,1 o 2 veces a la semana,5,5,Más de 4 horas,Sí,5,5,5,Sí,5,1 a 2 horas,4,Sí,Sí
28/04/2023 14:43:35,20,4,Ciencia de la Computación,3 a 5 horas,1,5,5,2,1,3 o 4 veces a la semana,1,5,1 hora,Sí,5,1,1,Sí,5,más de 6 horas,4,Sí,Sí
