"¿Cuál es tu edad?","¿Cuál es su género?","¿Qué carrera estudias?","¿En qué ciclo se encuentra?","¿Conoces alguna inteligencia artificial?","¿Has utilizado la IA antes?","¿Desde cuando utilizas sistemas de IA en tu entorno académico?","¿Crees que mejoró tu rendimiento académico?","¿Para que cursos utilizas más sistemas de IA?  ","Escribe tu promedio ponderado del ciclo 2022-2","¿Cuál es tu actitud hacia la IA?","¿Cuánto tiempo en promedio usas IA al día? (Solo escribe el número de horas, si lo usas dos horas y media escribe ""2.5"" Si no usa escribe ""0"")","¿Qué tan beneficiosos consideras que son los sistemas de IA? (1= Nada beneficioso 10= Extremadamente beneficioso)","¿Cuáles son tus principales preocupaciones acerca de la IA? ","¿Qué nivel de confianza tienes en la IA?","¿Crees que la regulación de la IA es necesaria?","¿En qué nivel de optimismo clasificarías el futuro de la IA?","¿Crees que la inteligencia artificial tendrá un impacto significativo en tu futura profesión o campo de estudio?","¿Cuál de las siguientes áreas crees que se beneficiará más con el avance de la inteligencia artificial en el futuro?","¿Te gustaría aprender más sobre inteligencia artificial y cómo se aplica en la vida cotidiana, en tu campo de estudio o en tu futura profesión?","¿Qué inteligencias artificiales conoces?","¿Estarías dispuesto/a a estudiar algo relacionado con la tecnología para mantener tus habilidades actualizadas y no quedarte sin trabajo?","¿Crees que la creciente dependencia de la inteligencia artificial podría afectar la capacidad de las personas para ejercer un juicio crítico independiente?","En tu uso cotidiano de IAs, ¿Cuánto consideras que te proporciona resultados útiles?. (1= Nada útil 10= Extremadamente útil ; Si no usas sistemas de IA pon ""0"") ","Del 1 al 10 ¿Cuánto tiempo sientes que ahorras usando inteligencia artificial para tus actividades? (1= Nada de tiempo 10= Demasiado Tiempo; Si no usas sistemas de IA pon ""0"")","",""
"19","Masculino","Ingeniería Civil","4","Sí","Sí","Desde este ciclo","Sí","Letras","13","Positiva","1","7","Reemplazar el trabajo del hombre","Alto","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","8","8","",""
"18","Masculino","Ingeniería Civil","2","Sí","Sí","Desde este ciclo","Sí","Programación","13.85","Positiva","1","9","Que pueda suplantar a las personas  en diferentes trabajos en un futuro .","Medio","Sí","Muy optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","9","8","",""
"18","Femenino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Ciencias","15","Neutral","1.5","7","La veracidad de la información
La poca regulación respecto a su uso
El manejo de la privacidad y seguridad de los datos","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","6","8","",""
"20","Masculino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Ciencias","15.11","Positiva","3","9","Veracidad académica.","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","8","9","",""
"19","Masculino","Ciencias de la Computación","4","Sí","Sí","Desde este ciclo","Sí","Programación","16","Neutral","1.5","8","Que puede quitar el trabajo a muchas personas.","Medio","Sí","Muy optimista","Sí","Área Estudiantil","Sí","ChatGPT, Google Bard","Sí","Sí","10","8","",""
"18","Masculino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Letras","16.2","Neutral","0.5","7","Me preocupa que algunas personas van a depender de la IA para hacer todas sus tareas","Bajo","Sí","Optimista","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","No","6","8","",""
"21","Masculino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Programación","12.5","Positiva","0.3","7","Ninguna ","Medio","Sí","Optimista","Tal vez","Área Laboral","Sí","ChatGPT","Tal vez","Sí","8","8","",""
"19","Masculino","Ingeniería Civil","4","Sí","No","No he hecho uso de sistemas de IA","No","NA","12","Neutral","1","8","Ninguna","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Tal vez","No","6","6","",""
"19","Masculino","Ingeniería Mecatrónica","3","Sí","Sí","Desde este ciclo","No","Letras","14.25","Neutral","0.5","6","No utilizarlo demasiado ","Medio","Sí","Optimista","Tal vez","Área Laboral","Tal vez","ChatGPT, Google Bard","Tal vez","Sí","8","7","",""
"19","Masculino","Bioingeniería","3","Sí","Sí","Mucho antes","Sí","Letras","16.7","Positiva","4","6","Desde mi punto de vista, siempre van a haber dos factores que no son los más adecuados con respecto a las inteligencias artificiales por parte del ser humano. El primero consiste en la dependencia en la que uno puede llegar a tener a una máquina automatizada, puesto que el hecho de que una tarea sea facilitada puede resultar tentador pero a su vez contraproducente al acostumbrase a dicho proceso.

El segundo criterio importante es que nunca se va a poder quitar la mano de obra de un ser humano de estos procesos. Con este comentario se busca decir que habrá una gran probabilidad de fallo y si en caso falle, aquel que sufra parte de la culpablidad no va a ser la máquina inanimada, sino la persona a cargo del proceso. 

 Tampoco quiero que se me malinteprete, sí considero que la presencia humana dentro de un proceso que involucre a una IA es importante. Sin embago, sería mejor  que el proceso de incorporación de las IA  esté optimizado para evitar errores que esté abierta a la mejora.","Alto","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT, Google Bard, Wombo, ","Tal vez","Sí","8","6","",""
"18","Femenino","Bioingeniería","3","No","No","No he hecho uso de sistemas de IA","No he usado","NA","16.07","Neutral","0","5","Que me acostumbre a usarlo ","Medio","Sí","Optimista","Sí","Área Laboral","Tal vez","ChatGPT","Sí","Sí","7","6","",""
"19","Masculino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Sí","Numeros","16.7","Positiva","1","8","Su avance constante","Medio","No","Optimista","Sí","Área Laboral","Sí","ChatGPT, Google Bard","Sí","Sí","7","7","",""
"19","Masculino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Ciencias","14","Positiva","0.5","7","Respuestas erróneas ","Medio","Sí","Muy optimista","Tal vez","Área Laboral","Sí","ChatGPT","Sí","Sí","7","7","",""
"18","Masculino","Ciencias de la Computación","3","Sí","Sí","Mucho antes","Sí","Programación","16","Positiva","5","10","Ninguna ","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","10","10","",""
"19","Femenino","Bioingeniería","2","No","No","Desde este ciclo","No","Programación","13","Positiva","1","7","A que los estudiantes dependan de ella.","Medio","Sí","Optimista","Sí","Área Artística","Sí","ChatGPT","Sí","Sí","8","5","",""
"17","Femenino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Numeros","15.94","Neutral","0.5","7","Que puedan reemplazarnos en ciertos ámbitos laborales.","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","10","7","",""
"19","Femenino","Bioingeniería","2","Sí","Sí","Mucho antes","Sí","Ciencias","15","Positiva","1.0","7","Que no se pueda controlar ","Medio","No","Neutral","Tal vez","Área Laboral","Sí","ChatGPT, Google Bard","Tal vez","Sí","5","5","",""
"18","Femenino","Ingeniería Química","3","Sí","Sí","Desde este ciclo","Sí","Programación","15.6","Neutral","1","8","Su uso eficaz ","Medio","Sí","Optimista","Tal vez","Área Estudiantil","Tal vez","ChatGPT","No","Sí","7","3","",""
"18","Masculino","Ciencias de la Computación","3","Sí","Sí","Mucho antes","Sí","Programación","17.3","Positiva","2","10","Que me reemplacen ","Medio","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Bing AI, Github Copilot","Sí","Sí","8","9","",""
"18","Masculino","Ingeniería Mecatrónica","3","Sí","Sí","Desde este ciclo","Sí","Numeros","14.8","Positiva","2","7","volverme dependiente a ella","Medio","Sí","Neutral","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","8","9","",""
"18","Masculino","Ciencias de la Computación","3","Sí","Sí","Desde este ciclo","Sí","Programación ","14.6","Positiva","2","10","El avance que puedan dar en el futuro, pueden ser perjudiciales para el sistema académico ","Alto","Sí","Muy optimista","Sí","Área Laboral","Sí","ChatGPT, Youchat","Sí","Sí","10","10","",""
"18","Femenino","Bioingeniería","3","Sí","Sí","Desde este ciclo","Sí","Numeros","15.6","Positiva","0.3","8","No tengo preocupaciones","Medio","Sí","Optimista","Sí","Área Laboral","Tal vez","ChatGPT","Sí","No","7","9","",""
"17","Femenino","Ingeniería Química","3","Sí","Sí","Desde este ciclo","Sí","Programación","15.53","Positiva","2","8","A veces cometen errores o actualizan la página y demora más en cargar","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT, Google Bard, Wombo","Sí","Sí","8","9","",""
"18","Femenino","Ingeniería Química","3","Sí","Sí","Desde este ciclo","Sí","Letras","17.5","Positiva","0.5","8","El número de desempleo que puede ocasionar (en algunas carreras más que en otras) y la dependencia que podemos llegar a desarrollar hacia ella.","Medio","Sí","Optimista","Tal vez","Área Laboral","Sí","ChatGPT, Google Bard, Youchat","Sí","Sí","7","8","",""
"18","Masculino","Ingeniería Civil","4","Sí","No","No he hecho uso de sistemas de IA","No he usado","NA","16","Neutral","0","5",". ","Medio","Sí","Neutral","Tal vez","Área Estudiantil","Tal vez","ChatGPT, Youchat","Tal vez","Sí","0","0","",""
"19","Masculino","Ingeniería Civil","4","No","No","No he hecho uso de sistemas de IA","No he usado","NA","13","Neutral","0","7","Menos enfoque en la lectura ","Medio","Sí","Optimista","Tal vez","Área Estudiantil","Sí","ChatGPT","Sí","Sí","0","0","",""
"18","Masculino","Ciencia de Datos","3","Sí","Sí","Desde este ciclo","Sí","Programación","14","Neutral","4","7","Dependencia","Medio","Sí","Optimista","Sí","Medicina","Sí","ChatGPT","Sí","Sí","9","8","",""
"20","Masculino","Ingeniería Civil","4","No","No","No he hecho uso de sistemas de IA","No he usado","NA","13","Neutral","0","7","Ninguna","Nulo","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Sí","Sí","0","0","",""
"22","Femenino","Ingeniería Civil","4","Sí","Sí","Desde el ciclo pasado","Sí","Letras","14","Positiva","4","9","Vulnerabilidad de mi información.","Medio","Sí","Optimista","Sí","Área Laboral","Sí","You tube ","Sí","Sí","6","6","",""
"20","Masculino","Ingeniería Mecatrónica","3","Sí","Sí","Mucho antes","Sí","Programación","13","Positiva","2","8","nada","Medio","Sí","Pesimista","Sí","Área Estudiantil","Sí","ChatGPT, Google Bard, Youchat","Sí","Sí","7","5","",""
"18","Femenino","Bioingeniería","3","Sí","No","No he hecho uso de sistemas de IA","No he usado","NA","18.50","Positiva","0","9","A veces se puede equivocar","Medio","Sí","Optimista","Sí","Área Laboral","Sí","ChatGPT","Tal vez","Sí","7","0","",""
"21","Femenino","Bioingeniería","4","Sí","Sí","No he hecho uso de sistemas de IA","No he usado","NA","16.8","Neutral","0","6","Que pueda tener información que no sea tan confiable y las personas se lo crean.","Medio","Sí","Optimista","Sí","Área Estudiantil","Sí","ChatGPT","Sí","Sí","0","0","",""
