CLIENTE,PROYECTO,PISOS,ETAPA DE LA EDIFICACIÓN,SÓTANOS,DIRECCION DE LA OBRA,TIPO DE EDIFICACIÓN,INGRESO,DISTRITO,APROBACION,ÁREA DEL EDIFICIO,CANTIDAD DE DETECTORES DE TEMPERATURA,DEPARTAMENTOS POR PISO,CANTIDAD DE DETECTORES DE HUMO
AURORA GRUPO INMOBILIARIO,Malecon Acacias  (31 de Diciembre - 2024),8,ETAPA DE CONSTRUCCION,3,Las Acacias 230 Miraflores,Residencial,20000,Miraflores,SI,264,88,4,8
AURORA GRUPO INMOBILIARIO,Oficinas,5,ETAPA DE PLANOS,1,Elías Aguirre 781 - Miraflores 15074,Oficina,12500,Miraflores,SI,420,47,3,5
AURORA GRUPO INMOBILIARIO,Parque Blume (31 de Diciembre - 2024),9,ETAPA DE PLANOS,2,José Quiñones 189 Miraflores,Residencial,22500,Miraflores,SI,780,173,5,9
AURORA GRUPO INMOBILIARIO ,Malecon La Paz  (31 de Enero - 2024),9,ETAPA DE PLANOS,2,Av La Paz 1455 Miraflores,Residencial,22500,Miraflores,SI,234,52,3,9
ABRIL GRUPO INMOBILIARIO,Oficinas,5,ETAPA DE PLANOS,2,Ca. Enrique Palacios 360 - Of. 105 - Miraflores (alt. cdra. 3 de Av. José Pardo) Lima - Perú,Residencial,12500,Miraflores,SI,416,92,4,5
ABRIL GRUPO INMOBILIARIO,"Escallonia


",8,ETAPA DE CONSTRUCCIÓN,3,Calle Inca Ripac 315 - Jesús Maria,Residencial,20000,Jesús Maria,SI,360,120,5,8
ABRIL GRUPO INMOBILIARIO,"Le Rosier (31 de Diciembre - 2024)


",22,ETAPA DE PLANOS,7,Av. Roosevelt 5877 - Miraflores,Residencial,55000,Miraflores,SI,728,566,7,176
ABRIL GRUPO INMOBILIARIO,"Aquilaria (31 de Mayo - 2024)


",25,ETAPA DE PLANOS,6,Salaverry 3580 - San Isidro,Residencial,62500,San Isidro,SI,1180,787,10,275
ABRIL GRUPO INMOBILIARIO,"Sauco (30 de Abril - 2025)


",33,ETAPA DE PLANOS,7,Av. Javier Prado Este  N° 1091 - Frente al colegio San Agustín,Residencial,82500,San Isidro,SI,1026,798,9,330
ABRIL GRUPO INMOBILIARIO,Arándanos (31 de Diciembre - 2024),22,ETAPA DE PLANOS,6,Av. Aramburú 1160 - Surquillo,Residencial,55000,Surquillo,SI,540,360,9,220
ABRIL GRUPO INMOBILIARIO,"La Foret (31 de Diciembre - 2024)


",21,ETAPA DE PLANOS,5,Av. San Felipe 758 - Jesús María,Residencial,52500,Jesús Maria,SI,532,296,7,168
ABRIL GRUPO INMOBILIARIO,"Amarelo (31 de Diciembre - 2023)


",27,ETAPA DE PLANOS,7,Av. Brasil 2475,Residencial,67500,Jesús Maria,SI,680,529,10,297
ABRIL GRUPO INMOBILIARIO,"Amancae (31 de Diciembre - 2023)


",26,ETAPA DE PLANOS,6,Av. Pardo 1051 - Miraflores,Residencial,65000,Miraflores,SI,820,547,10,286
