Marca temporal,"¿Quién es tu referente?
Este datito es opcional, pero nos ayuda a saber quién no anda trabajando 🤔","¿En que ciclo académico te encuentras actualmente en la UTEC?
*Tu ciclo lo define tu curso de menor ciclo que NO has llevado (o recién estás llevando).","¿Cuántos ciclos has cursado desde que ingresaste a la UTEC?
*Los ciclos de verano no se toman en cuenta.",¿Cuál es tu género?,¿Cuántos años tienes?,¿Cuál es tu situación sentimental?,¿Qué carrera estás estudiando?,"¿En que distrito resides actualmente?
Los siete distritos del Callao también figuran.","¿Cuánto tiempo te toma llegar a la UTEC?
Puede que haya días en los que enfrentas más tránsito o no, en ese caso te pedimos una media aproximada.",(2023-1) ¿Cuántos cursos en total estás llevando este ciclo?  📚📙,"(2023-1) ¿Cuántos créditos en total estás llevando este ciclo?
El máximo de créditos por ciclo es 26.","(2023-1) De tu total de créditos, ¿cuántos son de cursos de carrera?  👨‍🎓
El máximo de créditos por ciclo es 26.","(2023-1) De tu total de cursos, ¿cuántos son cursos de carrera?","(2022-2) ¿Cuántos créditos llevaste el ciclo pasado?
El máximo de créditos por ciclo es 26.",(2022-2) ¿Cuántos cursos en total llevaste el ciclo pasado?  📚📙,"(2022-2) De tu anterior total de créditos, ¿cuántos eran de cursos de carrera?  👨‍🎓
El máximo de créditos por ciclo es 26.","(2022-2) De tu anterior total de cursos, ¿cuántos eran cursos de carrera?","(2022-2) ¿Cuál es tu promedio ponderado del ciclo pasado?
Te pedimos que de ser posible, al menos puedas especificar la primera cifra decimal (ejem: 15.6).","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Entre qué horas sueles desayunar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Entre qué horas sueles almorzar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TIENES clases (2023-1)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tienes clases (2023-1)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [TENÍAS clases (2022-2)?]","¿Durante qué horas sueles cenar los días que...
*Con ""días que NO tienes clases"" nos referimos a domingos y feriados. [NO tenías clases (2022-2)?]","¿SEMANALMENTE cuántas horas sueles DORMIR (ciclo 2023-1)?  😴
*Cuántas horas duermes en una semana aprox*",¿SEMANALMENTE cuántas horas SOLÍAS DORMIR (ciclo 2022-2)?,¿SEMANALMENTE cuántas horas SUELES DEDICAR al deporte (ciclo 2023-1)?  ⛹️‍♂️,¿SEMANALMENTE cuántas horas SOLÍAS DEDICAR al deporte (ciclo 2022-2)?,¿SEMANALMENTE cuántas horas SUELES ESTUDIAR (ciclo 2023-1)?  🦕,¿SEMANALMENTE cuántas horas SOLÍAS ESTUDIAR (ciclo 2022-2)?,"Salud y deporte.
Hábitos que sean beneficiosos para tu bienestar general (alimentación, sueño y ejercicio).","Dinero (finanzas y economía).
Tu relación con el dinero, la forma en la que gestionas tus gastos y ahorros.","Carrera y trabajo.
Desarrollo de habilidades profesionales, desempeño en la universidad y desempeño laboral (en caso tengas trabajo).","Familia y amor.
Tu relación con tu familia y pareja (en caso tengas una).","Entorno y amigos.
La calidad y la cantidad de las relaciones sociales y de amistad tienes en tu vida.","Desarrollo personal.
Tiempo dedicado a reflexionar y trabajar en tus habilidades, personalidad, mentalidad, salud y felicidad.","Pasatiempos y entretenimiento.
Sentimiento de satisfacción y suficiencia respecto al tiempo que le dedicas a tu diversión.","Espiritualidad.
Conexión personal con tu vida espiritual (religión, práctica espiritual personal o su sentido de propósito y significado en la vida).","Salud y deporte.
Hábitos que sean beneficiosos para tu bienestar general (alimentación, sueño y ejercicio).","Dinero (finanzas y economía).
Tu relación con el dinero, la forma en la que gestionas tus gastos y ahorros.","Carrera y trabajo.
Desarrollo de habilidades profesionales, desempeño en la universidad y desempeño laboral (en caso tengas trabajo).","Familia y amor.
Tu relación con tu familia y pareja (en caso tengas una).","Entorno y amigos.
La calidad y la cantidad de las relaciones sociales y de amistad tienes en tu vida.","Desarrollo personal.
Tiempo dedicado a reflexionar y trabajar en tus habilidades, personalidad, mentalidad, salud y felicidad.","Pasatiempos y entretenimiento.
Sentimiento de satisfacción y suficiencia respecto al tiempo que le dedicas a tu diversión.","Espiritualidad.
Conexión personal con tu vida espiritual (religión, práctica espiritual personal o su sentido de propósito y significado en la vida)."
1/05/2023 17:07:01,Kiara.,Segundo ciclo.,3,Femenino.,18,Con pareja.,Ciencias de la Computación.,San Isidro,Menos de media hora.,6,22,16,4,15,4,12,3,15.81,6 - 7 am,7 - 8 am,6 - 7 am,7 - 8 am,1 - 2 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,7 - 8 pm,8 - 9 pm,7 - 8 pm,8 - 9 pm,6,7,2,0,8,5,7,10,9,10,10,10,8,9,9,10,10,10,10,10,10,8
1/05/2023 17:07:54,Kiara.,Tercer ciclo.,3,Femenino.,18,Solter@.,Ciencia de Datos.,Carabayllo,De 2 a 3 horas.,5,19,16,4,20,6,4,1,15.4,11 - 12 am,9 - 10 am,11 - 12 am,9 - 10 am,2 - 3 pm,2 - 3 pm,3 - 4 pm,2 - 3 pm,11 pm - 12 am,9 - 10 pm,11 pm - 12 am,9 - 10 pm,20,25,2,2,5,6,6,8,7,7,7,7,7,6,7,7,7,7,7,7,7,7
1/05/2023 17:48:43,Kiara.,Segundo ciclo.,3,Femenino.,18,Solter@.,Ciencia de Datos.,Chorrillos,Menos de media hora.,5,19,12,3,13,4,0,0,16.7,9 - 10 am,11 - 12 am,7 - 8 am,9 - 10 am,12 - 1 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,10 - 11 pm,11 pm - 12 am,9 - 10 pm,11 pm - 12 am,55,60,0,24,5,6,1,2,6,6,10,8,1,1,10,6,3,10,7,6,7,8
4/05/2023 14:41:26,Derkhenz.,Tercer ciclo.,8,Masculino.,21,Solter@.,Ingeniería Mecatrónica.,Santiago de Surco,Media hora a 1 hora.,4,16,12,4,15,4,4,1,14.5,6 - 7 am,8 - 9 am,6 - 7 am,7 - 8 am,12 - 1 pm,3 - 4 pm,12 - 1 pm,2 - 3 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,35,49,0,0,3,5,3,1,2,8,9,4,8,1,1,5,9,8,4,9,6,10
1/05/2023 22:17:40,Gaby.,Tercer ciclo.,3,Femenino.,18,Con pareja.,Ingeniería Mecatrónica.,Pueblo Libre,Media hora a 1 hora.,5,19,4,1,19,6,0,0,14.84,5 - 6 am,8 - 9 am,6 - 7 am,9 - 10 am,12 - 1 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,8 - 9 pm,9 - 10 pm,8 - 9 pm,8 - 9 pm,7,6,9,5,4,3,8,7,7,7,9,7,8,2,6,7,7,7,8,5,8,1
1/05/2023 22:33:28,Gaby.,Tercer ciclo.,3,Masculino.,17,Solter@.,Ingeniería Mecatrónica.,Santiago de Surco,Menos de media hora.,5,19,4,1,20,6,0,0,12.3,6 - 7 am,8 - 9 am,7 - 8 am,8 - 9 am,12 - 1 pm,1 - 2 pm,1 - 2 pm,1 - 2 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,6,7,4.5,6,12,8,4,6,4,4,7,3,4,3,6,5,5,5,5,6,5,6
1/05/2023 22:34:23,Derkhenz.,Sexto ciclo.,6,Masculino.,20,Solter@.,Ingeniería de la Energía.,Magdalena del Mar,Media hora a 1 hora.,5,16,8,2,19,5,12,3,13,No desayuno.,No desayuno.,No desayuno.,No desayuno.,1 - 2 pm,2 - 3 pm,1 - 2 pm,2 - 3 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,8 - 9 pm,7,7,0,0,2,3,3,7,3,3,8,5,9,1,6,7,4,3,8,4,8,2
1/05/2023 23:10:46,Luciana.,Segundo ciclo.,4,Femenino.,21,Con pareja.,Ingeniería Industrial.,San Juan de Lurigancho,De 1 a 2 horas.,6,21,12,3,20,6,3,1,13.56,9 - 10 am,9 - 10 am,8 - 9 am,8 - 9 am,1 - 2 pm,1 - 2 pm,2 - 3 pm,2 - 3 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,7 - 8 pm,35,45,3,5,4,5,7,4,4,8,9,7,8,7,8,8,9,8,9,9,8,8
1/05/2023 23:19:43,Luciana.,Cuarto ciclo.,4,Femenino.,21,Con pareja.,Ingeniería Industrial.,San Martin de Porres,De 1 a 2 horas.,6,24,10,3,15,5,1,2,14.6,7 - 8 am,6 - 7 am,7 - 8 am,6 - 7 am,1 - 2 pm,11 am - 12 pm,2 - 3 pm,11 am - 12 pm,9 - 10 pm,No ceno.,7 - 8 pm,9 - 10 pm,30,39,0,0,22,20,6,5,6,7,8,6,6,10,9,9,8,8,8,6,8,9
1/05/2023 23:56:09,Luciana.,Quinto ciclo.,5,Femenino.,19,Solter@.,Ingeniería Química.,Los Olivos,De 1 a 2 horas.,4,14,4,1,19,5,4,1,11.3,No desayuno.,9 - 10 am,No desayuno.,9 - 10 am,1 - 2 pm,2 - 3 pm,12 - 1 pm,2 - 3 pm,10 - 11 pm,9 - 10 pm,8 - 9 pm,9 - 10 pm,45,38,0,0,30,36,7,8,6,8,8,8,6,5,6,7,6,8,8,8,6,5
