work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L
2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
2022,SE,FT,Applied Machine Learning Scientist,108000,USD,108000,US,0,US,L
2023,SE,FT,NLP Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2023,EX,FT,Data Scientist,145000,USD,145000,US,0,US,M
2022,SE,FT,Data Scientist,168000,USD,168000,US,100,US,M
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
2022,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2022,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2022,SE,FT,Research Engineer,250000,USD,250000,US,0,US,M
2022,MI,FT,Data Analytics Consultant,113000,USD,113000,US,100,US,L
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,MI,FT,ML Engineer,147000,USD,147000,US,0,US,M
2021,SE,FT,Data Scientist,4000000,INR,54094,IN,100,IN,L
2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
2022,SE,FT,Data Engineer,260000,USD,260000,US,0,US,M
2023,SE,FT,Data Engineer,192000,USD,192000,US,0,US,M
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
2023,SE,FT,Machine Learning Engineer,109400,USD,109400,US,0,US,M
2023,SE,FT,Data Engineer,153600,USD,153600,US,0,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Architect,113900,USD,113900,US,100,US,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2023,SE,FT,Research Scientist,151800,USD,151800,US,0,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2022,EN,FL,Machine Learning Engineer,100000,USD,100000,IR,100,IR,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2022,EN,FT,Data Engineer,57000,EUR,59888,NL,100,NL,L
2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Analytics Specialist,105000,USD,105000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Engineer,132100,USD,132100,US,100,US,L
2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
2023,SE,FT,Computer Vision Software Engineer,50000,EUR,53654,NL,100,CA,L
2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
2023,EX,FT,Data Engineer,115500,USD,115500,US,0,US,M
2022,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Scientist,123900,USD,123900,US,100,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2022,SE,FT,Data Architect,230400,USD,230400,US,0,US,M
2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2022,SE,FT,Data Scientist,106800,USD,106800,US,100,US,M
2022,SE,FT,Data Engineer,35000,EUR,36773,ES,0,ES,M
2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
2022,SE,FT,Data Architect,195400,USD,195400,US,100,US,L
2022,SE,FT,Machine Learning Software Engineer,168000,USD,168000,CA,100,CA,M
2022,SE,FT,Data Engineer,105000,USD,105000,US,0,US,M
2022,SE,FT,Data Engineer,35000,GBP,43096,GB,100,GB,M
2022,SE,FT,Data Scientist,125000,USD,125000,US,0,US,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
2022,SE,FT,Data Engineer,315000,USD,315000,US,100,US,M
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M
2022,MI,FT,Data Scientist,150000,PLN,33609,PL,100,PL,L
2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
2022,EN,FT,Data Scientist,73000,USD,73000,US,0,US,M
