VARIABLE,DESCRIPCIÓN,TIPO DE VARIABLE,RESTRICCIONES
ID,ID de préstamo,Variable cualitativa ordinal,Es un código con caracteres combinados de letras y números enteros no negativos.
Género,"
 Masculino, Femenino
",Variable cualitativa nominal,Solo se clasifican en 2 tipos (Masculino/Femenino).
Estado_civil,"Estado civil del solicitante (Casado, Soltero)",Variable cualitativa nominal,Varible con dos posibilidades (Casado/Soltero).
Carga_familiar,"Número de dependientes (0, 1, 2, 3, +3)",Variable cualitativa ordinal,Número entero no negativo.
Grado_Académico,"Educación del solicitante (Graduado, No graduado)",Variable cualitativa nominal,Sólo tiene dos posibles respuestas (Graduado / No graduado)
Trabajador_independiente,"Trabajo autónomo (Si, No)",Variable cualitativa nominal,Variable con dos posibilidades            (Si /No).
Ingreso_del_solicitante $,Ingreso del solicitante en dolares ($),Variable cuantitativa contínua,Cantidad no negativa.
Ingreso_del_cosolicitante $,Ingreso de la cosolicitante en dolares ($),Variable cuantitativa contínua,Cantidad no negativa.
Monto_de_préstamo (miles de $),Monto del préstamo en miles de dolares ($),Variable cuantitativa contínua,Cantidad no negativa.
Periodo_crediticio,Plazo de préstamo en meses,Variable cuantitativa discreta,Número entero no negativo (Meses).
Historial_crediticio,"El historial crediticio de acuerdo a sus anteriores préstamos (Bueno, Malo)",Variable cualitativa nominal,Variable dicotómica cuyo valores no siguen un orden                    (Bueno / Malo).
Ubicación_de_propiedad,"Clasificaión de las casas de acuerdo a su ubicación (Urbano, Semiurbano, Rural)",variable cualitativa nominal,Existen sólo 3 tipos de clasificación de zonas residenciales según su geografía    (Urbano / Semiurbano / Rural).
Estado_de_préstamo,"Aprobado, Rechazado",Variable cualitativa nominal,"Variable dicotómica, cuyos valores son contrarias."
