TOTAL,Ingreso del solicitante ,Ingreso del cosolicitante,Ingreso económico total,Periódo,Monto de préstamo
Mínimo,150,0,1442,36,9
Máximo,81000,33837,81000,480,600
Media,5364.23,1581.09,6945.32,342.05,144.74
Mediana,3859,1084.05,5422.5,360,128
Moda,2500,0,"3750, 4583, 6000",360,0.56
Coeficiente de variación,"1,06",1.66,0.86,0.19,"100,110,120"
Desviación estándar,5668.25,2617.69,5969.95,65.21,80.51
Rango intercuantil,2953.75,2253.25,3524.5,0,70
APROBADO,Ingreso del solicitante,Ingreso del cosolicitante,Ingreso económico total,Periódo,Monto de préstamo
Mínimo,645,0,1963,60,17
Máximo,39999,20000,43897,480,600
Media,5201.09,1495.51,6696.6,341.71,140.88
Mediana,3858.5,1211.5,5439,360,128
Moda,2500,0,"3750,  6000",360,120
Coeficiente de variación,0.88,1.33,0.7,0.18,0.54
Desviación estándar,4584.82,1982.74,4684.6,61.65,75.54
Rango intercuantil,2905.5,2250,3385.75,0,62
