AÑO,FECHA ENVIO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE CENTRO ATENCION,CASOS ATENDIDOS-TOTAL--,CASOS ATENDIDOS - HOMBRES - TOTAL,CASOS ATENDIDOS - MUJERES - TOTAL,CASOS ATENDIDOS - VIOLENCIA PSICOLOGICA,CASOS ATENDIDOS - VIOLENCIA FISICA,CASOS ATENDIDOS - VIOLENCIA SEXUAL,CASOS ATENDIDOS - 0_5 - TOTAL,CASOS ATENDIDOS - 0_5 - HOMBRES,CASOS ATENDIDOS - 0_5 - MUJERES,CASOS ATENDIDOS - 6_11 - TOTAL,CASOS ATENDIDOS - 6_11 - HOMBRES,CASOS ATENDIDOS - 6_11 - MUJERES,CASOS ATENDIDOS - 12_17 - TOTAL,CASOS ATENDIDOS - 12_17 - HOMBRES,CASOS ATENDIDOS - 12_17 - MUJERES,CASOS ATENDIDOS - 18_29 - TOTAL,CASOS ATENDIDOS - 18_29 - HOMBRES,CASOS ATENDIDOS - 18_29 - MUJERES,CASOS ATENDIDOS - 30_59 - TOTAL,CASOS ATENDIDOS - 30_59 - HOMBRES,CASOS ATENDIDOS - 30_59 - MUJERES,CASOS ATENDIDOS - 60_MAS - TOTAL,CASOS ATENDIDOS - 60_MAS - HOMBRES,CASOS ATENDIDOS - 60_MAS - MUJERES
2020,15/01/2021,APurímAC,ABANCAY,ABANCAY,CEM ABANCAY,175,14,161,101,61,13,3,2,1,11,7,4,13,2,11,39,0,39,95,1,94,14,2,12
2020,15/01/2021,HuaNCAVELICA,ACOBAMBA,ACOBAMBA,CEM ACOBAMBA,146,6,140,55,74,17,4,2,2,5,0,5,17,1,16,52,0,52,61,1,60,7,2,5
2020,15/01/2021,HUÁNUCO,AMBO,AMBO,CEM AMBO,181,12,169,68,84,29,11,3,8,14,4,10,34,2,32,60,0,60,53,1,52,9,2,7
2020,15/01/2021,APurímAC,ANDAHUAYLAS,ANDAHUAYLAS,CEM ANDAHUAYLAS,266,22,244,152,92,22,2,0,2,22,9,13,30,5,25,71,2,69,123,2,121,18,4,14
2020,15/01/2021,APurímAC,ANTABAMBA,ANTABAMBA,CEM ANTABAMBA,108,14,94,47,58,3,3,2,1,5,2,3,16,2,14,17,2,15,54,5,49,13,1,12
2020,15/01/2021,piura,ayabaca,ayabaca,cem ayabaca ,159,12,147,66,62,31,2,2,0,15,3,12,35,2,33,40,1,39,61,1,60,6,3,3
2020,15/01/2021,AYACUCHO,HUAMANGA,AYACUCHO,CEM HUAMANGA,357,28,329,215,104,38,9,4,5,30,10,20,31,3,28,98,1,97,165,3,162,24,7,17
2020,15/01/2021,AMAZONAS,BAGUA,BAGUA,CEM BAGUA,101,21,80,46,34,21,13,7,6,19,7,12,22,4,18,20,0,20,23,1,22,4,2,2
2020,15/01/2021,CAJAMARCA,CAJAMARCa,CAJAMARCA,CEM CAJAMARCA,132,19,113,40,52,40,9,5,4,22,8,14,31,4,27,23,0,23,41,1,40,6,1,5
2020,15/01/2021,CALLAO,CALLAO,CALLAO,CEM CALLAO,683,145,538,293,259,131,79,34,45,136,71,65,101,22,79,131,4,127,187,7,180,49,7,42
2020,15/01/2021,AREQUIPA,CAMANÁ,CAMANÁ,CEM CAMANA,265,41,224,149,87,29,7,4,3,33,11,22,35,10,25,66,3,63,100,6,94,24,7,17
2020,15/01/2021,AYACUCHO,CANGALLO,CANGALLO,CEM CANGALLO,98,22,76,70,21,7,13,8,5,20,10,10,17,4,13,17,0,17,30,0,30,1,0,1
2020,15/01/2021,LIMA,CAÑETE,IMPERIAL,CEM IMPERIAL,173,21,152,99,59,15,7,4,3,18,5,13,25,7,18,38,0,38,68,0,68,17,5,12
2020,15/01/2021,LIMA,LIMA,CARABAYLLO,CEM CARABAYLLO,347,91,256,123,163,61,49,31,18,93,40,53,71,11,60,56,3,53,65,2,63,13,4,9
2020,15/01/2021,AREQUIPA,AREQUIPA,AREQUIPA,CEM AREQUIPA,455,94,361,299,108,48,28,12,16,74,27,47,54,16,38,61,2,59,182,12,170,56,25,31
2020,15/01/2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CEM CHACHAPOYAS,216,18,198,116,64,36,8,2,6,16,3,13,30,5,25,50,3,47,98,3,95,14,2,12
2020,15/01/2021,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,CEM CHANCHAMAYO,269,30,239,142,103,24,8,4,4,20,11,9,37,7,30,58,0,58,110,2,108,36,6,30
2020,15/01/2021,LAMBAYEQUE,CHICLAYO,CHICLAYO,CEM CHICLAYO,122,20,102,66,48,8,8,6,2,15,7,8,9,1,8,30,1,29,51,0,51,9,5,4
2020,15/01/2021,JUNÍN,HUANCAYO,CHILCA,CEM CHILCA,289,18,271,170,95,24,7,3,4,29,11,18,27,2,25,89,0,89,117,1,116,20,1,19
2020,15/01/2021,ÁNCAsh,SANTA,CHIMBOTE,CEM CHIMBOTE,178,35,143,102,71,5,2,1,1,17,9,8,15,6,9,31,5,26,71,6,65,42,8,34
2020,15/01/2021,APurímAC,CHINCHEROS,CHINCHEROS,CEM CHINCHEROS,346,39,307,196,128,22,15,7,8,32,12,20,56,11,45,73,0,73,155,8,147,15,1,14
2020,15/01/2021,AREQUIPA,CAYLLOMA,CHIVAY,CEM CHIVAY,520,113,407,309,162,49,41,17,24,80,40,40,92,36,56,83,11,72,200,3,197,24,6,18
2020,15/01/2021,LA LIBertAD,ASCOPE,CHOCOPE,CEM CHOCOPE,112,19,93,76,26,10,10,4,6,18,7,11,20,4,16,25,1,24,35,0,35,4,3,1
2020,15/01/2021,CAJAMARCA,CHOTA,CHOTA,CEM CHOTA,172,12,160,60,89,23,2,1,1,7,3,4,23,5,18,52,1,51,73,2,71,15,0,15
2020,15/01/2021,PIURA,MORROPÓN,CHULUCANAS,CEM CHULUCANAS,184,7,177,94,65,25,1,0,1,14,2,12,23,5,18,60,0,60,80,0,80,6,0,6
2020,15/01/2021,CUSCO,CHUMBIVILCAS,SANTO TOMÁS,CEM CHUMBIVILCAS,174,13,161,60,62,52,8,3,5,18,6,12,28,3,25,46,1,45,69,0,69,5,0,5
2020,15/01/2021,APurímAC,GRAU,CHUQUIBAMBILLA,CEM CHUQUIBAMBILLA,129,17,112,49,68,12,1,1,0,15,3,12,16,2,14,26,0,26,62,8,54,9,3,6
2020,15/01/2021,HUANCAVELICA,CHURCAMPA,CHURCAMPA,CEM CHURCAMPA,107,18,89,69,30,8,14,6,8,13,6,7,24,4,20,21,1,20,28,0,28,7,1,6
2020,15/01/2021,LIMA,LIMA,COMAS,CEM COMAS,287,46,241,186,42,59,24,11,13,39,11,28,33,3,30,61,2,59,92,4,88,38,15,23
2020,15/01/2021,JUNÍN,CONCEPCIÓN,CONCEPCIÓN,CEM CONCEPCION,238,23,215,123,79,36,3,1,2,19,8,11,31,2,29,58,3,55,105,6,99,22,3,19
2020,15/01/2021,CUSCO,CUSCO,WANCHAQ,CEM CUSCO,429,68,361,255,112,62,20,8,12,63,28,35,63,21,42,83,5,78,178,4,174,22,2,20
2020,15/01/2021,LIMA,LIMA,EL AGUSTINO,CEM EL AGUSTINO,171,36,135,49,81,41,26,13,13,27,10,17,29,2,27,29,1,28,25,0,25,35,10,25
2020,15/01/2021,CUSCO,ESPINAR,ESPINAR,CEM ESPINAR,307,16,291,202,92,13,1,0,1,15,4,11,23,2,21,87,2,85,166,5,161,15,3,12
