CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,11,25,0,135.65,20.9,10.7,28.3,5.8,2153
112192,ATE,2015,11,25,1,104.8,24.6,9,20.5,5.9,1948.4
112192,ATE,2015,11,25,2,110.58,42.5,9.3,18.3,5.9,1902.2
112192,ATE,2015,11,25,3,119.42,52.9,10.3,12.6,5.4,1624.3
112192,ATE,2015,11,25,4,145.51,72.8,17.6,12.5,5.2,1500.6
112192,ATE,2015,11,25,5,172.91,86.2,16.3,14.8,5.7,1763.1
112192,ATE,2015,11,25,6,213.44,91.6,25.7,21.1,5.4,1945.1
112192,ATE,2015,11,25,7,233.56,94.7,21.5,28.7,6,2008.9
112192,ATE,2015,11,25,8,236.24,97.8,23.2,28.6,6.6,1987.4
112192,ATE,2015,11,25,9,196.43,81.5,25,29,7.5,2082
112192,ATE,2015,11,25,10,176.62,71.2,16.6,24.8,9.1,1861.7
112192,ATE,2015,11,25,11,145.81,64.2,8.4,19.2,13.1,1646.8
112192,ATE,2015,11,25,12,152.04,56.3,10.8,28,27.1,1607.6
112192,ATE,2015,11,25,13,158.3,70.5,12.5,47.8,46.1,1761.6
112192,ATE,2015,11,25,14,140.88,36.4,16.3,42.6,50.2,1583.1
112192,ATE,2015,11,25,15,142.07,35.6,12,27.4,41,1465.7
112192,ATE,2015,11,25,16,147.22,31.5,7.1,21,28.7,1488.9
112192,ATE,2015,11,25,17,125.18,19.4,8,19.3,23.3,1455.1
112192,ATE,2015,11,25,18,116.02,21.7,10.7,25.7,10.2,1619.2
112192,ATE,2015,11,25,19,112.8,21.9,8.5,20.7,6.2,1686.4
112192,ATE,2015,11,25,20,108.84,17,5.4,15.1,5.9,1711.1
112192,ATE,2015,11,25,21,145.91,18.9,12.6,26.9,6.3,1952.5
112192,ATE,2015,11,25,22,159.19,27.8,16.7,17.9,6.1,1867.6
112192,ATE,2015,11,25,23,144.72,37.6,17.5,15.7,5.9,1755
112192,ATE,2015,11,26,0,96.21,45.3,10,7.2,5.7,1746.6
112192,ATE,2015,11,26,1,67.63,44.8,5.4,3.4,5.5,1515.4
112192,ATE,2015,11,26,2,63.13,37.4,6.1,0.3,5.2,1325.9
112192,ATE,2015,11,26,3,77.56,39.8,6.7,0.9,5.3,1328.1
112192,ATE,2015,11,26,4,97.93,46.7,6.7,1.5,5.6,1344.7
112192,ATE,2015,11,26,5,105.39,54.5,10.7,4.3,5.7,1421.1
112192,ATE,2015,11,26,6,108.95,44.5,12.9,5.6,6,1546.9
112192,ATE,2015,11,26,7,118.12,51.1,12.9,12.1,6.4,1803.4
112192,ATE,2015,11,26,8,87.59,52.7,6.2,5.4,6.7,1722.2
112192,ATE,2015,11,26,9,99.64,49.5,8.3,12.2,8.1,1867
112192,ATE,2015,11,26,10,115.45,50.1,10.2,18,11.5,1745.7
112192,ATE,2015,11,26,11,134.85,55.4,11.2,31.1,14,1952.5
112192,ATE,2015,11,26,12,84.25,36.1,5.7,24.2,24.8,1638.4
112192,ATE,2015,11,26,13,74.23,31.5,5.5,25.3,35.4,1556.4
112192,ATE,2015,11,26,14,67.87,19.7,4.1,19.3,41,1491.3
112192,ATE,2015,11,26,15,60.14,14.6,2.4,10.1,31.5,1392.2
112192,ATE,2015,11,26,16,59.11,15.1,3.4,13.2,22,1448.3
112192,ATE,2015,11,26,17,68.48,15.6,3.2,13.2,19,1429.1
112192,ATE,2015,11,26,18,94.2,19.7,2.9,16.8,13.2,1511.7
112192,ATE,2015,11,26,19,127.35,22.6,4.3,20.2,9,1708.4
