Marca temporal,"                              
Género :
",Edad en años,"
Carrera :
","
Ciclo Académico: 
",Promedio ponderado del primer ciclo (ver sistema académico - notas).,¿Cuántos créditos has llevado el ciclo pasado?  ,Promedio ponderado del ciclo 2022-2 (ver sistema academico - notas),¿Cantidad de cursos que estas llevando?,"
¿Cómo es tu rendimiento académico?
","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género masculino?","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género (Femenino)?","
Factores que influyeron en tu elección de carrera:
",¿Has considerado cambiarte de carrera alguna ves?,¿A que carrera consideraste en cambiarte?,"
¿Consideras retirarte de la universidad? 
","
Razones por las que piensas retirarte de la universidad :"
26/04/2023 7:39:02,Femenino,21,9. Bioingeniería,4,16,21,14,6,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 5. Otros",2. No,,2. No,7. No lo he considerado
26/04/2023 7:51:11,Femenino,20,2. Ingeniería Industrial,4,14.8,21,14.7,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos",2. No,Bioingeniería,3. Tal vez,"1. Problemas Financieros, 6. Falta de interacción de calidad con profesores y orientadores"
26/04/2023 7:59:56,Masculino,12,7. Ingenieria Civil,4,14.5,21,13.8,7,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 11. Ciencia de Datos","2. Amigos, 4. Vocación",2. No,Ingenieria Electrónica,2. No,7. No lo he considerado
26/04/2023 8:01:49,Femenino,22,2. Ingeniería Industrial,2,15.6,20,15.6,7,3. Regular,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,3. Tal vez,Ciencia de la computación,2. No,
26/04/2023 8:02:03,Femenino,18,2. Ingeniería Industrial,2,15,20,15,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales",5. Otros,2. No,,2. No,7. No lo he considerado
26/04/2023 8:06:34,Masculino,20,4. Ingenieria Mecatrónica,7,15.7,24,12.3,4,3. Regular,"5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,,3. Tal vez,5. Cuando reprueban las asignaturas constantemente
26/04/2023 8:09:02,Masculino,20,2. Ingeniería Industrial,2,15,20,15,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales",5. Otros,1. Sí,Ingenieria Civil,2. No,7. No lo he considerado
26/04/2023 8:18:28,Masculino,18,4. Ingenieria Mecatrónica,3,15,23,15,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros",2. No,,2. No,
26/04/2023 8:19:31,Femenino,19,2. Ingeniería Industrial,4,15.75,21,13,6,3. Regular,3. Ingenieria de la Energía,8. Ingenieria Química,5. Otros,1. Sí,Bioingeniería,2. No,5. Cuando reprueban las asignaturas constantemente
26/04/2023 8:19:39,Masculino,19,4. Ingenieria Mecatrónica,2,13.9,21,13.9,6,2. Bueno,4. Ingenieria Mecatrónica,2. Ingenieria Industrial,"3. Entorno Social, 4. Vocación",2. No,Ingenieria Mecatrónica,2. No,7. No lo he considerado
