"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","DSede","DResidencia"
"1",17,"Bioingeniería",2,"Provincia",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",18,1,"Alquilado (compartido)","san isidro","barranco"
"2",18,"Ing. Civil",3,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",6,3,"Casa propia","pueblo libre","comas"
"3",18,"Bioingeniería",3,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",0,1,"Casa propia","san borja","santiago de surco"
"4",19,"Ing. Ambiental",3,"Lima Metropolitana o Callao",5,4,4,5,5,"E","Con credito (ayuda financiera de UTEC)",8,2,"Casa propia","san borja","comas"
"5",19,"Ing. Industrial",4,"Provincia",4,5,5,5,5,"C","Becado (beca 18, beca utec, etc.)",4,2,"Casa propia","san borja","ate"
"6",19,"Ing. Industrial",4,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",100,1,"Casa propia","jesús maría","breña"
"7",21,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",6,3,"Casa propia","barranco","el agustino"
"8",19,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"A","Regular (sin apoyo alguno)",0,0,"Casa propia","san borja","barranco"
"9",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",50,1,"Casa propia","pueblo libre","el agustino"
"10",20,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,4,4,4,5,"D","Regular (sin apoyo alguno)",10,4,"Casa propia","san isidro","santa anita"
"11",18,"Ing. Industrial",4,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)","la molina","chorrillos"
"12",20,"Ing. Industrial",6,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)","san isidro","barranco"
"13",19,"Ing. Industrial",2,"Lima Metropolitana o Callao",4,4,5,5,5,"E","Regular (sin apoyo alguno)",4,2,"Casa propia","jesús maría","san juan de lurigancho"
"14",18,"Ing. Ambiental",3,"Lima Metropolitana o Callao",5,4,5,5,4,"E","Con credito (ayuda financiera de UTEC)",30,3,"Casa propia","san borja","san juan de miraflores"
"15",21,"Ing. Electrónica",2,"Provincia",5,5,4,5,5,"C","Becado (beca 18, beca utec, etc.)",12,3,"Alquilado (compartido)","la molina","ate"
"16",21,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,3,"Casa propia","san isidro","el agustino"
"17",17,"Ing. Mecánica",3,"Lima Metropolitana o Callao",3,4,4,5,5,"D","Regular (sin apoyo alguno)",2.5,1,"Casa propia","barranco","los olivos"
"18",19,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,5,4,5,4,"A","Regular (sin apoyo alguno)",3,1,"Casa propia","san isidro","miraflores"
"19",18,"Bioingeniería",3,"Lima Metropolitana o Callao",2,3,2,5,4,"B","Regular (sin apoyo alguno)",0,2,"Casa propia","la molina","la molina"
"20",24,"Ing. Industrial",8,"Lima Metropolitana o Callao",5,4,4,5,4,"E","Regular (sin apoyo alguno)",10,3,"Casa propia","jesús maría","carabayllo"
"21",20,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,2,4,4,5,"E","Regular (sin apoyo alguno)",0,0,"Alquilado (solo)","jesús maría","barranco"
"22",19,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"A","Regular (sin apoyo alguno)",0,0,"Alquilado (solo)","san isidro","barranco"
"23",20,"Ing. Industrial",8,"Lima Metropolitana o Callao",4,4,3,5,4,"E","Regular (sin apoyo alguno)",0,0,"Casa propia","san isidro","santiago de surco"
"24",17,"Ing. Industrial",3,"Lima Metropolitana o Callao",3,5,3,5,5,"E","Con credito (ayuda financiera de UTEC)",2.5,1,"Casa propia","comas","comas"
