Marca temporal,¿Cuál es tu edad?,¿Cuál es tu peso? (En kilogramos),¿Cuál es tu estatura? (en metros),¿Que tipo de alimentos consumes principalmente?,"¿Con qué frecuencia comes estos tipos de alimentos? [Proteínas (carne, huevos, etc)]",¿Con qué frecuencia comes estos tipos de alimentos? [Vegetales y frutas],"¿Con qué frecuencia comes estos tipos de alimentos? [Grasas y aceites (mantequilla, aceites, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Lácteos (leche, queso, yogurt, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Cereales y Granos (arroz, avena, quinoa, etc.)]",¿Con qué frecuencia comes estos tipos de alimentos? [Azúcares y dulces],¿Realizas actividad física?,¿Qué tipo de actividad física realizas?,¿Con qué frecuencia realizas la/las actividades?,En general ¿cuánto dura tu actividad física?,¿En qué ciclo te encuentras ahora mismo?,¿En cuál de estas secciones te encuentras actualmente? (Puedes verlo en Sistema académico < Currícula < Mi avance académico. Luego vas a la sección Historial académico (ya fuera del menú del costado)). 
27/04/2023 14:40:59,18,76,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,2 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit, Artes Marciales, Running, Ciclismo",4/5 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
27/04/2023 14:41:23,18,75,1.85,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,4 veces por semana,3 veces por semana,Sí,"Básquet, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,1:30:00,Tercer Ciclo,3.Tercio superior
27/04/2023 14:42:50,18,51,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,4 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
27/04/2023 14:47:07,18,67.5,1.79,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,5 veces por semana,4 veces por semana,2 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Tercer Ciclo,2.Quinto superior
27/04/2023 14:51:39,18,76,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,2 veces por semana,6 veces por semana,5 veces por semana,2 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit, Artes Marciales, Running, Ciclismo",4/5 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
27/04/2023 15:59:31,18,74,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,6/7 veces por semana,2:30:00,Tercer Ciclo,4.Medio superior
27/04/2023 16:57:13,18,56,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 17:10:36,18,98,1.70,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Tercer Ciclo,4.Medio superior
27/04/2023 17:14:39,18,104,1.80,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 17:16:05,18,85,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 17:39:40,18,50,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,4 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,Sí,Bailo ,4/5 veces por semana,4:00:00,Tercer Ciclo,3.Tercio superior
27/04/2023 17:48:58,19,72,1.84,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,Sí,"Básquet, Natación, Running",2/3 veces por semana,2:00:00,Cuarto Ciclo,3.Tercio superior
27/04/2023 17:54:00,18,67,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,4 veces por semana,6 veces por semana,Sí,Running,2/3 veces por semana,1:00:00,Tercer Ciclo,4.Medio superior
27/04/2023 18:00:49,18,87.32,1.89,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,2:20:00,Tercer Ciclo,2.Quinto superior
27/04/2023 18:16:45,18,82,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,7 veces por semana,3 veces por semana,Sí,Gimnasia,2/3 veces por semana,1:00:00,Tercer Ciclo,1.Décimo superior
27/04/2023 19:04:49,19,62,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,3 veces por semana,6 veces por semana,7 veces por semana,3 veces por semana,Sí,aeróbicos,2/3 veces por semana,0:20:00,Segundo Ciclo,1.Décimo superior
27/04/2023 19:10:41,20,41,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,3 veces por semana,7 veces por semana,3 veces por semana,6 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
27/04/2023 19:10:42,20,56,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,7 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,4 veces por semana,Sí,Fútbol,1 vez por semana,1:00:00,Segundo Ciclo,2.Quinto superior
27/04/2023 19:18:40,18,53,1.59,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,1 vez por semana,No,,,,Segundo Ciclo,1.Décimo superior
27/04/2023 19:39:58,19,54,1.54,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 20:00:25,19,80,1.83,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Décimo Ciclo,1.Décimo superior
27/04/2023 20:01:24,18,48,1.54,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,7 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
27/04/2023 20:04:27,18,68,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,1 vez por semana,6 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
27/04/2023 20:06:18,19,48,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,2 veces por semana,3 veces por semana,3 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,4.Medio superior
