"Edad","Sexo","Carrera","Ciclo","Distrito","DistanciaKM","Movilidad","Numvehiculos","Distanciamin","Sentimientoseguridad","Seguro","Inseguro","VictimaRobo","NumRobo","MomentoRobo","HoraRobo","PrimerRobo","SegundoRobo","RecuperasteAlgo","DinRoboUno","TrasporteRobo","Factores","Universidad","Manera","Ideas"
18,"Masculino","Ing. Civil",3,"Comas",33.3,"Metropolitano, Bus, Taxi, Mototaxi",2,120,"Preocupado","En ningún momento del día","Todo el día","Sí",1,"Tarde",04:30:00,0,0,"No",0,"Metropolitano","Llevaba muchas cosas en mi mochila, La inseguridad de las calles",9,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos","aumento de policias"
17,"Otro","Bioingeniería",3,"Lima",12.4,"Metropolitano, Caminando",2,70,"Preocupado","Tarde","Noche","Sí",2,"Noche",07:30:00,70,100,"No",0,"Metropolitano","Salí muy tarde de la universidad, La inseguridad de las calles, La inseguridad del transporte",6,"Más lockers en la universidad",NA
18,"Femenino","Ing. Industrial",3,"Chorrillos",6,"Metropolitano",1,15,"Cauteloso","Mañana","Noche","Sí",1,"Noche",21:00:00,30,0,"No",0,"Metropolitano","Llevaba muchas cosas en mi mochila, Salí muy tarde de la universidad, La inseguridad de las calles",6,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
23,"Masculino","Ing. Civil",5,"Independencia",18,"Metropolitano",1,3,"Seguro","Tarde","Tarde","Sí",3,"Mañana",04:00:00,2,3,"Si",200,"Metropolitano","Salí muy tarde de la universidad",5,"Promoviendo horarios virtuales para cursos nocturnos","3"
20,"Masculino","Bioingeniería",8,"Comas",12.5,"Tren, Mototaxi, Caminando",2,150,"Vulnerable","Mañana","Mañana","Sí",4,"Tarde",12:00:00,27,NA,"No",NA,"Colectivo","Llevaba muchas cosas en mi mochila, Salí muy tarde de la universidad, La inseguridad de las calles",8,"Promoviendo horarios virtuales para cursos nocturnos","No"
18,"Femenino","Ing. Mecánica",3,"San Martin De Porres",18,"Metropolitano, Bus, Auto propio",2,60,"Preocupado","Mañana","Noche","Sí",1,"Noche",10:00:00,200,NA,"Si",50,"Metropolitano","Llevaba muchas cosas en mi mochila, Me distraje",5,"Más lockers en la universidad",NA
17,"Masculino","Ing. Civil",3,"Barranco",20,"Caminando",0,20,"Preocupado","Mañana","Noche","Sí",1,"Noche",19:00:00,600,NA,"No",0,"Caminando","Salí muy tarde de la universidad",6,"Más lockers en la universidad","Creo que creando más lokers"
21,"Masculino","Ingeniería Mecatrónica",6,"San Miguel",13,"Bus, Taxi",2,90,"Cauteloso","Mañana","Noche","Sí",1,"Noche",09:30:00,5000,0,"No",NA,"Bus","La inseguridad de las calles",10,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Ing. Civil",6,"San Juan Del Lurigancho",20,"Tren, Bus, Caminando",2,90,"Seguro","Tarde","Noche","Sí",1,"Mañana",10:34:00,1500,0,"No",0,"Bus","Me distraje",5,"Promoviendo horarios virtuales para cursos nocturnos","Ño"
17,"Masculino","Ciencias de la computación",3,"San Juan De Miraflores",9.9,"Bus, Auto propio",1,70,"Preocupado","Noche","Tarde","Sí",1,"Tarde",13:30:00,10,0,"No",0,"Caminando","Llevaba muchas cosas en mi mochila, Me distraje",1,"Más lockers en la universidad","Ninguno"
