Marca temporal,Edad,Género,Carrera,Distrito en el que vives,Ciclo de Estudio,¿Qué tan buena consideras que es tu educación financiera?,¿Has llevado un curso de finanzas en UTEC?,"En caso de marcar ""Sí"". ¿Crees que esto te ayudó a moderar tus gastos?",¿Cuánto dinero sueles ahorrar al mes?,¿Cuántas veces al mes comes fuera de casa?,¿Planificas y controlas tus finanzas personales?,¿Has invertido tu dinero en algún momento?,¿Cuentas con una tarjeta de crédito?,¿Has solicitado préstamos?,¿Con qué frecuencia estableces un presupuesto mensual?,¿Sueles contabilizar tus gastos en transporte/comida?,¿Cuánto meses llevas ahorrando?,¿Cuánto dinero tienes ahorrado a día de hoy?
26/04/2023 8:55:38,19,Masculino,Ciencias de la Computación,Santiago de Surco,5,1- Muy mala,No,,Menos de S/50,3-5 veces al mes.,No,Sí,Sí,No,Nunca,Sí,2,12
26/04/2023 11:14:51,22,Femenino,Ingeniería Industrial,Barranco,2,3,No,,S/50 - S/100,5-10 veces al mes.,Sí,Sí,No,Sí,A veces,Sí,2,80
26/04/2023 11:15:28,17,Femenino,Ingeniería Industrial,Barranco,2,2,No,4,S/100 - S/200,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,10,0.10
27/04/2023 9:30:33,21,Femenino,Ingeniería Industrial,Puente Piedra,4,3,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,10,400
27/04/2023 9:31:18,18,Femenino,Ciencias de Datos,Santiago de Surco,2,3,No,,S/100 - S/200,5-10 veces al mes.,Sí,No,No,No,Nunca,Sí,8,300
27/04/2023 10:10:31,17,Masculino,Bioingeniería,Lince,3,4,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,No,Sí,No,A veces,Sí,6,90
27/04/2023 10:48:01,18,Femenino,Ciencias de Datos,Miraflores,2,3,No,,Menos de S/50,Menos de 3 veces al mes.,No,No,No,No,Nunca,No,24,1500
28/04/2023 11:01:08,19,Masculino,Ingeniería Industrial,San Borja,2,3,No,,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,4,0.46
28/04/2023 11:01:31,17,Masculino,Ingeniería Ambiental,Santiago de Surco,1,3,No,,Más de S/200,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,2,800
28/04/2023 11:02:57,19,Femenino,Ingeniería Industrial,San Miguel,5,3,Sí,5 - Completamente de acuerdo,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,6,1500
28/04/2023 11:05:15,20,Masculino,Ciencias de la Computación,Jesús María,5,4,Sí,3,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,No,No,A veces,Sí,4,400
28/04/2023 11:05:40,18,Masculino,Ingeniería Industrial,Miraflores,1,2,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,2,200
28/04/2023 11:06:00,18,Femenino,Ciencias de la Computación,Lince,4,3,No,,S/100 - S/200,3-5 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,4,400
28/04/2023 11:08:05,19,Femenino,Ciencias de la Computación,San Miguel,5,3,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,No,No,No,Nunca,Sí,12,50
28/04/2023 11:10:35,19,Femenino,Ciencias de la Computación,Comas,4,3,No,,Menos de S/50,5-10 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,4,50
28/04/2023 11:12:09,19,Femenino,Ingeniería Química,Puente Piedra,5,3,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,Sí,Sí,Sí,Siempre,Sí,4,140
28/04/2023 11:20:47,19,Femenino,Ingeniería Mecánica,Los Olivos,4,3,No,,No ahorro,3-5 veces al mes.,No,Sí,Sí,No,Nunca,Sí,0,1
28/04/2023 14:16:40,20,Masculino,Ingeniería Mecatrónica,Santiago de Surco,7,5- Muy buena,Sí,3,Menos de S/50,Más de 10 veces al mes.,Sí,Sí,Sí,Sí,Siempre,Sí,53,1022.5
28/04/2023 14:30:16,22,Masculino,Ingeniería Civil,Ate,4,1- Muy mala,No,3,No ahorro,Menos de 3 veces al mes.,Sí,Sí,Sí,No,Nunca,Sí,1,100
28/04/2023 14:44:40,19,Masculino,Ciencias de la Computación,Villa el Salvador,5,2,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,1,80
28/04/2023 14:49:40,19,Masculino,Ingeniería Ambiental,Comas,3,3,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,No,No,No,Siempre,Sí,5,200
28/04/2023 14:55:07,21,Masculino,Ciencias de la Computación,El Agustino,5,4,No,,Menos de S/50,Más de 10 veces al mes.,No,Sí,No,No,Nunca,Sí,4,10
28/04/2023 15:40:37,20,Femenino,Ingeniería Civil,Chorrillos,2,2,No,,Más de S/200,Más de 10 veces al mes.,No,Sí,Sí,Sí,A veces,No,12,500
28/04/2023 15:44:47,22,Masculino,Ingeniería Civil,La Molina,4,5- Muy buena,No,4,S/50 - S/100,Menos de 3 veces al mes.,Sí,Sí,Sí,Sí,Nunca,Sí,2,1800
29/04/2023 8:49:33,20,Masculino,Ingeniería de la Energía,San Miguel,7,4,Sí,3,S/50 - S/100,Más de 10 veces al mes.,No,No,No,Sí,A veces,Sí,2,5
29/04/2023 11:54:47,24,Masculino,Ingeniería Mecatrónica,Carabayllo,5,4,Sí,3,No ahorro,Más de 10 veces al mes.,Sí,Sí,No,No,A veces,No,0,100
29/04/2023 13:15:33,20,Femenino,Ingeniería Civil,Chorrillos,6,3,Sí,3,Menos de S/50,3-5 veces al mes.,Sí,Sí,Sí,No,Nunca,Sí,12,400
29/04/2023 13:27:57,21,Masculino,Ingeniería Civil,Independencia,5,5- Muy buena,Sí,2,Más de S/200,3-5 veces al mes.,Sí,No,No,No,A veces,Sí,24,9000
29/04/2023 13:29:16,21,Masculino,Ingeniería Civil,Jesús María,7,4,Sí,4,S/50 - S/100,5-10 veces al mes.,Sí,No,No,Sí,A veces,Sí,5,3000
29/04/2023 14:30:48,914418201,Masculino,Ingeniería Civil,Los Olivos,3,3,No,3,S/100 - S/200,5-10 veces al mes.,No,Sí,No,No,A veces,Sí,12,500
29/04/2023 14:59:25,19,Femenino,Ingeniería Ambiental,Barranco,4,3,No,,Menos de S/50,5-10 veces al mes.,No,No,No,No,Nunca,No,1,50
29/04/2023 15:48:25,19,Femenino,Ingeniería Industrial,Barranco,3,5- Muy buena,No,,Más de S/200,Nunca.,No,Sí,Sí,No,Nunca,No,29,1000
29/04/2023 17:00:45,18,Masculino,Ingeniería Civil,Barranco,4,4,No,,S/100 - S/200,Más de 10 veces al mes.,Sí,No,No,No,A veces,Sí,12,240
29/04/2023 17:25:37,18,Masculino,Ingeniería Química,San Juan de Lurigancho,3,3,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,Sí,Sí,No,A veces,Sí,4,150
29/04/2023 17:45:59,18,Femenino,Ingeniería Industrial,Villa María del Triunfo,2,3,No,,No ahorro,Menos de 3 veces al mes.,No,No,Sí,No,A veces,No,0,10
29/04/2023 22:03:54,21,Masculino,Administración y Negocios Digitales,Chorrillos,4,3,Sí,4,Menos de S/50,Más de 10 veces al mes.,No,No,No,No,A veces,Sí,3,100
30/04/2023 0:32:54,20,Femenino,Ingeniería Ambiental,San Juan de Lurigancho,4,3,No,,Más de S/200,5-10 veces al mes.,Sí,No,Sí,No,A veces,Sí,24,5000
30/04/2023 1:31:31,21,Masculino,Ingeniería Mecánica,Lince,7,4,Sí,1 - Completamente en desacuerdo,No ahorro,Más de 10 veces al mes.,Sí,Sí,No,No,Siempre,Sí,0,900
30/04/2023 7:37:40,19,Masculino,Ciencias de la Computación,San Isidro,5,3,Sí,3,S/50 - S/100,Más de 10 veces al mes.,No,No,No,No,A veces,No,4,326
30/04/2023 9:05:33,19,Masculino,Ciencias de la Computación,Santiago de Surco,5,3,Sí,2,No ahorro,Más de 10 veces al mes.,Sí,No,No,No,Nunca,Sí,0,500
30/04/2023 12:56:38,19,Masculino,Ingeniería Civil,Independencia,4,4,No,,Más de S/200,Menos de 3 veces al mes.,Sí,Sí,Sí,No,Siempre,Sí,9,6000
1/05/2023 13:31:09,19,Femenino,Ingeniería Mecatrónica,Barranco,5,3,Sí,4,S/100 - S/200,3-5 veces al mes.,Sí,No,Sí,No,Siempre,Sí,3,150
1/05/2023 13:38:00,20,Femenino,Ingeniería Química,Miraflores,3,4,Sí,4,Menos de S/50,Menos de 3 veces al mes.,Sí,No,Sí,No,A veces,Sí,5,56
2/05/2023 9:05:45,17,Masculino,Ingeniería Química,San Martin de Porres,1,4,No,,S/100 - S/200,3-5 veces al mes.,Sí,No,Sí,No,Nunca,Sí,8,2880
2/05/2023 9:08:00,18,Masculino,Ingeniería Electrónica,Ate,1,4,No,,Menos de S/50,3-5 veces al mes.,No,No,No,No,A veces,Sí,5,200
2/05/2023 9:12:10,18,Masculino,Ingeniería Industrial,Chorrillos,2,5- Muy buena,No,5 - Completamente de acuerdo,Más de S/200,Menos de 3 veces al mes.,Sí,No,Sí,Sí,Siempre,Sí,3,700
2/05/2023 9:13:26,17,Masculino,Ciencias de la Computación,Lince,1,4,No,,S/100 - S/200,3-5 veces al mes.,Sí,Sí,No,No,Nunca,Sí,48,6500
2/05/2023 9:13:29,18,Masculino,Ingeniería Mecatrónica,Villa el Salvador,2,3,No,,Menos de S/50,Menos de 3 veces al mes.,Sí,No,Sí,No,Nunca,Sí,6,600
2/05/2023 9:14:04,20,Masculino,Ingeniería Industrial,San Juan de Lurigancho,4,2,No,,No ahorro,Nunca.,No,No,No,No,A veces,Sí,1,20
2/05/2023 9:21:07,17,Masculino,Ingeniería Mecánica,Barranco,1,2,No,,S/50 - S/100,Más de 10 veces al mes.,Sí,Sí,No,No,Siempre,Sí,1,30
2/05/2023 9:25:19,17,Femenino,Bioingeniería,Chorrillos,1,3,No,,Menos de S/50,3-5 veces al mes.,Sí,Sí,No,No,Siempre,Sí,1,25
2/05/2023 10:09:05,20,Masculino,Ingeniería Industrial,Santa Anita,2,3,No,,Más de S/200,3-5 veces al mes.,Sí,No,Sí,No,Siempre,Sí,4,1000
2/05/2023 10:12:17,18,Femenino,Ingeniería Industrial,Chaclacayo,2,3,No,,S/100 - S/200,Nunca.,No,No,Sí,No,Nunca,Sí,8,530
2/05/2023 12:34:26,18,Masculino,Ingeniería Química,Barranco,2,3,No,,S/100 - S/200,Más de 10 veces al mes.,Sí,No,No,No,Siempre,Sí,2,300
2/05/2023 12:40:05,17,Masculino,Ingeniería Mecatrónica,Surquillo,1,3,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,Sí,No,No,A veces,Sí,500,150
2/05/2023 12:47:19,17,Masculino,Bioingeniería,Surquillo,1,1- Muy mala,No,,Menos de S/50,Menos de 3 veces al mes.,No,Sí,No,No,Nunca,Sí,0,5
2/05/2023 12:53:59,21,Masculino,Ingeniería Industrial,San Juan de Lurigancho,1,3,No,3,S/50 - S/100,Menos de 3 veces al mes.,No,No,No,No,Nunca,Sí,3,100
2/05/2023 14:06:07,16,Masculino,Ingeniería Química,Barranco,1,4,No,,S/50 - S/100,Menos de 3 veces al mes.,Sí,No,No,No,Siempre,Sí,6,700
2/05/2023 17:06:12,20,Masculino,Ingeniería Electrónica,Jesús María,2,3,No,,S/50 - S/100,Menos de 3 veces al mes.,No,No,No,No,Nunca,No,10,1000
2/05/2023 17:59:23,17,Masculino,Ingeniería Mecatrónica,Puente Piedra,1,3,No,,S/50 - S/100,5-10 veces al mes.,Sí,Sí,No,No,A veces,Sí,48,450
