AÑO DE CAMPEONATO,NOMBRE DE EQUIPO,EDAD PROMEDIO DE JUGADORES,PAIS AL QUE PERTENECEN EL CLUB,ETAPA EN EL QUE FUE ELIMINADO,TOTAL DE GOLES POR TORNEO,CANTIDAD DE TARJETAS ROJAS,CANTIDAD DE TARJETAS AMARILLAS,POSESION PROMEDIO DE BALON % POR CAMPEONATO,PROMEDIO DE FALTAS POR CAMPEONATO,CANTIDAD DE PARTIDOS JUGADOS,Prescición de goles a de ocaciones claras,ocaciones claras falladas,ocaciones claras,rendimiento de ocaciones claras
2018,Universidad Técnica de Cajamarca,28.4,Perú,Previa,2,1,5,60,22,2,bueno,1,2,50
2018,Barcelona SC,27,Ecuador,Previa,1,1,6,61.5,17.5,2,bueno,0,1,100
2018,Guabirá,28.7,Bolivia,Previa,4,0,7,41.5,15,2,bueno,1,3,66.66666667
2018,Danubio,26.1,Uruguay,Previa,3,0,6,54,12,2,bueno,1,2,50
2018,Sporting Cristal,28.6,Perú,Previa,4,0,7,51.5,22.5,2,bueno,0,3,100
2018,Rosario Central,27.7,Argentina,Previa,0,2,8,56,24,2,malo,1,1,0
2018,Zamora,26.2,Venezuela,Previa,0,0,3,45,15,2,malo,0,0,0
2018,América de Cali,30.3,Colombia,Previa,1,0,5,50,12.5,2,bueno,1,2,50
2018,CD San José,31.4,Bolivia,Previa,3,1,4,54.5,9,2,bueno,1,2,50
2018,Jaguares de Córdoba,29.8,Argentina,Previa,2,1,6,58,19,2,bueno,0,1,100
2018,Blooming,28.2,Bolivia,Previa,1,0,6,44,18.5,2,medio,2,3,33.33333333
2018,Sport Rosario,25.9,Perú,Previa,0,1,7,60,18,2,malo,1,1,0
2018,Mineros de Guayana,29.8,Venezuela,Previa,0,0,3,47,12.5,2,bueno,1,2,50
2018,Audax Italiano,27.9,Chile,Previa,2,0,5,41.5,20,2,bueno,1,2,50
2018,Everton de Viña del Mar,26.3,Chile,Previa,2,0,3,69,8.5,2,medio,4,6,33.33333333
2018,Unión Española,26.8,Chile,Previa,0,2,3,51,14.5,2,malo,1,1,0
2018,Newell's Old Boys,28.4,Argentina,Previa,2,0,5,46,20.5,2,malo,4,5,20
2018,Sportivo Luqueño,29.5,Paraguay,Previa,2,0,6,38.5,19.5,2,medio,2,3,33.33333333
2018,Nacional Potosí,29,Bolivia,Previa,2,1,7,45.5,15.5,2,bueno,2,4,50
2018,Atlético Mineiro,25.1,Brasil,Previa,0,0,4,62.5,15.5,2,malo,3,3,0
2018,Estudiantes de Mérida,25.9,Venezuela,Previa,1,1,6,55.5,13,2,malo,6,7,14.28571429
2018,Independiente Medellín,26.5,Colombia,Previa,3,0,5,60.5,14.4,2,malo,3,4,25
2018,Rampla Juniors,27.3,Uruguay,Previa,4,2,11,38.5,19.3,4,medio,5,8,37.5
2018,General Díaz,27.9,Paraguay,Previa,3,1,13,40.8,18.3,4,bueno,1,3,66.66666667
2018,Vasco,28.2,Brasil,Previa,2,0,5,57.5,10.5,2,medio,2,3,33.33333333
2018,Bolívar,29.3,Bolivia,Previa,1,1,6,45,11.5,2,malo,1,1,0
2018,Lanús,25.3,Argentina,Previa,6,0,14,41.3,12.5,4,bueno,3,7,57.14285714
2018,São Paulo,26.7,Brasil,Previa,2,4,6,55.3,15,4,malo,6,7,14.28571429
