Marca temporal,¿Que edad tienes?(responder solo con el número),Género,¿En qué distrito de Lima vives? ,"¿De qué Universidad eres? Mencionar sede
Ejemplo:  UTEC - Barranco",DISTRITO - U,Distancia Vivienda - Universidad (Km),¿Cómo calificas la calidad de transporte en lima?,¿Cuál es tu principal medio de transporte para llegar a la universidad? ,¿Cuál es tiempo máximo que te demoras en llegar a tu universidad? (minutos),¿Qué tan estresante consideras el impacto del transporte en tus calificaciones?,¿Cuántos días a la semana asistes a la universidad? (Responder solo con un número),"¿Cuál es tu promedio ponderado? (Utilice decimales si es necesario)
Ejemplo: 15.6","¿Cuántos días a la semana te encuentras en situaciones de tráfico congestionado en Lima, por el cual llegas tarde a la universidad y consideras que te perjudica académicamente ?",Porcentaje,"¿Qué tan de acuerdo estás en fomentar las alternativas de transporte (como bicicleta, scooter, caminar, etc.) para evitar la congestión vehicular en Lima?"
24/04/2023 20:57:33,18,Femenino,Carabayllo,Utec ,Barranco,                                46.5,Mala,Transporte público,120,Muy estresante,5,14.6,4,80,Muy de acuerdo
24/04/2023 21:00:38,19,Femenino,Surco ,Utec ,BARRANCO,5.1,Mala,Transporte público,30,Muy estresante,5,15.4,3,60,Muy de acuerdo
24/04/2023 21:02:14,18,Femenino,Chorrillos,Utec ,BARRANCO,6.2,Mala,Transporte público,30,Muy estresante,5,16.4,3,60,Muy de acuerdo
24/04/2023 21:04:12,18,Femenino,Salamanca Ate,UPC ,Monterrico,7.1,Mala,Auto particular,30,Poco estresante,3,17.5,1,33.3,A medias
24/04/2023 21:08:40,17,Masculino,San Martín de Porres,UCV,Los Olivos,5.8,Mala,Auto particular,30,Muy estresante,4,14,3,75,Muy de acuerdo
24/04/2023 21:15:15,18,Masculino,Comas,Científica del sur ,CHorrillos,6.9,Regular,Transporte público,30,Poco estresante,4,14,1,25,Muy de acuerdo
24/04/2023 21:20:26,17,Femenino,Ate,Universidad Peruana de Ciencias Aplicadas,San Isidro,23.5,Mala,Transporte público,120,Muy estresante,4,17,3,75,Muy de acuerdo
24/04/2023 21:21:29,19,Femenino,Comas ,UPC,Chorrilloss,                               39.7,Muy mala,Transporte público,120,Muy estresante,6,13.4,5,83.3,Muy de acuerdo
24/04/2023 21:31:57,19,Femenino,Lurin,UTEC ,Barranco,26.7,Mala,Transporte público,90,Muy estresante,5,15.4,1,20,Muy de acuerdo
24/04/2023 21:40:49,19,Masculino,Chorrillos,UTEC ,Barranco,6.2,Mala,Transporte público,30,Muy estresante,6,15.3,5,83.3,Muy de acuerdo
