Edad,Ciclo,Carrera,Numero_billeteras,Billetera_principal,Dias_billetera,Compras_diaria_billetera,Gasto_diario_billetera,Disponible_semanal_billetera,Tiempo_billetera,Percepcion_seguridad_billetera,Satisfaccion_billetera,Razon_billetera,Dificultad_billetera,Dias_efectivo,Compras_diaria_efectivo,Gasto_diario_efectivo,Disponible_semanal_efectivo,Tiempo_efectivo,Satisfaccion_efectivo,Razon_efectivo
19,3,Ingeniería ambiental,2,Yape,2,3,10,50,1,Seguro,Satisfecho,Registrar gastos,Problemas con la conexión a internet,3,1,15,50,1,Neutro,No aceptan pagos con billeteras digitales
17,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,6,4,18,80,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,No uso,No uso billeteras digitales,3,2,12,100,5,Neutro,Mayor costumbre
19,4,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Inseguro,No uso,No uso,No uso billeteras digitales,1,1,5,100,5,Neutro,Mayor costumbre
20,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,7,4,15,100,5,Neutro,Prefiero no sacar mi celular
20,5,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,5,4,10,50,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,7,4,20,100,5,Satisfecho,Mayor costumbre
17,3,Ingeniería Química,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,7,3,4,30,2,Satisfecho,El pago a realizar es pequeño
18,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,No uso,No uso billeteras digitales,2,1,10,30,2,Neutro,Mayor costumbre
21,4,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,7,5,15,110,2,Satisfecho,Mayor costumbre
17,3,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,No uso,No uso billeteras digitales,4,2,8,50,1,Satisfecho,Mayor costumbre
17,3,Ciencias de la Computación,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,No uso,No uso billeteras digitales,7,3,7,50,1,Satisfecho,El pago a realizar es pequeño
19,4,Ingeniería Industrial,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,7,5,20,60,3,Satisfecho,Mayor costumbre
18,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,5,6,30,100,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,No uso,No uso billeteras digitales,5,3,10,100,2,Satisfecho,Mayor costumbre
