Ciclo,Edad,Número_de_tarjetas,Número_de_cuentas,Veces_en_la_semana_que_va_al_cajero,Tiempo_de_demora,Dinero_retirado,Dinero_retirado_semanalmente,Bancos,Titular,Frecuencia_de_retiro_cerca_de_UTEC,Frecuencia_de_depósito_cerca_de_UTEC,Frecuencia_de_retiro_en_otro_lugar,Frecuencia_de_depósito_en_otro_lugar,Horario_para_ir_al_cajero_más_cercano,Razón_del_horario,Seguridad,Deseo_de_la_opción_de_retiro_o_deposito,Deseo_de_un_cajero_automático
2,18,1,2,2,15,40,80,Banco de la nación,Yo,A veces,Rara vez,Muy seguido,Muy seguido,Tarde,Mayor privacidad,4,5,5
5,19,2,2,1,25,40,40,BBVA,Yo,Casi Nunca,Nunca,Casi Nunca,Casi Nunca,Tarde,Comodidad,5,5,4
7,19,1,1,1,30,30,0,BCP,Mi padre/madre,Nunca,Nunca,A veces,A veces,Mañana,Comodidad,5,5,4
9,21,2,1,3,20,20,0,"BCP, BBVA",Yo,A veces,Muy seguido,Muy seguido,Muy seguido,Tarde,Cubrir gastos,5,5,5
2,20,1,1,1,15,200,0,Banco de la nación,Yo,Casi Nunca,Nunca,Siempre,Casi siempre,Tarde,Tiempo libre,5,5,5
2,18,3,2,2,25,50,110,"BCP, Scotiabank",Yo,A veces,Muy seguido,A veces,Casi siempre,Tarde,Comodidad,5,5,4
3,21,3,2,3,30,20,100,"BCP, Interbank",Yo,Casi siempre,Rara vez,Muy seguido,A veces,Tarde,Comodidad,5,5,5
4,20,1,1,6,30,20,120,Banco de la nación,Yo,Muy seguido,Muy seguido,Siempre,Siempre,Tarde,Cubrir gastos,5,5,5
3,22,1,1,1,45,20,40,BBVA,Yo,Casi Nunca,Nunca,A veces,Nunca,Tarde,Cubrir gastos,5,5,5
4,21,2,2,1,200,100,29,BCP,Yo,Casi Nunca,A veces,Muy seguido,Muy seguido,Tarde,Cubrir gastos,5,5,5
3,18,1,1,1,30,50,50,BCP,Yo,Nunca,Nunca,A veces,Rara vez,Mañana,Seguridad,5,5,4
4,19,1,1,1,15,20,50,Banco de la nación,Mi padre/madre,Rara vez,Casi Nunca,Rara vez,A veces,Mañana,Seguridad,5,5,5
5,21,1,2,1,20,20,50,BanBif,Yo,Rara vez,Casi Nunca,Rara vez,Casi Nunca,Mañana,Seguridad,5,5,4
4,20,2,2,1,25,50,25,"Interbank, BBVA",Yo,Casi Nunca,Casi Nunca,Casi siempre,A veces,Mañana,Mayor privacidad,3,4,4
5,18,3,2,3,30,100,100,"BCP, BBVA, Banco de la nación",Mi padre/madre,Muy seguido,Muy seguido,A veces,A veces,Tarde,Tiempo libre,5,5,4
2,20,2,2,2,30,100,30,"BCP, Banco de la nación",Yo,Rara vez,Rara vez,Rara vez,Rara vez,Tarde,Mayor privacidad,5,5,5
4,19,3,3,2,15,50,120,"BCP, Interbank, Banco de la nación",Yo,A veces,Rara vez,A veces,Rara vez,Tarde,Comodidad,3,5,4
3,17,1,1,1,4,5,50,BCP,Mi padre/madre,Nunca,Nunca,Nunca,Nunca,Tarde,Comodidad,3,4,3
5,23,3,2,4,15,50,50,"BCP, BBVA, Banco de la nación",Yo,Rara vez,Rara vez,Siempre,Siempre,Tarde,Comodidad,5,5,5
7,20,2,1,1,20,40,40,"BCP, Banco de la nación",Yo,Rara vez,Rara vez,Casi siempre,Casi siempre,Tarde,Comodidad,4,4,3
3,19,3,2,1,10,25,25,BCP,Yo,Rara vez,Casi Nunca,A veces,A veces,Mañana,Seguridad,4,5,5
1,21,2,1,1,20,150,100,"BCP, Banco de la nación",Yo,Siempre,Siempre,A veces,A veces,Tarde,Mayor privacidad,5,5,5
3,18,1,2,1,15,20,20,"BCP, Scotiabank",Yo,Casi Nunca,Casi Nunca,A veces,Rara vez,Mañana,Comodidad,3,3,1
3,18,1,1,1,0,0,0,BCP,Yo,Casi Nunca,Casi Nunca,Casi Nunca,Casi Nunca,Tarde,Comodidad,5,5,3
10,22,1,1,1,120,50,50,BCP,Yo,Rara vez,Rara vez,Rara vez,Rara vez,Tarde,Seguridad,5,5,5
3,20,2,2,1,20,10,100,BCP,Yo,Nunca,Nunca,A veces,A veces,Tarde,Cubrir gastos,5,3,1
4,20,2,1,1,15,100,100,"BCP, Banco de la nación",Yo,A veces,A veces,Rara vez,Rara vez,Mañana,Seguridad,5,5,5
3,17,1,1,1,30,15,60,Interbank,Mi padre/madre,Rara vez,A veces,Rara vez,A veces,Tarde,Comodidad,5,5,5
7,19,1,1,2,5,50,50,BCP,Yo,Casi Nunca,Nunca,Rara vez,Rara vez,Tarde,Comodidad,4,3,4
1,17,1,1,3,10,100,100,BBVA,Mi padre/madre,Muy seguido,Rara vez,Casi siempre,Rara vez,Noche,Comodidad,5,4,3
8,22,2,1,3,20,50,200,BCP,Yo,A veces,Casi Nunca,Rara vez,Casi Nunca,Tarde,Seguridad,5,5,5
1,18,2,1,2,20,30,100,BCP,Yo,Rara vez,Casi Nunca,A veces,Rara vez,Tarde,Mayor privacidad,4,4,4
2,18,1,1,1,15,400,100,"Interbank, Banco de la nación",Mi padre/madre,Casi Nunca,Nunca,Rara vez,Casi Nunca,Tarde,Cubrir gastos,4,5,5
4,19,2,1,3,20,50,200,"BCP, BBVA, Banco de la nación",Yo,Siempre,Rara vez,A veces,A veces,Tarde,Comodidad,5,5,5
1,21,1,1,1,25,25,10,BCP,Yo,Casi Nunca,Casi Nunca,A veces,Rara vez,Tarde,Seguridad,5,5,5
3,18,1,1,5,25,15,80,BCP,Yo,Siempre,Casi Nunca,Muy seguido,Rara vez,Mañana,Seguridad,5,5,5
3,19,1,1,3,15,30,100,BCP,Yo,A veces,Casi Nunca,Rara vez,Casi Nunca,Tarde,Cubrir gastos,5,5,5
5,19,4,2,2,40,50,70,"BCP, Scotiabank,No válido",Yo,A veces,A veces,A veces,A veces,Noche,Comodidad,5,5,5
4,18,2,1,1,15,50,50,"BCP, BBVA",Yo,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Tarde,Seguridad,5,5,4
