Edad,Sexo,Ciclo,Promedio_ponderado,Distrito,Transporte,Tiempo_transporte,Horas_dormidas,Min_pasaje,Max_pasaje,Hora_salida_hogar,Hora_salida_de_UTEC,Faltas,Max_pasaje_no_planeado,Min_pasaje_no_planeado,Max_pasaje_bus,Min_pasaje_bus,Promedio_pasaje,Promedio_pasaje_no_planeado,Promedio_pasaje_bus
18,Mujer,2,18.06,San Juan de Miraflores,Bus,150,5,2.5,4,8,19,0,13,9,2,1.5,3.25,11,1.75
18,Mujer,2,15,Ate,Metropolitano,120,2,8,14,5,14,2,30,14,7,5,11,22,6
19,Mujer,2,15,San Juan de Miraflores,Bus,50,6,5,5,7,19,0,6,6,3,3,5,6,3
19,Hombre,2,13.5,Chorrillos,Bus,15,6,1,2,9,8,3,12,10,1,1,1.5,11,1
18,Hombre,3,14.5,Santiago de Surco,Bus,45,6,5,8,12,19,2,18,10,2,1,6.5,14,1.5
17,Mujer,2,13,Santa Anita,Metropolitano,NA,5,6,15,8,18,2,35,19,5,3,10.5,27,4
20,Mujer,2,15.89,Comas,Metropolitano,120,6,4,5,7,17,5,7,3.2,3.5,1.5,4.5,5.1,2.5
18,Mujer,2,14.5,Barranco,Caminando,10,6,0,0,8,8,0,0,0,3,2,0,0,2.5
19,Mujer,4,16.08,Villa el Salvador,Metropolitano,40,5,3,3,12,18,6,50,8,4.8,1.9,3,29,3.35
20,Mujer,2,15.68,San Luis,Metropolitano,60,7,1.5,2.15,6,13,4,18,16,3,1.25,1.82,17,2.12
18,Hombre,2,16.25,Cercado de Lima,Metropolitano,40,6,2.5,5,6,8,5,100,20,1,0.5,3.75,60,0.75
19,Mujer,4,13.56,Barranco,Bus,15,7,1,5,10,20,3,30,10,5,0.5,3,20,2.75
20,Mujer,3,11.42,Santiago de Surco,Bus,120,7,4.5,5,11,10,0,5,3,3,1.3,4.75,4,2.15
18,Mujer,2,16,San Martin de Porres,Metropolitano,80,4,7,10,6,10,10 a más,50,20,1,1,8.5,35,1
18,Hombre,3,18.5,Comas,Metropolitano,90,6,1.5,4.5,6,17,8,5.5,3.5,2,2,3,4.5,2
22,Mujer,6,15.55,Villa Maria del Triunfo,Bus,120,5,2,4,6,19,4,40,15,3,1.5,3,27.5,2.25
20,Mujer,4,12.9,El agustino,Bus,40,6,3,20,7,18,0,20,39,1.5,1,11.5,29.5,1.25
18,Mujer,3,14.32,Cercado de Lima,Metropolitano,50,4,8,42,5,10,4,30,24,3,2.5,25,27,2.75
19,Mujer,2,14.1,Santiago de Surco,Bus,30,8,2,2,8,9,2,10,8,1.25,0,2,9,0.62
20,Hombre,4,16.43,San Juan de Lurigancho,Tren eléctrico,100,6,6,8,8,18,3,12,6,4,2,7,9,3
18,Mujer,2,18.150000000000006,Chaclacayo,Colectivo,125,6,5.25,21,5,13,4,47,22,2.5,1.8,13.12,34.5,2.15
18,Mujer,2,15,Puente piedra,Metropolitano,180,4,10,12,16,19,4,17,12,8,5,11,14.5,6.5
21,Mujer,4,14.94,El agustino,Tren eléctrico,5,5,5.5,10,8,18,6,10,8,3,2,7.75,9,2.5
18,Mujer,2,14,Chorrillos,Bus,40,5,1,3,9,17,5,20,10,3,2,2,15,2.5
20,Mujer,2,14.7,San isidro,Colectivo,10,6,3,6,6,22,3,6,3,2,1,4.5,4.5,1.5
17,Hombre,2,15.8,Barranco,Caminando,6,8,0,0,8,13,0,5,1,2.5,1,0,3,1.75
20,Hombre,2,15.12,Chorrillos,Metropolitano,30,7,2,2,11,18,2,30,10,2,2,2,20,2
17,Hombre,2,13,Santa Anita,Colectivo,NA,4,3,4.5,6,13,0,3,3,3.5,3,3.75,3,3.25
17,Hombre,2,16,Miraflores,Caminando,23,8,0,3,6,13,4,25,20,5,2,1.5,22.5,3.5
20,Mujer,2,14.5,Puente piedra,Metropolitano,160,4,11,10,14,19,10 a más,5,4,4,2,10.5,4.5,3
18,Hombre,2,15.04,Santa Rosa,Metropolitano,150,6,3.5,6.5,6,16,5,20,10,4,2,5,15,3
26,Hombre,2,16,San Miguel,Metropolitano,60,5,1,12,5,9,1,100,50,2,1,6.5,75,1.5
20,Mujer,3,16.439999999999994,San isidro,Bus,15,6,0,5,7,13,0,14,10,2,1,2.5,12,1.5
17,Hombre,2,17.56,San borja,Otros,20,7,10,12,6,14,0,17,12,4,1,11,14.5,2.5
