Genero,Edad,Carrera,Ciclo,Promedio1,Promedio2,Peso1,Peso2,Talla1,Talla2,Habitos1,Habitos2,Comida1,Comida2,Frutas1,Frutas2,Carbo1,Carbo2,BA,Ener,Comrapi1,Comrapi2,Actifis1,Actifis2,Sueño1,Sueño2,IMC1,IMC2,Habitosalimenticios,Habitosalimenticios2
Masculino,22,Ciencia de la computación,5,15.5,14.5,55,54,1.55,1.55,Bueno,Bueno,4 veces al día,4 veces al día,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1,1,1 - 2,1 - 2,1.5,5,6.5,6.5,22.89,22.48,Bueno,Bueno
Femenino,18,Ingeniería Química,4,12.97,13.52,49,50,1.5,1.5,Regular,Regular,4 veces al día,2 veces al día,2 veces al día,1 vez al día,3 veces al día,2 veces al día,1,1,1 - 2,1 - 2,2,1,6,5,21.78,22.22,Regular,Bueno
Femenino,20,Ingeniería Química,4,12,11,55,60,1.5,1.53,Regular,Bueno,2 veces al día,1 vez al día,2 veces al día,3 veces al día,4 veces al día,2 veces al día,1,1,1 - 2,3 - 4,1,2,4,5,24.44,25.63,Malo,Malo
Masculino,18,Bioingeniería,3,16.95,16.2,58,63,1.72,1.72,Bueno,Regular,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2,3,1 - 2,1 - 2,1,2,8,8,19.61,21.3,Bueno,Regular
Femenino,17,Bioingeniería,5,16.6,15.9,54,52,1.56,1.56,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,2 veces al día,1,1,No consumía,No consumía,2,5,7,6,22.19,21.37,Bueno,Bueno
Femenino,19,Ingeniería Ambiental,4,14,13.4,62,64,1.6,1.6,Regular,Malo,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,1,3 - 4,3 - 4,2,0,7,9,24.22,25,Regular,Malo
Masculino,17,Ingeniería Electrónica,3,15,12,78,75,1.74,1.74,Regular,Regular,5 veces al día,3 veces al día,1 vez al día,1 vez al día,3 veces al día,2 veces al día,3,2,1 - 2,No consumía,3,1,8,6,25.76,24.77,Malo,Regular
Femenino,20,Ingeniería Electrónica,9,18.58,18.33,58,60,1.6,1.6,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,2,2,6.5,6,22.66,23.44,Bueno,Bueno
Femenino,18,Ciencia de la computación,3,15.6,15.3,72.5,70.4,1.69,1.7,Bueno,Malo,3 veces al día,2 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,1 vez al día,1,1,No consumía,1 - 2,0,0,9,6,25.38,24.36,Regular,Regular
Femenino,24,Ingeniería Civil,5,15.8,14.9,59.5,58.1,1.62,1.62,Regular,Bueno,4 veces al día,4 veces al día,2 veces al día,1 vez al día,2 veces al día,3 veces al día,2,5,No consumía,1 - 2,4.2,4.2,7.2,7.2,22.67,22.14,Malo,Malo
Masculino,21,Ciencia de la computación,3,17,17.5,69,67,1.72,1.72,Malo,Malo,2 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,2,3 - 4,3 - 4,1,1,4.5,4.5,23.32,22.65,Malo,Regular
Masculino,19,Ingeniería Industrial,4,11,15,80.5,76,1.7,1.75,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,3 veces al día,3 veces al día,2,3,No consumía,No consumía,6,6,6,6,27.85,24.82,Regular,Regular
Masculino,18,Ingeniería Mecatrónica,3,15.5,16.7,68,70.5,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,3 veces al día,2,4,1 - 2,No consumía,2.5,0,6,6.5,24.98,25.9,Regular,Malo
Masculino,21,Ingeniería Química,5,13.7,14.3,72,75.5,1.77,1.77,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,1,4,No consumía,1 - 2,0,2.5,7.5,7,22.98,24.1,Regular,Regular
Masculino,20,Ingeniería Civil,3,17.5,17,67.5,70,1.66,1.66,Bueno,Regular,3 veces al día,4 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,2,3,No consumía,3 - 4,2,0,7,7,24.5,25.4,Bueno,Malo
Femenino,18,Bioingeniería,4,14.5,16,58.5,60,1.63,1.63,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,1.5,0,8,7.5,22.02,22.58,Bueno,Bueno
Masculino,20,Ingeniería Mecánica,3,16.4,15,75,70.5,1.7,1.7,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,2 veces al día,1 vez al día,2,1,3 - 4,1 - 2,0,1,8,7,25.95,24.39,Regular,Bueno
Masculino,20,Ingeniería Mecánica,3,11.68,15.64,94.56,87.63,1.69,1.71,Regular,Malo,2 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,2,3,No consumía,No consumía,2.1,3,5.5,6.5,33.11,29.97,Regular,Bueno
Femenino,22,Bioingeniería,6,12.5,14.5,66.5,64,1.68,1.68,Regular,Bueno,4 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,1,2,6.5,7.2,23.56,22.68,Regular,Bueno
Masculino,18,Ingeniería Química,3,16.5,15.5,65,65.5,1.6,1.61,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,3 - 4,No consumía,0,2.5,7.5,7.5,25.39,25.27,Malo,Regular
