Precio,Dormitorios,Antiguedad,Luminosidad,Tipo,Area_total_m2,Area_constr_m2,NroBanios,Estado de Inmueble,Distrito,Cocheras,Uso_profesional,Uso_comercial,Nro_pisos,Piscina,Amoblado
88.5,3,5,Muy luminoso,Casa,600,450,4,Excelente,LaMolina,3,NoEspecifica,No,2,0,0
15,5+,5,Muy luminoso,Casa,183,350,5,Excelente,Lurigancho,1,Si,Si,3,NoEspecifica,0
38,4,1,Muy luminoso,Casa de Playa,150,150,5,Excelente,Asia,3,NoEspecifica,NoEspecifica,2,1,1
59,5+,4,Muy luminoso,Casa,344,290,4,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,0
38,5+,1,Muy luminoso,Casa,160,300,5,Excelente,SanBorja,2,NoEspecifica,NoEspecifica,3,0,1
38.5,5+,3,Luminoso,Casa,162,270,5,NoEspecifica,Lince,1,Si,Si,3,NoEspecifica,NoEspecifica
7.5,5+,5,Muy luminoso,Casa,173,173,5,Muy bueno,VillaElSalvador,1,NoEspecifica,Si,2,NoEspecifica,NoEspecifica
59,5+,6,Muy luminoso,Casa de campo,960,600,5,Excelente,Pachacamac,3,No,No,2,1,0
6.4,5+,1,Luminoso,Casa,173,173,2,Bueno,SanJuanDeMiraflores,0,NoEspecifica,NoEspecifica,2,NoEspecifica,0
16.5,3,3,Muy luminoso,Casa,153,153,1,Remodelado,SanJuanDeMiraflores,2,Si,NoEspecifica,1,NoEspecifica,0
79,4,1,NoEspecifica,Casa de Playa,1000,450,4,NoEspecifica,Asia,3,NoEspecifica,NoEspecifica,2,1,1
47.5,5+,1,Luminoso,Casa,359,359,5,Muy bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,3,NoEspecifica,0
90,5+,2,Luminoso,Casa,1000,350,4,Muy bueno,LaMolina,0,NoEspecifica,NoEspecifica,2,1,0
26.5,4,5,Muy luminoso,Casa en quinta,312,232,4,Excelente,JesusMaria,1,No,No,2,0,0
29,5+,1,NoEspecifica,Casa de Playa,200,200,5,Excelente,Asia,2,NoEspecifica,NoEspecifica,2,1,1
