"","Edad","Género","Carrera","Cantidad_cursos","Promedio_ponderado","Orden_mérito","Desempeño_clases","Participaste_actividad_extracurricular","Criterio_act_desempeño","Trabajo","Deportes","Org_estudiantil","Voluntariados","Talleres","Act_religiosas","Tiempo_trabajo","Tiempo_deporte","Tiempo_organización_estudiantil","Tiempo_voluntariado","Tiempo_talleres","Tiempo_actividad_religiosa","Tiempo_otras_actividades","Tiempo_estudio","Tiempo_descanso","Tiempo_actividades_ocio","Cursos_extraacadémico","Tiempo_curso_extraacadémico","Block_notas","Google_Calendar","Apps_mates","Notion","Horarios_agendas","Ninguna_herramienta","Tiempo_total_act_extra"
"1",18,"Hombre","Ingeniería Mecatrónica",6,15.85,"Tercio superior","Regular","SI","NO","Si","Si","No","No","No","No",12,12,0,0,0,0,0,6,36,9,"NO",0,"No","No","No","No","No","Si",24
"2",21,"Hombre","Ingeniería Civil",6,12.34,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,20.4,18,"NO",0,"No","No","No","No","No","Si",NA
"3",19,"Hombre","Ingeniería Industrial",4,15.2,"Tercio superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,30,"SI",10,"Si","Si","Si","Si","Si","No",NA
"4",19,"Mujer","Bioingeniería",6,14.9,"Medio superior","Regular","SI","NO","No","No","Si","Si","No","No",24,0,2,2,0,0,3,27,42,12,"NO",0,"No","Si","No","Si","Si","No",28
"5",22,"Hombre","Ingeniería Civil",6,11.36,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,48,24,"NO",0,"No","No","No","No","No","Si",NA
"6",18,"Hombre","Ingeniería Electrónica",5,15,"Medio superior","Bueno","SI","NO","No","Si","No","Si","No","No",0,18,0,5,0,0,0,18,48,12,"SI",2,"No","Si","Si","No","Si","No",23
"7",19,"Hombre","Ingeniería Civil",6,16,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,12,"NO",0,"No","Si","No","No","No","No",NA
"8",19,"Hombre","Ingeniería Civil",5,16,"Tercio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,48,6,"SI",4,"No","Si","No","No","No","No",NA
"9",19,"Mujer","Ingeniería Mecatrónica",7,15,"Quinto superior","Regular","SI","SI","No","No","Si","No","No","No",0,0,1.5,0,0,0,1,30,30,0,"SI",1.5,"No","Si","No","No","No","No",1.5
"10",18,"Hombre","Ciencia de la Computación",6,17.35,"Quinto superior","Bueno","SI","SI","Si","No","No","Si","No","No",6,0,0,1,0,0,0,30,36,0,"NO",0,"No","Si","No","Si","No","No",7
"11",19,"Mujer","Ingeniería Industrial",5,14,"Medio superior","Regular","SI","NO","No","No","No","Si","No","No",0,6,0.3,2,0,0.15,0,24,42,12,"NO",0,"No","Si","No","No","No","No",8.45
"12",19,"Hombre","Ingeniería Mecatrónica",5,14,"Tercio superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,54,18,"NO",0,"No","Si","No","No","No","No",NA
"13",17,"Hombre","Ingeniería Civil",7,17,"Décimo superior","Bueno","SI","NO","No","No","Si","No","No","No",0,6,1,0,0,0,0,24,42,6,"NO",0,"Si","No","No","No","No","No",7
"14",19,"Hombre","Bioingeniería",7,14,"Tercio superior","Regular","SI","SI","No","Si","No","Si","No","No",0,12,0,3,0,0,0,24,30,6,"SI",2,"No","Si","No","No","No","No",15
"15",21,"Mujer","Ingeniería Industrial",6,15.4,"Quinto superior","Regular","SI","NO","No","No","No","Si","No","No",0,0,5,2,0,0,0,18,36,24,"SI",2,"No","Si","No","No","No","No",7
"16",19,"Hombre","Ingeniería Civil",7,14,"Décimo superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,30,"NO",0,"No","Si","Si","No","No","No",NA
"17",18,"Mujer","Ingeniería Industrial",5,15,"Tercio superior","Regular","SI","NO","No","No","No","Si","No","No",0,0,0,3,0,0,0,42,42,12,"NO",0,"Si","Si","Si","No","Si","No",3
"18",20,"Hombre","Ciencia de la Computación",4,14.65,"Medio superior","Regular","SI","SI","No","Si","Si","No","No","No",0,12,1,0,0,0,1,12,24,12,"SI",8,"Si","No","No","No","No","No",13
"19",20,"Hombre","Ingeniería Mecatrónica",4,14.21,"Décimo superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,39,18,"NO",0,"Si","No","No","No","Si","No",NA
"20",19,"Hombre","Ingeniería Electrónica",5,17,"Tercio superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,12,"SI",2,"Si","No","No","Si","No","No",NA
