Year,Make,Model,Kilometres,Body_Type,Engine,Transmission,Drivetrain,Exterior_Colour,Interior_Colour,Passengers,Doors,Fuel_Type,City,Highway,Price
2014,Acura,RDX,290000,SUV,4,Automatic,AWD,Black,Black,5,5,Gas,"11,33643411","8,668992248",11600
2014,Acura,RDX,158868,SUV,6,6 Speed Automatic,AWD,Silver,Black,5,5,Gas,"10,7","7,3",17998
2016,Acura,MDX,226214,SUV,6,Automatic,AWD,White,Black,7,5,Gas,"12,7","9,1",17999
2019,Acura,MDX,42081,SUV,6,9 Speed Automatic,AWD,White Diamond Pearl,Black,5,5,Gas,"12,2",9,40588
2021,Acura,RDX,66960,SUV,4,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,5,Gas,11,"8,6",41599
2020,Acura,RDX,39727,SUV,4,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,5,Gas,"11,3","9,1",43399
2010,Acura,MDX,124711,SUV,6,6 Speed Automatic,AWD,Palladlum Metallic,Black,5,5,Gas,"13,2","9,6",15998
2010,Acura,MDX,259000,SUV,6,Automatic,AWD,Grey,Black,7,5,Gas,"12,65660377","9,261320755",8995
2018,Audi,Q5,134800,SUV,4,Automatic,AWD,Black,Black,5,5,Gas,"10,4","8,6",28988
2023,Audi,A5,6559,Hatchback,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,2125","7,128571429",68917
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"13,7","10,95",96003
2023,Audi,Q5,1450,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",64921
2023,Audi,Q5,8200,SUV,4,Automatic,AWD,Manhattan Gray Metallic,Black,5,5,Gas,"10,81111111","8,533333333",54969
2023,Audi,Q5,6500,SUV,4,Automatic,AWD,Black,Black,5,5,Gas,"10,81111111","8,533333333",56969
2023,Audi,A5,7511,Hatchback,4,Automatic,AWD,Black,Black,5,5,Gas,"10,2125","7,128571429",59819
2023,Audi,Q5,3000,SUV,4,Automatic,AWD,Blue,Black,5,5,Gas,"10,81111111","8,533333333",68221
2019,Audi,RS,81407,Hatchback,4,Automatic,AWD,Mythos Black Metallic,Black,4,5,Gas,"13,5",9,68590
2023,Audi,Q7,2800,SUV,6,Automatic,AWD,Navarra Blue Metallic,Brown,7,5,Gas,"12,76057692","9,396153846",88829
2011,Audi,A6,284140,Wagon,6,Automatic,AWD,Grey,Black,5,5,Gas,12,8,11888
2023,Audi,Q5,6500,SUV,4,Automatic,AWD,Black,Black,5,5,Gas,"10,81111111","8,533333333",56969
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"13,7","10,95",96003
2020,Audi,Q8,10043,SUV,6,8 Speed Automatic,AWD,Turquoise,Black,5,5,Gas,"13,7","10,95",79950
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,81111111","8,533333333",53203
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",54731
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",55431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",55431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",55431
