Sexo,Edad,Carrera,Ciclo,Comodidad,Herramienta,GastoMaxD,GastoMaxT,TiempoD,TiempoT,HerramientasD,HerramientasT,AprendizajeD,AprendizajeT,Importancia
Femenino,18,Bioingeniería,3,Digital,Tablet,7100,30,6.5,0,2,0,4,3,En desacuerdo
Masculino,18,Ciencias de la Computación,3,Tradicional,Tablet,3700,31,6.58,0,3,0,4,2,En desacuerdo
Masculino,18,Bioingeniería,3,Digital,Tablet,4500,170,7,0,3,0,5,2,Totalmente en desacuerdo
Femenino,18,Bioingeniería,3,Digital,Tablet,6000,20,8,0,3,0,5,2,En desacuerdo
Masculino,19,Ing. Civil,4,Digital,Tablet,1000,10,6.83,0.67,1,0,4,1,Indeciso
Masculino,18,Ciencias de la Computación,3,Tradicional,Otro,7500,200,2.05,1,6,0,2,3,Indeciso
Femenino,19,Ing. Industrial,4,Digital,Tablet,4000,30,4,1,2,0,5,4,En desacuerdo
Masculino,23,Ing. Civil,4,Digital,Laptop,2200,100,10,6,2,0,4,3,En desacuerdo
Masculino,18,Ciencias de la Computación,3,Digital,Laptop,3000,10,5,0,2,1,5,3,En desacuerdo
Femenino,19,Ing. Civil,4,Digital,Tablet,2000,20,6.67,0,2,1,5,3,En desacuerdo
Masculino,18,Ciencias de la Computación,3,Digital,Laptop,5000,100,2,0.33,3,1,5,2,En desacuerdo
Femenino,20,Ing. Ambiental,4,Digital,Laptop,2600,40,4,0.5,2,1,5,5,Totalmente de acuerdo
Masculino,20,Ing. Civil,4,Digital,Tablet,1099.5,35.5,4.42,0.5,3,1,4,3,De acuerdo
Masculino,21,Ing. Mecánica,3,Tradicional,Tablet,4500,30,8,0.5,2,1,5,4,En desacuerdo
Masculino,18,Ing. Mecatrónica,3,Digital,Laptop,3500,20,3,1,2,1,4,5,De acuerdo
Masculino,19,Ing. Industrial,4,Digital,Tablet,1300,20,3,1,2,1,4,3,Indeciso
Femenino,19,Ing. Mecatrónica,4,Digital,Tablet,4000,40,4,1,3,1,5,4,En desacuerdo
Femenino,20,Ing. Industrial,4,Digital,Tablet,2000,200,5,1,4,1,4,3,En desacuerdo
Masculino,21,Ing. de la Energía,3,Digital,Tablet,2000,30,5,1,2,1,4,3,En desacuerdo
Masculino,18,Ing. Mecánica,3,Digital,Laptop,3000,60,4,1.25,3,1,5,3,Indeciso
Masculino,20,Ciencias de la Computación,3,Digital,Tablet,1199,15,7.83,1.33,3,1,5,2,En desacuerdo
Femenino,18,Ing. Química,3,Digital,Tablet,7500,15,5,1.5,3,1,5,5,Indeciso
Masculino,19,Ing. Civil,4,Tradicional,Cuaderno,4687,20,2,2,0,1,1,5,Totalmente de acuerdo
Masculino,18,Ing. Mecatrónica,3,Tradicional,Cuaderno,3800,15,4,2,2,1,4,4,De acuerdo
Femenino,18,Ing. Ambiental,3,Digital,Laptop,3000,100,6,2,4,1,5,3,De acuerdo
Masculino,19,Ciencias de la Computación,4,Digital,Tablet,6000,50,6,2,3,1,5,5,En desacuerdo
Masculino,18,Ing. Mecatrónica,3,Tradicional,Bloc de Notas,0,0,7,2,1,1,3,3,Indeciso
Femenino,21,Ing. Ambiental,3,Digital,Laptop,1200,20,7,2,3,1,4,3,En desacuerdo
Masculino,18,Ciencias de Datos,3,Digital,Tablet,4500,5,10,2,3,1,5,3,En desacuerdo
Femenino,18,Ing. Industrial,3,Digital,Tablet,10000,50,5.5,2.33,3,1,4,4,Indeciso
Femenino,18,Ing. Civil,4,Digital,Tablet,4500,40,6,2.5,2,1,5,3,En desacuerdo
Femenino,18,Ing. Ambiental,3,Digital,Laptop,4000,25,8.33,2.5,2,1,3,3,Indeciso
Masculino,20,Ciencias de la Computación,4,Digital,Laptop,1346,33,8.5,2.5,2,1,4,3,En desacuerdo
Femenino,18,Ciencias de la Computación,3,Tradicional,Cuaderno,0,25,5,3,3,1,4,4,En desacuerdo
Femenino,19,Bioingeniería,4,Digital,Tablet,6000,100,5,3,2,1,4,4,De acuerdo
Masculino,23,Ing. Ambiental,3,Tradicional,Cuaderno,1000,50,6,3,2,1,3,4,Indeciso
Masculino,22,Ing. Industrial,4,Tradicional,Laptop,4500,25,8.5,3,1,1,4,4,De acuerdo
Masculino,20,Ing. Mecatrónica,3,Tradicional,Laptop,3700,45,3.5,3.5,3,1,5,4,Indeciso
Masculino,18,Administración y Negocios Digitales,3,Tradicional,Cuaderno,4000,60,5.5,4,3,1,4,4,En desacuerdo
