Año,Mes,Aeropuerto,Infraestructura,IT,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,NP
2020,Enero,Andahuaylas,Aeropuertos Andinos del Perú S.A.,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0
2020,Enero,Arequipa,Aeropuertos Andinos del Perú S.A.,949712.2,2492,171709,Si,436716.85,Si,17029.12,Si,144223.26,No,0,Si,66815.88,Si,35745.28999999999,Si,590.14,No,0,Si,34692.52,Si,344.03,No,0,Si,3855,174201
2020,Enero,Ayacucho,Aeropuertos Andinos del Perú S.A.,119691.48,0,29144,Si,62062.21,No,0,Si,12770.58,Si,2206.8500000000004,No,0,Si,1418.6,Si,372.96,No,0,Si,3623.62,Si,381.01,No,0,Si,933.91,29144
2020,Enero,Cajamarca,Aeropuertos del Perú S.A.,168051.81,0,49294,Si,104521.4,No,0,Si,19625.980000000003,No,0,Si,4207.92,Si,5704.23,Si,867.8299999999999,Si,2465.25,Si,4804.110000000001,Si,43.52,No,0,Si,3574.17,49294
2020,Enero,Chachapoyas,Aeropuertos del Perú S.A.,1571.53,0,354,Si,708,No,0,Si,73.92,No,0,No,0,Si,105.3,Si,241.62,No,0,No,0,Si,0.28,No,0,Si,135.98000000000002,354
2020,Enero,Chiclayo,Aeropuertos del Perú S.A.,3377168.74,1391,62640,Si,153596,Si,10369.849999999999,Si,58138.880000000005,No,0,Si,14796.5,Si,16608.760000000002,Si,791.48,Si,1954.99,No,0,Si,1470.3,No,0,Si,3082004.6,64031
2020,Enero,Huaraz-Anta,Aeropuertos del Perú S.A.,3659.5500000000006,0,30,Si,24,No,0,Si,16.439999999999998,No,0,Si,349.76,Si,757.2,No,0,No,0,Si,104.32,No,0,No,0,Si,2296.8100000000004,30
2020,Enero,Iquitos,Aeropuertos del Perú S.A.,518467.46,64,102288,Si,268176.2,Si,398.46,Si,89148.40999999999,No,0,Si,8295.58,Si,20278.39,Si,1999.59,Si,35306.46,No,0,Si,2250.4300000000003,No,0,Si,15889.449999999999,102352
2020,Enero,Juliaca,Aeropuertos Andinos del Perú S.A.,184729.68,0,41675,Si,86672.40999999999,No,0,Si,19102.66,No,0,Si,4201.87,Si,10339.11,Si,607.64,No,0,Si,8775.66,Si,39.260000000000005,No,0,Si,384.62,41675
2020,Enero,Lima,Aeropuertos Andinos del Perú S.A.,372.28,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,372.28,No,0,0
2020,Enero,Lima,Aeropuertos del Perú S.A.,548875.0800000001,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,52361.880000000005,Si,496513.2,0
2020,Enero,Lima,Lima Airport Partners S.R.L.,33806841.03,714644,1175568,Si,5522693.87,Si,9314245.52,Si,3710579.5,No,0,No,0,No,0,No,0,No,0,No,0,Si,290667.41000000003,No,0,No,0,1890212
2020,Enero,Pisco,Aeropuertos del Perú S.A.,37492.85,33,3508,Si,6817.160000000001,Si,184.94,Si,7977.34,No,0,Si,145.92000000000002,Si,943.8599999999999,Si,246.92000000000002,Si,7905.18,No,0,Si,490.76,No,0,Si,3309.44,3541
2020,Enero,Piura,Aeropuertos del Perú S.A.,426718.87,25,97740,Si,233567,Si,132.1,Si,79878.26,No,0,Si,17304.67,Si,22392.91,Si,593.9499999999999,Si,5549.95,Si,16882.95,Si,205.48000000000002,No,0,Si,10173.06,97765
2020,Enero,Pucallpa,Aeropuertos del Perú S.A.,296085.12,0,63221,Si,162909.5,No,0,Si,63470.07,No,0,Si,4296.84,Si,11587.79,Si,882.05,Si,9149.210000000001,No,0,Si,1575.44,No,0,Si,5299.17,63221
2020,Enero,Puerto Maldonado,Aeropuertos Andinos del Perú S.A.,118796.76,0,28312,Si,60448.6,No,0,Si,12760.98,No,0,Si,1392.6299999999999,Si,2214.74,Si,345.7,No,0,Si,928.55,Si,113.41000000000001,No,0,Si,1731.62,28312
2020,Enero,Tacna,Aeropuertos Andinos del Perú S.A.,198167.77,0,44958,Si,96539.77,No,0,Si,19792.03,No,0,Si,5085.320000000001,Si,5054.07,Si,317.63,No,0,Si,5061.42,Si,386.5,No,0,Si,775.57,44958
2020,Enero,Talara,Aeropuertos del Perú S.A.,143013.29,27,37851,Si,77979.03,No,0,Si,14811.57,No,0,Si,3128.3500000000004,Si,3537.65,Si,168.76,Si,1597.53,Si,20739.980000000003,Si,495.96999999999997,No,0,Si,3601.3700000000003,37878
2020,Enero,Tarapoto,Aeropuertos del Perú S.A.,382567.01,0,82954,Si,212166.9,No,0,Si,73828.42,No,0,Si,2886.3900000000003,Si,15125.869999999999,Si,1366.4,Si,4369.84,Si,24686.129999999997,Si,212.13,No,0,Si,9180.31,82954
2020,Enero,Trujillo,Aeropuertos del Perú S.A.,320760.55,4544,54005,Si,137407.1,Si,27301.38,Si,58895.28,No,0,Si,16961.129999999997,Si,17567.14,Si,732.25,Si,6615.41,No,0,Si,1184.1299999999999,No,0,Si,8486.05,58549
2020,Enero,Tumbes,Aeropuertos del Perú S.A.,116923.55,24,33666,Si,68340,Si,164.88000000000002,Si,13979.43,No,0,Si,797.54,Si,6176.38,Si,297.31,Si,1361,Si,2786.38,Si,41.18,No,0,Si,5544.160000000001,33690
2020,Febrero,Andahuaylas,Aeropuertos Andinos del Perú S.A.,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0
2020,Febrero,Arequipa,Aeropuertos Andinos del Perú S.A.,854084.3400000001,1730,157649,Si,391208.42000000004,Si,12234.12,Si,131842.1,No,0,Si,70854.06,Si,41369.2,Si,590.14,No,0,Si,14853.51,Si,480.19,No,0,Si,3716.58,159379
2020,Febrero,Ayacucho,Aeropuertos Andinos del Perú S.A.,109401.45999999999,0,29147,Si,58057.78,No,0,Si,11847.359999999999,Si,2206.8500000000004,No,0,Si,1254.85,Si,372.96,No,0,Si,2819.69,Si,185.33,No,0,Si,966.76,29147
2020,Febrero,Cajamarca,Aeropuertos del Perú S.A.,154585.32,0,51403,Si,104698.14,No,0,Si,18900.58,No,0,Si,3599.82,Si,5011.34,Si,867.8299999999999,Si,2439.67,Si,4351.1500000000005,Si,120.75,No,0,Si,3871.08,51403
2020,Febrero,Chachapoyas,Aeropuertos del Perú S.A.,2103.43,0,615,Si,1204,No,0,Si,142.82000000000002,No,0,No,0,Si,103.83,Si,241.62,No,0,No,0,No,0,No,0,Si,135.91,615
2020,Febrero,Chiclayo,Aeropuertos del Perú S.A.,282143.63,1296,61653,Si,149173.75,Si,8401.56,Si,51041.21,No,0,Si,12839.54,Si,16449.55,Si,791.48,Si,1927.6,No,0,Si,176.25,No,0,Si,7998.96,62949
2020,Febrero,Huaraz-Anta,Aeropuertos del Perú S.A.,1325.13,0,28,Si,12,No,0,Si,19.18,No,0,Si,291.11,Si,757.2,No,0,No,0,Si,104.32,Si,0.41000000000000003,No,0,Si,36.08,28
2020,Febrero,Iquitos,Aeropuertos del Perú S.A.,491892.12,8,99979,Si,255420,Si,54.96,Si,83396.75,No,0,Si,7032.429999999999,Si,14334.11,Si,1999.59,Si,34713.7,No,0,Si,1262.35,No,0,Si,15717.140000000001,99987
2020,Febrero,Juliaca,Aeropuertos Andinos del Perú S.A.,194543.57,11,47474,Si,96395.61,Si,191.81,Si,19509.88,No,0,Si,4166.17,Si,12922.41,Si,607.64,No,0,Si,5715.49,Si,43.1,No,0,Si,393.65000000000003,47485
2020,Febrero,Lima,Aeropuertos Andinos del Perú S.A.,765,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,765,No,0,0
