"Edad","Sexo","Ciclo","Frecuencia_de_uso","Tiempo_tareas_sin_ChatGPT","Rendimiento_academico_SIN_ChatGPT","Nota_promedio_TAREAS_SIN_ChatGPT","Notas_CON_ChatGPT","Nota_promedio_CON_ChatGPT","Aprendizaje_CON_ChatGPT","Carrera_cor","Conocimiento_ChatGPT_cor","Obtencion_respuestas_cor","Tiempo_tareas_CON_ChatGPT_cor","Horas_uso_diario_cor"
21,"Hombre","3er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","3","Sí","1 hora","2"
17,"Mujer","2do ciclo","Regular","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",20,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Sinceramente solo le pido que haga algo y ya esta, copio y pego. Casi nunca veo mis tareas por mi cuenta.","Bioingeniería","2","A veces","2 horas","2"
19,"Mujer","3er ciclo","Siempre","3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Bioingeniería","3","Sí","Más de 3 horas","5"
20,"Hombre","3er ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","A veces","1 hora","2"
18,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","Sí","1 hora","1"
18,"Mujer","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
18,"Mujer","3er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",20,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Química","1","No","1 hora","1"
18,"Hombre","3er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","Sí","2 horas","1"
18,"Hombre","3er ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","1","No","No uso","1"
21,"Hombre","10mo ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
21,"Mujer","7mo ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
20,"Hombre","4to ciclo","Nunca","1 hora","Mis notas eran regulares, hacia lo que podia.",13,"Me va casi igual de antes que existiera, no hay mucha diferencia.",0,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","1","No","No uso","1"
17,"Hombre","3er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería electrónica","2","A veces","No uso","1"
16,"Hombre","1er ciclo","Regular","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
19,"Mujer","3er ciclo","A veces","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","1","A veces","1 hora","1"
18,"Hombre","2do ciclo","Regular","1 hora","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería electrónica","3","A veces","1 hora","2"
19,"Mujer","2do ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
18,"Otro","2do ciclo","Siempre","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",15,"Me va mal a pesar de la existencia de ""ChatGPT"".",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","3","No","1 hora","5"
18,"Mujer","2do ciclo","Nunca","3 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","No","1 hora","1"
18,"Mujer","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","Sí","1 hora","1"
18,"Mujer","3er ciclo","A veces","Más de 3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",15,"Me va igual de mal.",15,"Sinceramente solo le pido que haga algo y ya esta, copio y pego. Casi nunca veo mis tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
23,"Mujer","5to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","2","Sí","1 hora","1"
20,"Mujer","4to ciclo","Nunca","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",1,"Me va muy bien, hago mis tareas rápida y eficazmente.",10,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","1","Sí","1 hora","1"
19,"Mujer","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","1","A veces","1 hora","1"
